@rel(PLink)
@from(PE_PPort)key|@to(PE_PPort)key
12.123.80.15/2/1/1|12.123.80.85/1/2/8
12.82.0.62/1/1/2|12.82.0.63/4/0/4
12.123.80.214/4/0/2|12.123.80.195/0/0/2
150.0.0.89/1/0/6|148.0.131.253/4/0/4
12.82.0.53/5/0/8|12.82.0.62/1/3/9
143.0.68.170/2/0/7|143.0.68.254/2/2/0
12.123.80.17/1/0/1|12.123.80.32/1/0/2
150.0.0.212/0/0/0|150.0.0.213/2/0/2
149.0.3.223/1/0/7|149.0.3.222/1/0/7
149.0.3.198/0/0/3|149.0.3.222/4/0/3
143.0.68.172/0/1/3|143.0.68.169/2/3/0
8.8.1.5/0/0/0|8.8.0.205/1/0/4
143.0.68.35/1/1/9|149.9.0.28/5/1/6
149.0.3.196/0/3/2|149.0.3.250/5/0/5
150.0.0.147/1/0/0|150.0.0.166/2/0/0
149.0.3.223/1/0/6|149.0.3.222/2/3/0
8.8.0.148/1/0/3|8.8.0.118/1/2/2
143.0.68.184/0/1/0|143.0.68.169/2/0/3
143.0.68.35/1/0/0|143.0.68.34/1/0/0
12.123.80.214/4/2/1|149.8.0.20/0/1/0
12.123.80.212/0/0/1|12.123.80.214/0/0/2
149.0.3.223/5/0/1|149.0.3.222/5/0/1
8.8.0.148/0/0/0|8.8.0.173/2/0/3
149.0.3.223/5/0/2|149.0.3.222/5/0/3
143.0.68.170/2/0/1|143.0.68.254/2/2/2
143.0.68.169/2/0/2|143.0.68.184/0/0/9
150.0.0.212/0/1/1|150.0.0.213/2/0/7
8.8.0.205/1/0/3|8.8.0.206/1/0/4
149.0.3.223/1/0/1|149.0.3.222/1/1/1
149.9.0.6/2/0/4|143.0.68.61/1/0/4
12.82.0.53/1/0/7|12.82.0.62/1/2/3
143.0.68.170/2/1/0|143.0.68.254/2/3/4
150.0.0.212/0/1/2|150.0.0.218/4/0/0
150.0.0.212/1/1/3|150.0.0.215/1/0/2
150.0.0.23/5/0/4|150.0.0.29/5/0/4
12.123.80.143/0/0/6|12.123.80.32/2/0/4
10.144.0.137/3/3/2|10.0.38.78/1/3/0
150.0.0.212/1/0/4|150.0.0.213/2/0/4
10.144.0.137/4/0/6|10.0.38.78/5/0/6
12.123.80.214/3/1/1|12.123.80.228/1/0/0
12.82.0.53/4/0/2|12.82.0.55/5/0/3
12.123.80.29/1/0/3|12.123.80.32/1/0/5
12.82.0.53/5/1/1|12.82.0.55/5/1/1
10.144.0.137/1/0/0|149.0.17.1/0/0/1
148.0.131.182/2/0/4|148.0.131.235/5/0/1
143.0.68.34/1/0/3|143.0.68.35/1/0/3
12.82.0.62/1/3/0|12.82.0.53/3/0/6
12.123.80.214/3/0/9|12.123.80.212/2/1/9
149.0.3.222/4/0/3|149.0.3.198/0/0/3
10.144.0.137/0/0/0|10.144.0.65/0/3/0
12.82.0.53/5/1/2|12.82.0.55/5/1/4
12.80.72.33/1/1/4|12.80.72.34/1/0/4
12.82.0.62/1/1/0|12.82.0.55/5/0/4
12.82.0.62/1/3/5|12.82.0.53/3/0/7
143.0.68.229/1/0/1|143.0.68.204/0/0/0
143.0.68.35/1/2/0|149.9.0.28/5/1/7
149.0.3.222/2/1/0|149.0.3.223/1/0/2
12.80.72.33/0/3/8|12.80.72.62/4/2/3
143.0.68.169/2/2/1|143.0.68.184/0/0/1
12.123.80.214/4/0/7|149.8.0.20/0/0/3
10.144.0.137/3/3/8|10.0.38.78/1/2/0
12.82.0.62/1/3/6|12.82.0.53/2/0/3
12.123.80.29/1/1/4|12.123.80.188/0/0/5
150.0.0.89/2/2/0|148.0.131.253/4/2/0
150.0.0.217/0/0/5|143.0.68.42/1/0/1
149.9.0.6/2/0/5|143.0.68.61/1/0/5
143.0.68.170/2/1/8|143.0.68.254/1/0/3
12.123.80.17/1/0/3|12.123.80.65/0/0/0
12.80.84.11/1/0/0|12.80.84.10/0/0/0
12.123.80.15/0/0/2|12.123.80.37/0/0/1
12.123.80.168/0/0/5|12.123.80.169/0/0/4
143.0.68.35/1/0/3|143.0.68.34/1/0/3
149.0.3.196/0/2/6|149.0.3.250/5/0/2
12.123.80.212/0/0/8|12.123.80.215/4/0/0
143.0.68.35/1/1/2|149.9.0.28/5/0/9
143.0.68.34/1/0/4|143.0.68.35/1/0/4
12.82.0.53/2/0/6|12.82.0.62/2/3/8
149.0.3.222/5/0/1|149.0.3.223/5/0/1
10.144.0.147/0/0/0|10.144.0.65/11/0/0
143.0.68.35/1/0/7|143.0.68.34/1/0/6
12.123.80.29/1/0/9|12.123.80.34/2/0/3
10.144.0.155/1/3/9|192.168.114.92/GigabitEthernet0/1/0
150.0.0.212/1/1/0|150.0.0.215/1/0/0
12.80.72.33/0/2/6|12.80.72.62/4/0/0
10.144.0.137/1/2/3|10.0.38.72/0/0/4
12.82.0.53/3/0/9|12.80.72.52/3/0/0
10.144.0.65/11/0/0|10.144.0.147/0/0/0
10.144.0.155/4/0/0|10.144.0.153/2/0/0
143.0.68.248/0/0/2|143.0.24.1/5/0/0
143.0.68.35/1/1/5|149.9.0.28/5/1/2
150.0.0.168/5/3/9|150.0.0.167/1/1/3
149.0.3.222/2/0/3|149.0.3.223/1/0/8
12.82.0.62/1/3/4|12.82.0.53/2/0/8
12.82.0.62/2/3/7|12.80.72.31/0/0/3
12.82.0.62/3/0/0|12.82.0.63/3/0/0
149.0.3.222/2/3/0|149.0.3.223/1/0/6
143.0.68.35/1/0/6|149.9.0.28/5/0/5
143.0.68.169/1/0/2|143.0.68.170/1/0/2
8.8.0.148/0/0/3|8.8.0.173/2/0/5
143.0.68.169/2/0/5|143.0.68.184/0/1/5
150.0.0.212/0/1/0|150.0.0.213/2/0/6
143.0.68.184/0/0/9|143.0.68.169/2/0/2
12.82.0.53/1/0/9|12.82.0.62/1/3/3
10.144.0.137/1/3/7|10.0.38.72/1/0/4
10.144.0.137/3/0/6|10.0.38.78/5/0/2
143.0.68.242/1/0/0|143.0.68.230/4/2/0
12.123.80.27/1/2/1|12.123.80.115/2/0/1
149.9.0.6/2/0/3|143.0.68.61/1/0/3
150.0.0.23/5/0/2|150.0.0.29/5/0/2
12.80.72.33/0/3/9|12.80.72.62/4/0/7
143.0.68.169/1/0/4|143.0.68.170/1/0/1
149.0.3.196/0/2/9|149.0.3.250/5/0/3
12.123.80.197/1/1/6|12.123.80.46/1/1/0
143.0.68.170/2/1/3|143.0.68.254/2/2/8
12.123.80.214/0/0/2|12.123.80.212/0/0/1
149.0.3.223/1/0/2|149.0.3.222/2/1/0
150.0.0.212/1/0/5|150.0.0.213/2/0/3
12.123.80.143/0/0/7|12.123.80.152/1/0/1
12.82.0.62/2/3/8|12.82.0.53/2/0/6
12.80.72.33/1/3/7|12.80.72.34/1/0/8
143.0.68.169/1/0/0|143.0.68.170/0/0/1
12.82.0.53/3/0/8|12.82.0.62/2/3/1
12.123.80.15/1/0/1|12.123.80.37/0/0/2
8.8.0.205/1/0/8|8.8.0.206/1/0/7
12.123.80.214/2/1/1|149.8.0.17/1/0/1
10.144.0.137/1/3/0|10.0.38.72/1/0/1
12.123.80.17/1/0/4|12.123.80.65/0/0/1
149.0.3.222/1/0/8|143.0.68.136/0/0/0
143.0.68.169/3/0/0|149.0.3.231/2/0/0
143.0.68.35/1/1/6|149.9.0.28/5/1/3
143.0.68.172/1/0/0|143.0.68.181/0/1/0
12.123.80.17/1/0/0|12.123.80.57/1/0/0
149.0.3.223/5/2/3|149.0.3.222/5/2/3
12.123.80.27/1/0/0|12.123.80.17/1/0/2
