@rel(Composed_Of)
@from(PE_Device)key|@to(PE_Slot)key
12.82.124.192|12.82.124.192/5
12.82.104.21|12.82.104.21/2
12.122.159.68|12.122.159.68/3
12.82.80.24|12.82.80.24/3
12.83.164.16|12.83.164.16/7
165.87.245.71|165.87.245.71/0
12.122.122.189|12.122.122.189/0
12.122.122.166|12.122.122.166/9
12.82.40.97|12.82.40.97/7
12.122.125.165|12.122.125.165/1
6.4.9.1|6.4.9.1/1
12.82.0.74|12.82.0.74/7
12.82.98.14|12.82.98.14/3
172.20.5.230|172.20.5.230/6
12.82.125.130|12.82.125.130/11
12.80.72.18|12.80.72.18/3
12.82.53.13|12.82.53.13/0
12.82.16.80|12.82.16.80/0
143.0.24.164|143.0.24.164/3
12.123.47.128|12.123.47.128/0
143.0.24.145|143.0.24.145/7
149.8.0.12|149.8.0.12/0
12.122.126.68|12.122.126.68/2
12.82.72.27|12.82.72.27/4
12.122.122.106|12.122.122.106/3
12.122.127.79|12.122.127.79/1
165.87.100.204|165.87.100.204/5
12.82.66.20|12.82.66.20/4
12.82.32.80|12.82.32.80/0
12.122.120.205|12.122.120.205/1
172.19.4.97|172.19.4.97/0
12.82.56.14|12.82.56.14/7
12.82.98.14|12.82.98.14/0
12.82.16.91|12.82.16.91/2
12.82.126.128|12.82.126.128/8
150.0.0.39|150.0.0.39/2
12.122.120.179|12.122.120.179/2
12.82.106.14|12.82.106.14/3
12.82.24.55|12.82.24.55/5
12.82.0.94|12.82.0.94/2
165.87.250.169|165.87.250.169/5
12.82.60.20|12.82.60.20/3
12.82.114.16|12.82.114.16/2
12.122.120.13|12.122.120.13/1
12.122.215.73|12.122.215.73/4
12.83.164.93|12.83.164.93/0
12.122.215.5|12.122.215.5/4
12.122.215.45|12.122.215.45/4
12.82.118.19|12.82.118.19/4
12.83.164.207|12.83.164.207/7
143.0.24.7|143.0.24.7/0
149.0.3.244|149.0.3.244/1
12.82.60.31|12.82.60.31/1
12.82.16.65|12.82.16.65/10
12.122.126.138|12.122.126.138/2
12.82.96.31|12.82.96.31/1
32.119.212.254|32.119.212.254/5
12.82.62.17|12.82.62.17/0
12.83.164.195|12.83.164.195/4
12.82.8.100|12.82.8.100/7
165.87.208.120|165.87.208.120/7
12.82.0.117|12.82.0.117/7
12.122.121.138|12.122.121.138/3
12.82.118.25|12.82.118.25/2
12.82.58.5|12.82.58.5/1
12.82.40.97|12.82.40.97/0
143.0.68.243|143.0.68.243/7
12.82.40.126|12.82.40.126/7
12.82.127.129|12.82.127.129/10
12.122.122.116|12.122.122.116/11
149.8.0.31|149.8.0.31/0
12.80.72.9|12.80.72.9/2
12.82.128.7|12.82.128.7/0
12.83.165.141|12.83.165.141/4
143.0.68.99|143.0.68.99/4
12.122.83.238|12.122.83.238/0
12.122.215.7|12.122.215.7/1
12.82.118.6|12.82.118.6/9
12.122.126.106|12.122.126.106/4
12.82.80.31|12.82.80.31/4
