@rel(Associated_To)
@from(EVC)key|@to(EVCNode)key
VPWS:157463|12.82.96.19/VPWS:157463
VPWS:94081|12.82.56.1/VPWS:94081
21326:138981|32.119.200.249/21326:138981
VPLS:149120|12.82.102.24/VPLS:149120
VPLS:129934|12.82.40.91/VPLS:129934
VPLS:166647|12.82.0.74/VPLS:166647
VPLS:100617|12.82.96.1/VPLS:100617
VPLS:102872|12.82.96.1/VPLS:102872
VPWS:111030|12.82.74.29/VPWS:111030
VPWS:125595|12.82.16.70/VPWS:125595
VPWS:73548|12.82.66.22/VPWS:73548
VPLS:128878|12.82.16.77/VPLS:128878
VPLS:64056|12.82.74.31/VPLS:64056
VPWS:171730|12.82.114.17/VPWS:171730
VPLS:147879|12.82.8.61/VPLS:147879
VPWS:120765|12.82.104.6/VPWS:120765
VPWS:86169|12.82.104.3/VPWS:86169
VPWS:22690|12.123.80.27/VPWS:22690
VPLS:153247|12.82.40.122/VPLS:153247
VPWS:114899|12.82.66.22/VPWS:114899
VPWS:96863|12.82.100.20/VPWS:96863
VPWS:110284|12.82.66.22/VPWS:110284
VPLS:107453|12.82.24.30/VPLS:107453
VPWS:170815|12.82.8.94/VPWS:170815
VPLS:57339|12.82.114.9/VPLS:57339
VPLS:166022|12.82.98.18/VPLS:166022
VPWS:120827|12.82.56.2/VPWS:120827
13979:2932|12.122.215.21/13979:2932
VPWS:120370|12.82.96.21/VPWS:120370
VPLS:67235|12.82.76.27/VPLS:67235
VPLS:146055|12.82.16.76/VPLS:146055
VPLS:107574|12.82.118.19/VPLS:107574
VPWS:129409|12.82.0.74/VPWS:129409
VPWS:158094|12.82.104.16/VPWS:158094
VPWS:127919|12.82.24.61/VPWS:127919
VPLS:107311|12.82.118.14/VPLS:107311
VPWS:86229|12.82.40.100/VPWS:86229
VPWS:164757|12.82.82.16/VPWS:164757
VPLS:69163|12.82.0.48/VPLS:69163
VPWS:126979|12.82.24.61/VPWS:126979
VPWS:143583|12.82.0.59/VPWS:143583
21326:34886|165.87.250.168/21326:34886
VPLS:127886|12.82.16.76/VPLS:127886
VPWS:111034|12.82.64.10/VPWS:111034
VPWS:131096|12.82.118.5/VPWS:131096
VPLS:156558|12.82.118.7/VPLS:156558
VPLS:146147|12.82.40.91/VPLS:146147
VPLS:169696|12.82.58.5/VPLS:169696
VPWS:152461|12.82.114.10/VPWS:152461
VPWS:117664|12.82.40.100/VPWS:117664
VPWS:124296|12.82.0.70/VPWS:124296
VPWS:158888|12.82.16.64/VPWS:158888
VPWS:120783|12.82.82.24/VPWS:120783
VPLS:24097|192.168.113.111/VPLS:24097
VPLS:128828|12.82.16.67/VPLS:128828
VPLS:109647|12.82.78.28/VPLS:109647
VPWS:79500|12.82.80.24/VPWS:79500
VPLS:180831|12.82.0.75/VPLS:180831
VPWS:101762|12.82.66.23/VPWS:101762
VPWS:130901|12.82.24.61/VPWS:130901
VPLS:182612|12.82.58.12/VPLS:182612
VPWS:78140|12.82.56.1/VPWS:78140
VPWS:69973|12.82.90.15/VPWS:69973
VPLS:114341|12.82.114.14/VPLS:114341
VPWS:140766|12.82.56.1/VPWS:140766
21326:123676|165.87.250.122/21326:123676
VPWS:88081|12.82.16.57/VPWS:88081
VPWS:132557|12.82.0.58/VPWS:132557
VPWS:168975|12.82.82.26/VPWS:168975
VPWS:174506|12.82.90.27/VPWS:174506
VPLS:158972|12.82.102.24/VPLS:158972
VPWS:127715|12.82.70.30/VPWS:127715
VPLS:63957|12.82.0.72/VPLS:63957
VPWS:60985|12.82.94.3/VPWS:60985
VPLS:123236|12.82.78.12/VPLS:123236
VPLS:116515|12.82.24.52/VPLS:116515
VPLS:139104|12.82.0.74/VPLS:139104
VPWS:127269|12.82.16.66/VPWS:127269
VPWS:148965|12.82.114.7/VPWS:148965
VPLS:126182|12.82.60.30/VPLS:126182
VPWS:92769|12.82.8.60/VPWS:92769
VPLS:145650|12.82.16.69/VPLS:145650
VPWS:109489|12.82.66.23/VPWS:109489
VPWS:71767|12.82.76.18/VPWS:71767
VPWS:127099|12.82.40.92/VPWS:127099
VPLS:64028|12.82.82.25/VPLS:64028
VPWS:87016|12.82.100.19/VPWS:87016
VPLS:108436|12.82.40.82/VPLS:108436
VPWS:97520|12.82.70.28/VPWS:97520
VPWS:132980|12.82.80.24/VPWS:132980
VPWS:152597|12.82.8.64/VPWS:152597
VPWS:62618|12.82.40.91/VPWS:62618
VPWS:94779|12.82.86.21/VPWS:94779
VPLS:109983|12.82.116.2/VPLS:109983
VPWS:91800|12.82.16.66/VPWS:91800
VPLS:178190|12.82.126.192/VPLS:178190
VPLS:117752|12.82.56.5/VPLS:117752
VPLS:173257|12.82.114.10/VPLS:173257
13979:139919|12.122.215.8/13979:139919
VPWS:100076|12.82.16.50/VPWS:100076
VPWS:118589|12.82.118.6/VPWS:118589
VPLS:59513|12.82.16.58/VPLS:59513
VPWS:73779|12.82.74.28/VPWS:73779
VPWS:137755|12.82.94.19/VPWS:137755
VPLS:122671|12.82.24.62/VPLS:122671
VPWS:129103|12.82.24.61/VPWS:129103
VPWS:89007|12.82.118.17/VPWS:89007
VPLS:59714|12.82.16.58/VPLS:59714
VPWS:173800|12.82.63.8/VPWS:173800
VPLS:106605|12.82.110.5/VPLS:106605
VPWS:82181|12.82.110.9/VPWS:82181
VPWS:92486|12.82.72.18/VPWS:92486
VPWS:114668|12.82.24.50/VPWS:114668
VPLS:180387|12.82.16.93/VPLS:180387
VPWS:146997|12.82.58.1/VPWS:146997
VPLS:157008|12.82.122.4/VPLS:157008
VPWS:116353|12.82.102.27/VPWS:116353
VPLS:185837|12.82.0.76/VPLS:185837
132456|10.204.90.232/132456
VPWS:47450|12.82.114.1/VPWS:47450
VPWS:122134|12.82.102.4/VPWS:122134
VPWS:170492|12.82.0.70/VPWS:170492
VPWS:70981|12.82.114.10/VPWS:70981
VPWS:74373|12.82.8.59/VPWS:74373
VPWS:169119|12.82.0.69/VPWS:169119
VPWS:85577|12.82.16.65/VPWS:85577
VPWS:84806|12.82.72.24/VPWS:84806
VPWS:135998|12.82.104.21/VPWS:135998
VPWS:103172|12.82.40.102/VPWS:103172
VPWS:180123|12.82.66.27/VPWS:180123
L2CKT:33689|10.204.161.39/L2CKT:33689
VPLS:108303|12.82.78.27/VPLS:108303
VPWS:88525|12.82.118.19/VPWS:88525
VPLS:41004|12.82.127.128/VPLS:41004
VPLS:172602|12.82.104.19/VPLS:172602
VPWS:26961|10.204.84.105/VPWS:26961
