@rel(Composed_Of)
@from(PE_Device)key|@to(PE_PPort)key
10.204.241.1|10.204.241.1/FastEthernet0/4
148.0.15.148|148.0.15.148/GigabitEthernet0/0/0
12.82.48.20|12.82.48.20/FastEthernet 0/0
10.204.241.88|10.204.241.88/FastEthernet0/12
192.168.114.108|192.168.114.108/GigabitEthernet0/0
192.168.114.56|192.168.114.56/GigabitEthernet0/0
10.204.241.0|10.204.241.0/FastEthernet0/4
10.204.250.90|10.204.250.90/Fa0/1
12.82.108.140|12.82.108.140/FastEthernet 0/0
10.204.242.50|10.204.242.50/FastEthernet0/2
10.204.241.12|10.204.241.12/FastEthernet0/16
10.204.244.2|10.204.244.2/FastEthernet0/1
10.204.241.12|10.204.241.12/FastEthernet0/2
10.204.241.1|10.204.241.1/FastEthernet0/9
12.123.102.156|12.123.102.156/GigabitEthernet0/0/0
10.204.241.11|10.204.241.11/FastEthernet0/21
10.204.241.8|10.204.241.8/FastEthernet0/11
10.204.244.2|10.204.244.2/FastEthernet0/13
12.123.118.108|12.123.118.108/GigabitEthernet0/2/0
10.204.244.2|10.204.244.2/FastEthernet0/15
10.204.233.74|10.204.233.74/Gi0/2
10.204.241.0|10.204.241.0/FastEthernet0/17
10.204.241.11|10.204.241.11/FastEthernet0/17
12.82.15.132|12.82.15.132/FastEthernet 0/0
10.204.244.197|10.204.244.197/FastEthernet0/9
10.204.241.2|10.204.241.2/FastEthernet0/20
10.204.244.248|10.204.244.248/FastEthernet0/11
10.204.244.170|10.204.244.170/FastEthernet0/9
10.204.241.1|10.204.241.1/FastEthernet0/16
10.204.244.46|10.204.244.46/FastEthernet0/10
10.204.250.196|10.204.250.196/Fa0/1
10.204.250.202|10.204.250.202/Fa0/1
10.204.241.2|10.204.241.2/FastEthernet0/7
12.123.110.20|12.123.110.20/GigabitEthernet0/1
10.204.244.235|10.204.244.235/FastEthernet0/3
10.204.250.105|10.204.250.105/Gi0/2
10.204.244.4|10.204.244.4/FastEthernet0/12
10.204.241.8|10.204.241.8/FastEthernet0/5
12.82.92.76|12.82.92.76/FastEthernet 0/0
10.204.244.131|10.204.244.131/FastEthernet0/23
12.82.15.36|12.82.15.36/FastEthernet 0/0
10.204.250.111|10.204.250.111/Fa0/1
12.123.115.12|12.123.115.12/5
10.204.250.91|10.204.250.91/Gi0/2
10.204.244.170|10.204.244.170/FastEthernet0/3
10.204.244.235|10.204.244.235/FastEthernet0/17
10.204.241.1|10.204.241.1/FastEthernet0/1
12.82.34.4|12.82.34.4/FastEthernet 0/0
10.204.241.2|10.204.241.2/FastEthernet0/18
12.123.110.4|12.123.110.4/GigabitEthernet0/1
192.168.114.92|192.168.114.92/GigabitEthernet0/0/0
10.204.244.235|10.204.244.235/FastEthernet0/4
10.204.244.46|10.204.244.46/FastEthernet0/6
10.204.233.94|10.204.233.94/Gi0/2
