@rel(PLink)
@from(PE_PPort)key|@to(CE_PPort)key
12.123.80.214/0/0/9|10.204.80.214/25
149.0.3.222/1/0/6|10.204.9.231/9
143.0.68.242/4/1/4|10.204.12.87/9
143.0.68.245/6/3/3|10.204.132.133/11
143.0.68.240/2/1/5|10.204.132.154/21
143.0.24.157/0/0/0|10.204.161.30/21
143.0.68.229/1/0/2|10.204.10.207/9
149.0.3.222/2/0/4|10.204.10.16/9
143.0.68.249/0/0/3|10.204.132.84/9
10.144.0.154/3/0/4|10.204.1.107/10
149.0.3.228/4/0/0|10.204.84.230/10
12.82.100.7/5/1/2|10.204.160.103/26
143.0.68.240/2/0/7|10.204.132.150/9
8.8.0.190/0/0/1|10.204.90.162/SM-B/1
12.80.72.10/5/0/0|10.204.200.150/27
143.0.24.159/0/0/1|10.204.161.34/0
10.144.0.137/3/2/9|10.204.67.108/25
150.0.0.168/2/0/4|10.204.83.104/9
10.144.0.137/1/2/8|10.204.67.30/9
12.123.80.214/4/0/3|10.204.81.92/25
12.80.0.207/0/0/7|10.204.176.102/26
8.8.0.154/0/0/6|10.204.90.154/25
12.123.80.177/0/0/0|10.204.80.147/25
12.123.80.29/1/0/1|10.204.64.166/SM-A/1
143.0.25.13/4/0/0|10.204.144.215/9
143.0.24.145/9/0/1|10.204.144.167/11
12.80.0.207/3/3/0|10.204.176.103/9
150.0.0.214/0/0/5|10.204.83.166/9
143.0.25.13/5/0/0|10.204.144.212/9
143.0.68.242/4/0/0|10.204.132.204/21
149.0.3.196/4/0/0|10.204.85.62/25
143.0.24.155/0/2/0|10.204.144.162/12
143.0.68.99/4/0/5|10.204.9.179/21
12.123.80.122/5/0/2|10.204.65.32/25
149.0.3.216/1/0/1|10.204.84.243/24
143.0.68.110/2/0/4|10.204.200.140/9
12.80.0.207/0/1/8|10.204.176.80/25
143.0.68.172/4/0/1|10.204.12.39/9
149.0.3.216/0/0/3|10.204.85.96/9
150.0.0.153/1/0/1|10.204.83.89/9
149.9.0.27/0/0/6|10.204.9.124/9
143.0.68.248/0/1/9|10.204.11.222/23
150.0.0.190/0/0/0|10.204.84.71/9
143.0.68.184/0/1/4|10.204.11.138/9
12.123.80.212/1/0/2|10.204.80.247/25
149.9.0.22/5/0/2|10.204.8.225/9
149.9.0.32/0/0/0|10.204.8.204/9
149.0.3.222/1/0/4|10.204.9.226/9
149.0.3.196/0/2/8|10.204.85.49/9
12.123.80.212/2/0/8|10.204.81.60/25
143.0.24.129/2/0/1|10.204.235.197/22
143.0.68.168/2/0/3|10.204.10.149/SM-A/2
143.0.24.159/3/0/1|10.204.161.48/23
8.8.0.205/2/0/1|10.204.90.100/23
149.9.0.43/1/0/0|10.204.83.0/9
143.0.24.164/2/1/0|10.204.161.70/0
150.0.0.167/2/0/0|10.204.32.66/9
143.0.25.9/1/0/0|10.204.12.110/0
143.0.68.43/0/0/5|10.204.84.197/9
10.144.0.137/1/2/9|192.168.113.87/10
149.0.3.194/3/0/0|10.204.85.76/24
12.123.80.133/2/0/2|10.204.66.85/25
143.0.25.10/1/2/0|10.204.12.151/SM-A/2
143.0.24.237/0/0/5|10.204.85.104/9
8.8.0.177/5/0/0|10.204.30.67/9
150.0.0.53/2/0/0|10.204.9.120/10
149.0.3.216/4/0/2|10.204.85.72/10
149.0.3.195/0/0/0|10.204.9.157/11
150.0.0.168/5/1/4|10.204.83.180/9
143.0.68.202/0/0/0|10.204.85.95/11
8.8.0.205/1/0/0|10.204.90.214/24
12.82.100.7/5/0/6|10.204.160.83/25
150.0.0.176/5/0/2|10.204.9.170/9
8.8.0.154/2/0/5|10.204.90.240/25
148.0.131.182/4/1/6|10.204.82.173/25
10.144.0.137/1/2/5|10.204.67.20/9
10.144.0.154/2/3/1|192.168.113.25/10
143.0.68.168/1/0/4|10.204.10.189/9
150.0.0.147/3/0/0|10.204.82.201/21
149.8.0.23/0/0/3|10.204.81.83/26
8.8.1.5/2/0/0|10.204.90.251/21
150.0.0.46/5/0/0|10.204.8.72/10
150.0.0.217/0/0/0|10.204.83.112/9
12.123.80.27/3/1/2|10.204.80.140/25
12.80.68.134/5/0/0|10.204.160.115/25
10.144.0.137/1/2/0|192.168.128.102/9
143.0.68.227/2/0/0|10.204.132.83/11
143.0.68.226/0/0/3|10.204.10.157/9
148.0.131.221/2/0/0|10.204.8.100/25
10.0.38.72/0/0/0|10.204.66.242/9
10.144.0.137/1/1/1|192.168.113.180/SM-B/1
10.144.0.155/3/0/2|10.204.1.85/25
148.0.131.196/2/0/0|10.204.129.104/25
10.144.0.147/2/0/5|10.204.201.65/10
12.123.80.27/1/1/5|10.204.80.91/25
150.0.0.139/5/0/0|10.204.82.199/SM-B/2
149.0.3.195/5/1/0|10.204.9.230/11
12.23.36.35/1/0/1|12.23.35.55/10
150.0.0.167/2/0/3|10.204.84.73/10
12.123.80.181/2/0/0|10.204.129.79/25
143.0.68.248/0/2/3|10.204.11.248/9
12.80.4.15/1/0/0|10.204.160.94/24
149.0.3.198/2/0/0|10.204.84.242/26
12.82.0.62/2/1/2|10.204.200.118/25
143.0.68.242/3/0/2|10.204.132.174/9
149.8.0.23/0/0/0|10.204.81.64/25
12.80.72.36/0/0/0|10.204.200.200/25
143.0.24.29/2/1/9|10.204.132.128/SM-B/1
10.0.38.83/1/0/0|10.204.67.72/9
10.144.0.152/0/3/2|192.168.113.135/11
143.0.68.172/0/1/1|10.204.10.143/9
12.123.80.212/1/0/0|10.204.80.231/25
143.0.68.248/0/0/7|10.204.11.146/9
148.0.131.240/0/0/1|10.204.9.86/25
10.0.38.121/2/0/1|10.204.66.86/9
12.82.0.62/2/0/2|10.204.200.14/22
12.123.80.27/3/0/0|10.204.80.102/25
12.80.72.16/2/0/0|10.204.200.159/22
143.0.24.195/2/0/0|10.204.132.239/0
143.0.68.110/2/0/5|10.204.200.141/9
150.0.0.23/5/0/0|10.204.81.203/25
149.0.3.198/3/0/2|10.204.85.13/10
12.80.17.93/4/0/1|10.204.17.34/21
149.0.3.222/5/0/9|10.204.9.195/9
149.0.3.222/5/1/1|10.204.9.200/9
12.80.84.26/3/0/0|10.204.172.70/25
10.144.0.137/3/2/8|10.204.67.103/9
10.144.0.137/2/0/1|10.204.67.114/9
150.0.0.23/5/0/1|10.204.81.209/9
143.0.68.99/4/0/1|10.204.9.180/9
150.0.0.89/1/0/0|10.204.82.159/25
149.0.3.222/4/0/2|10.204.10.33/10
12.82.100.7/5/0/1|10.204.160.80/26
8.8.0.206/2/0/3|10.204.90.253/24
143.0.68.240/1/0/1|10.204.132.99/9
143.0.25.54/4/0/0|10.204.2.143/9
149.0.3.222/5/2/2|10.204.9.212/9
12.123.80.212/2/1/6|10.204.81.143/25
149.0.3.244/3/0/2|10.204.85.36/10
148.0.131.230/5/0/0|10.204.82.144/25
143.0.24.159/3/0/2|10.204.161.43/10
149.0.3.196/0/2/2|10.204.84.238/9
12.80.72.86/5/0/3|10.204.200.253/26
12.80.72.27/0/0/1|10.204.200.182/25
143.0.68.240/2/0/5|10.204.132.140/9
150.0.0.119/0/0/0|10.204.82.185/25
143.0.68.214/1/0/4|10.204.134.207/9
10.0.38.121/2/0/0|10.204.67.184/22
149.0.3.197/4/0/0|10.204.9.208/9
149.0.3.195/5/0/0|10.204.9.166/11
143.0.68.170/3/0/3|10.204.11.13/9
150.0.0.212/0/0/7|10.204.83.99/25
143.0.68.246/2/0/0|10.204.144.74/9
143.0.24.145/4/0/0|10.204.132.170/11
148.0.131.182/4/2/0|10.204.82.180/25
143.0.68.229/1/0/7|10.204.10.198/9
150.0.0.168/5/1/6|10.204.83.211/9
8.8.0.224/0/3/5|10.204.183.93/25
143.0.24.169/0/0/1|10.204.144.188/11
143.0.68.107/2/0/0|10.204.76.192/25
149.0.3.206/0/0/0|10.204.85.79/23
149.0.3.222/2/0/2|10.204.10.12/9
12.80.68.135/4/0/2|10.204.160.114/22
