@ref(networkElement)|@const(IpagPPort)class
@index(CE_PPort)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|port_aid|port_ipaddr|port_num|product_type|remote_device_name|remote_device_type|remote_device_ipaddr|remote_deviceloopbackip|remote_slot_name|remote_port_aid|slavlan|cdnbind|uni_nni|aafda_role|acnaban|assoc_nni_pport|clci|clfi|diverse_circuit_id|device_type|ineffect|mpa_connect_type|nmvlan
10.204.144.100/1|10.204.144.100/1|10.204.144.100/1|NFO-MOBILITYUNI|NTE|NTE|true|B|1||0||||||||||UNI|||9|22/KRFN/051713/GS|||CIENA NTE|Y||
10.204.8.87/SM-A/1|10.204.8.87/SM-A/1|10.204.8.87/SM-A/1|NFO-TA5000|TA5000|NTE|true|B|1||1||DYBHFLMAB33|JUNIPER MX SERIES|12.122.123.120|150.0.0.51||ge-4/0/0|||NNI|||||H102B/GE1N/DYBHFLMAB33/DYBHFLMAF03||ADTRAN 5000 SERIES|||
192.168.113.245/1/3|192.168.113.245/1/3|192.168.113.245/1/3|NFO-TA5000|TA5000|NTE|true|B|3||3||||||||||UNI|||||K151L/T3N/ORLDFLPC3U5/ORLDFLPC31W||ADTRAN 5000 SERIES|||
10.204.67.196/1|10.204.67.196/1|10.204.67.196/1|NTE-CFO|IPAG|NTE|true|B|1||1||||||||||UNI|||10|58/KQFN/021301/SB|||CIENA NTE|Y||
10.204.201.7/22|10.204.201.7/22|10.204.201.7/22|NFO-EMUX|EMUX|NTE|true|B|22||1||ORLDFLMA64W|JUNIPER MX SERIES|10.204.246.211|12.80.72.1||ge-1/0/3|||NNI|||||JU114/GE1N/ORLDFLMA64W/ORLDFLSOWAJ||CIENA EMUX|||
10.204.160.89/10|10.204.160.89/10|10.204.160.89/10|NFO-MOBILITY|NTE|NTE|true|B|10||1||RLGHNCMOPV3|JUNIPER MX SERIES|10.204.246.155|12.80.4.9||ge-3/0/0|||NNI|||||S101G/GE1N/RLGHNCMOPV3/RLGHNCMOPV8||CIENA NTE|N||
10.204.84.228/10|10.204.84.228/10|10.204.84.228/10|NFO-MOBILITY|NTE|NTE|true|S|10||1||CRCYNVMAD01|JUNIPER MX SERIES|10.204.242.115|149.0.3.196||ge-0/0/4|4091||NNI|||||JU102/GE1N/CRCYNVMAD01/CRCYNVMAD30||CIENA NTE|Y||
10.204.90.160/5|10.204.90.160/5|10.204.90.160/5|NTE-CFO|IPAG|NTE|true|S|5||5||||||||||UNI|||25|10/KQGN/101060/NV|||CIENA NTE|Y||
10.204.83.180/9|10.204.83.180/9|10.204.83.180/9|NFO-MOBILITY|NTE|NTE|true|S|9||1||CRCYNVMAI41|JUNIPER MX SERIES|10.204.241.113|150.0.0.168||ge-5/1/4|||NNI|||||JU101/GE1N/CRCYNVMAI41/CRCYNVMAOOP||CIENA NTE|N||4092
10.204.80.196/1|10.204.80.196/1|10.204.80.196/1|NTE-CFO|IPAG|NTE|true|S|1||1||||||||||UNI|||25|23/DHEC/908908/NV|||CIENA NTE|Y||
10.204.90.176/25|10.204.90.176/25|10.204.90.176/25|NFO-MOBILITY|NTE|NTE|true|S|25||0||CRCYNVAA5D5|JUNIPER MX SERIES|12.81.161.220|8.8.0.205||ge-1/0/9|||NNI|||||K101M/GE1N/CRCYNVAAL9V/CRCYNVAA5D5||CIENA NTE|N||
10.204.90.160/28|10.204.90.160/28|10.204.90.160/28|NTE-CFO|IPAG|NTE|true|S|28||0||||||||||UNI|||25|87/KRFN/974533/NV|||CIENA NTE|Y||
10.204.11.183/9|10.204.11.183/9|10.204.11.183/9|NFO-MOBILITY|NTE|NTE|true|B|9||1||DYBHFLMA308|JUNIPER MX SERIES|10.204.243.122|143.0.68.248||ge-1/1/2|||NNI|||||D101F/GE1N/DYBHFLMA308/DYBHFLMA749||CIENA NTE|N||4092
10.204.80.110/25|10.204.80.110/25|10.204.80.110/25|NFO-MOBILITY|NTE|NTE|true|S|25||1||CRCYNVAA3IP|JUNIPER MX SERIES|12.122.122.53|12.123.80.27||ge-3/0/7|||NNI|||||Y101H/GE1N/CRCYNVAAPIE/CRCYNVAA3IP||CIENA NTE|Y||4092
10.204.90.140/10|10.204.90.140/10|10.204.90.140/10|NFO-MOBILITY|NTE|NTE|true|S|10||0||CRCYNVAAYU2|JUNIPER MX SERIES|12.81.161.197|8.8.0.185||ge-3/0/1|||NNI|||||101/GE1N/CRCYNVAAYN1/CRCYNVAAYU2||CIENA NTE|N||
10.204.84.105/1|10.204.84.105/1|10.204.84.105/1|NTE-CFO|IPAG|NTE|true|S|1||0||||||||||UNI|||9|12/UNIH/776691/SA|||CIENA NTE|Y||
10.204.10.75/10|10.204.10.75/10|10.204.10.75/10|NFO-MOBILITY|NTE|NTE|true|B|10||1||DYBHFLMCV01|JUNIPER MX SERIES|10.204.243.44|143.0.68.172||ge-0/0/2|||NNI|||||JU101/GE1N/DYBHFLMCA0U/DYBHFLMCV01||CIENA NTE|Y||4092
10.204.201.58/27|10.204.201.58/27|10.204.201.58/27|NFO-MOBILITY|NTE|NTE|true|B|27||0||RLGHNCMAX10|JUNIPER MX SERIES|10.204.247.132|12.80.72.123||ge-0/0/1|||NNI|||||G101H/GE1N/RLGHNCMAR03/RLGHNCMAX10||CIENA NTE|N||
10.204.90.93/27|10.204.90.93/27|10.204.90.93/27|NTE-CFO|IPAG|NTE|true|S|27||0||||||||||UNI|||25|AB/BBBB/12345/123/ESE|||CIENA NTE|Y||
10.204.1.108/21|10.204.1.108/21|10.204.1.108/21|NFO-MOBILITYUNI|NTE|NTE|true|S|21||21||||||||||UNI|||25|35/KQFN/128322/PT|||CIENA NTE|Y||
10.204.81.125/1|10.204.81.125/1|10.204.81.125/1|NTE-CFO|IPAG|NTE|true|S|1||1||||||||||UNI|||25|03/UNIF/240387/JP|||CIENA NTE|Y||
10.204.134.219/5|10.204.134.219/5|10.204.134.219/5|NFO-MOBILITYUNI|NTE|NTE|true|S|5||0||||||||||UNI|||9|13/KRFN/800006/KL|||CIENA NTE|Y||
10.204.132.88/11|10.204.132.88/11|10.204.132.88/11|NFO-MOBILITY|NTE|NTE|true|B|11||1||GSVLFLANH02|JUNIPER MX SERIES|10.204.243.116|143.0.68.242||xe-0/2/0|||NNI|DA||||JP101/GE10/GSVLFLANH02/GSVLFLANW18|JP102/GE10/GSVLFLANH01/GSVLFLANW17|CIENA NTE|Y||4092
10.204.1.80/9|10.204.1.80/9|10.204.1.80/9|NTE-CFO|IPAG|NTE|true|S|9||9||||||||||UNI|||25|35/KQFN/128204/PT|||CIENA NTE|Y||
10.204.1.119/23|10.204.1.119/23|10.204.1.119/23|NFO-MOBILITYUNI|NTE|NTE|true|S|23||23||||||||||UNI|||25|35/KQFN/128143/PT|||CIENA NTE|Y||
192.168.113.111/21|192.168.113.111/21|192.168.113.111/21|NTE-CFO|IPAG|NTE|true|B|21||21||||||||||UNI|||25|85/KQGN/101005/SB|||CIENA NTE|Y||
10.204.11.229/21|10.204.11.229/21|10.204.11.229/21|NFO-EMUX|EMUX|NTE|true|B|21||1||DYBHFLMA308|JUNIPER MX SERIES|10.204.243.122|143.0.68.248||ge-1/3/0|||NNI|||||101/GE1N/DYBHFLMA308/DYBHFLMA67L||CIENA EMUX|||
10.204.208.97/25|10.204.208.97/25|10.204.208.97/25|NFO-MOBILITY|NTE|NTE|true|S|25||1||CRCYNVAADS1|JUNIPER MX SERIES|12.122.122.83|12.123.80.57||ge-2/0/3|||NNI|||||101/GE1N/CRCYNVAADS1/CRCYNVAAH13||CIENA NTE|N||4092
10.204.114.196/21|10.204.114.196/21|10.204.114.196/21|NFO-EMUX|EMUX|NTE|true|S|21||1||SNJSCA020GW|JUNIPER MX SERIES|10.204.246.224|12.80.72.8||ge-1/1/8|||NNI|||||JU103/GE1N/SNJSCA020GW/SNJSCA0200W||CIENA EMUX|||
