@ref(networkElement)|@const(IpagSlot)class
@index(PE_Slot)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|slot_number|slot_name
12.83.164.56/4|12.83.164.56/4|12.83.164.56/4|||OEW-SROUTER|true||4|
12.82.122.15/7|12.82.122.15/7|12.82.122.15/7|||OEW-VPLS|true||7|
12.82.117.1/0|12.82.117.1/0|12.82.117.1/0|||OEW-SROUTER|true||0|
12.82.16.104/1|12.82.16.104/1|12.82.16.104/1|||OEW-SROUTER|true||1|
8.8.0.166/1|8.8.0.166/1|8.8.0.166/1|ETHERNET-NFO|IPAG|IPAG|true|S|1|DPC1
12.82.40.99/10|12.82.40.99/10|12.82.40.99/10|||OEW-VPLS|true||10|
12.82.100.8/11|12.82.100.8/11|12.82.100.8/11|||OEW-VPLS|true||11|
12.82.110.1/10|12.82.110.1/10|12.82.110.1/10|||OEW-VPLS|true||10|
12.82.0.45/9|12.82.0.45/9|12.82.0.45/9|||OEW-VPLS|true||9|
150.0.0.232/0|150.0.0.232/0|150.0.0.232/0|ETHERNET-NFO|IPAG|IPAG|true|S|0|DPC0
12.122.125.235/4|12.122.125.235/4|12.122.125.235/4|||OEW-SROUTER|true||4|
12.122.122.88/11|12.122.122.88/11|12.122.122.88/11|||OEW-VPLS|true||11|
12.122.126.203/1|12.122.126.203/1|12.122.126.203/1|||OEW-T640|true||1|
172.19.68.97/7|172.19.68.97/7|172.19.68.97/7|||OEW-SROUTER|true||7|
12.82.0.64/2|12.82.0.64/2|12.82.0.64/2|||OEW-SROUTER|true||2|
12.122.122.186/10|12.122.122.186/10|12.122.122.186/10|||OEW-VPLS|true||10|
12.82.100.3/3|12.82.100.3/3|12.82.100.3/3|||OEW-SROUTER|true||3|
12.82.90.26/8|12.82.90.26/8|12.82.90.26/8|||OEW-VPLS|true||8|
12.83.164.25/4|12.83.164.25/4|12.83.164.25/4|||OEW-SROUTER|true||4|
12.122.122.92/7|12.122.122.92/7|12.122.122.92/7|||OEW-VPLS|true||7|
12.122.122.101/11|12.122.122.101/11|12.122.122.101/11|||OEW-VPLS|true||11|
12.122.215.6/7|12.122.215.6/7|12.122.215.6/7|||OEW-T640|true||7|
12.82.60.30/11|12.82.60.30/11|12.82.60.30/11|||OEW-VPLS|true||11|
12.82.24.30/2|12.82.24.30/2|12.82.24.30/2|||OEW-VPLS|true||2|
12.82.109.3/10|12.82.109.3/10|12.82.109.3/10|||OEW-VPLS|true||10|
12.82.8.103/0|12.82.8.103/0|12.82.8.103/0|||OEW-VPLS|true||0|
