@rel(Composed_Of)
@from(PE_Card)key|@to(PE_PPort)key
12.83.165.45/6/0|12.83.165.45/6/0/1
12.82.124.192/1/3|12.82.124.192/1/3/1
12.82.8.58/2/3|12.82.8.58/2/3/1
12.122.122.227/4/1|12.122.122.227/4/1/5
12.82.118.19/2/0|12.82.118.19/2/0/9
12.82.16.61/2/1|12.82.16.61/2/1/5
12.82.104.14/3/1|12.82.104.14/3/1/3
12.82.114.13/5/1|12.82.114.13/5/1/3
12.82.8.70/2/0|12.82.8.70/2/0/2
12.122.215.54/7/3|12.122.215.54/7/3/0
12.82.78.1/10/3|12.82.78.1/10/3/7
12.82.118.21/0/0|12.82.118.21/0/0/0
12.82.131.6/7/0|12.82.131.6/7/0/0
12.122.122.133/7/0|12.122.122.133/7/0/6
12.82.90.30/0/3|12.82.90.30/0/3/0
12.82.110.5/10/1|12.82.110.5/10/1/6
12.82.80.19/5/0|12.82.80.19/5/0/5
165.87.208.54/0/1|165.87.208.54/0/1/1
12.82.24.123/4/1|12.82.24.123/4/1/0
12.82.24.123/9/2|12.82.24.123/9/2/2
12.82.24.81/0/0|12.82.24.81/0/0/0
12.82.40.79/5/0|12.82.40.79/5/0/5
12.122.122.153/3/0|12.122.122.153/3/0/0
12.82.82.8/2/1|12.82.82.8/2/1/8
12.82.70.27/2/2|12.82.70.27/2/2/9
12.82.40.105/3/3|12.82.40.105/3/3/8
12.122.122.87/3/1|12.122.122.87/3/1/6
12.82.78.18/2/0|12.82.78.18/2/0/7
12.82.102.1/1/2|12.82.102.1/1/2/8
32.119.112.118/2/3|32.119.112.118/2/3/0
12.122.119.25/4/0|12.122.119.25/4/0/6
12.82.24.1/9/2|12.82.24.1/9/2/3
12.122.127.38/6/3|12.122.127.38/6/3/3
12.82.125.130/9/3|12.82.125.130/9/3/6
12.82.0.57/3/3|12.82.0.57/3/3/3
12.122.127.36/4/1|12.122.127.36/4/1/0
12.82.94.17/9/1|12.82.94.17/9/1/4
165.87.253.140/0/1|165.87.253.140/0/1/1
12.82.82.20/2/2|12.82.82.20/2/2/6
12.82.40.81/2/0|12.82.40.81/2/0/7
12.82.56.6/10/1|12.82.56.6/10/1/3
12.82.126.192/10/0|12.82.126.192/10/0/4
12.82.0.70/8/2|12.82.0.70/8/2/0
12.122.119.229/3/0|12.122.119.229/3/0/0
12.82.66.20/4/1|12.82.66.20/4/1/2
12.82.125.130/10/0|12.82.125.130/10/0/1
12.82.63.2/10/1|12.82.63.2/10/1/7
12.82.114.4/5/0|12.82.114.4/5/0/0
12.82.102.21/8/3|12.82.102.21/8/3/2
165.87.209.53/5/3|165.87.209.53/5/3/2
12.82.106.14/4/2|12.82.106.14/4/2/8
12.83.164.56/0/1|12.83.164.56/0/1/0
12.82.90.19/9/0|12.82.90.19/9/0/3
12.82.144.21/3/3|12.82.144.21/3/3/7
12.82.32.96/5/2|12.82.32.96/5/2/4
12.82.66.24/4/0|12.82.66.24/4/0/7
12.122.122.227/3/0|12.122.122.227/3/0/5
12.122.125.38/3/0|12.122.125.38/3/0/4
12.82.94.18/9/3|12.82.94.18/9/3/6
12.82.102.24/8/1|12.82.102.24/8/1/0
149.0.3.196/0/2|149.0.3.196/0/2/3
12.82.80.16/3/3|12.82.80.16/3/3/8
150.0.0.207/1/0|150.0.0.207/1/0/3
12.82.24.70/0/0|12.82.24.70/0/0/0
12.80.72.119/0/1|12.80.72.119/0/1/0
12.82.60.19/1/2|12.82.60.19/1/2/0
12.82.60.25/5/0|12.82.60.25/5/0/6
143.0.68.248/0/0|143.0.68.248/0/0/6
143.0.24.98/1/0|143.0.24.98/1/0/3
12.122.122.59/3/0|12.122.122.59/3/0/6
12.82.118.18/2/0|12.82.118.18/2/0/1
12.82.8.82/10/3|12.82.8.82/10/3/3
12.82.88.27/3/1|12.82.88.27/3/1/2
12.122.121.154/3/2|12.122.121.154/3/2/3
12.82.114.13/10/1|12.82.114.13/10/1/6
12.82.58.3/5/1|12.82.58.3/5/1/0
10.0.36.136/2/2|10.0.36.136/2/2/8
12.82.0.127/4/3|12.82.0.127/4/3/0
12.82.16.101/3/1|12.82.16.101/3/1/0
12.82.8.79/3/3|12.82.8.79/3/3/0
12.82.108.16/0/0|12.82.108.16/0/0/9
12.122.122.226/4/0|12.122.122.226/4/0/7
12.122.121.155/3/1|12.122.121.155/3/1/5
12.82.49.68/0/2|12.82.49.68/0/2/2
172.30.128.22/7/1|172.30.128.22/7/1/7
12.122.126.254/1/1|12.122.126.254/1/1/0
12.82.94.26/0/0|12.82.94.26/0/0/0
12.82.114.22/3/2|12.82.114.22/3/2/9
12.122.122.207/5/1|12.122.122.207/5/1/0
12.82.80.15/2/1|12.82.80.15/2/1/0
12.122.122.178/3/3|12.122.122.178/3/3/9
1.2.3.4/1/0|1.2.3.4/1/0/4
12.82.114.23/2/3|12.82.114.23/2/3/7
12.82.150.17/1/3|12.82.150.17/1/3/7
172.30.134.5/7/1|172.30.134.5/7/1/6
150.0.0.89/2/2|150.0.0.89/2/2/0
12.82.66.1/4/1|12.82.66.1/4/1/3
12.122.122.105/2/2|12.122.122.105/2/2/0
12.82.82.21/2/3|12.82.82.21/2/3/0
172.20.132.97/1/0|172.20.132.97/1/0/0
12.122.119.17/4/0|12.122.119.17/4/0/0
172.21.100.97/0/0|172.21.100.97/0/0/0
12.82.8.82/3/0|12.82.8.82/3/0/4
12.82.40.33/2/0|12.82.40.33/2/0/4
12.82.40.82/2/3|12.82.40.82/2/3/6
12.82.48.65/3/0|12.82.48.65/3/0/4
12.122.124.168/4/0|12.122.124.168/4/0/6
12.82.74.30/2/1|12.82.74.30/2/1/5
165.87.245.71/7/2|165.87.245.71/7/2/0
12.82.8.62/1/0|12.82.8.62/1/0/2
12.82.106.11/9/2|12.82.106.11/9/2/3
12.82.90.11/2/1|12.82.90.11/2/1/4
12.82.40.81/2/1|12.82.40.81/2/1/6
12.122.125.38/4/0|12.122.125.38/4/0/2
12.82.72.25/5/2|12.82.72.25/5/2/8
12.122.122.207/3/0|12.122.122.207/3/0/5
12.82.56.10/3/1|12.82.56.10/3/1/4
135.16.241.28/3/3|135.16.241.28/3/3/6
12.122.126.105/1/3|12.122.126.105/1/3/0
12.122.159.113/1/0|12.122.159.113/1/0/0
12.82.40.105/11/0|12.82.40.105/11/0/0
12.82.104.3/8/0|12.82.104.3/8/0/0
143.0.24.159/0/0|143.0.24.159/0/0/4
12.82.144.20/3/2|12.82.144.20/3/2/9
12.82.78.1/0/3|12.82.78.1/0/3/0
