@rel(Composed_Of)
@from(CE_Card)key|@to(CE_PPort)key
10.204.114.202/SM-A|10.204.114.202/SM-A/1
10.204.132.128/SM-B|10.204.132.128/SM-B/1
10.204.160.124/SM-A|10.204.160.124/SM-A/2
10.204.160.95/SM-A|10.204.160.95/SM-A/2
192.168.113.245/15|192.168.113.245/15/1
10.204.8.69/SM-A|10.204.8.69/SM-A/1
10.204.64.168/SM-A|10.204.64.168/SM-A/1
10.204.90.217/1|10.204.90.217/1/2
192.168.113.230/SM-A|192.168.113.230/SM-A/1
10.204.8.69/SM-A|10.204.8.69/SM-A/2
10.204.183.95/17|10.204.183.95/17/1
192.168.113.180/1|192.168.113.180/1/1
10.204.82.188/SM-B|10.204.82.188/SM-B/1
10.204.90.88/1|10.204.90.88/1/7
10.204.132.153/SM-B|10.204.132.153/SM-B/1
10.204.144.92/SM-B|10.204.144.92/SM-B/1
10.204.90.162/SM-B|10.204.90.162/SM-B/1
10.204.8.87/SM-A|10.204.8.87/SM-A/1
10.204.64.180/SM-B|10.204.64.180/SM-B/1
10.204.176.67/SM-A|10.204.176.67/SM-A/1
10.204.82.199/SM-A|10.204.82.199/SM-A/2
192.168.113.200/22|192.168.113.200/22/0
10.204.29.124/21|10.204.29.124/21/1
10.204.64.183/SM-A|10.204.64.183/SM-A/1
10.204.200.111/SM-B|10.204.200.111/SM-B/1
192.168.113.200/20|192.168.113.200/20/5
10.204.65.139/SM-B|10.204.65.139/SM-B/2
10.204.90.217/1|10.204.90.217/1/3
10.204.200.72/SM-A|10.204.200.72/SM-A/1
10.204.10.149/SM-A|10.204.10.149/SM-A/2
10.204.176.65/SM-A|10.204.176.65/SM-A/1
10.204.176.67/SM-B|10.204.176.67/SM-B/1
10.204.160.100/SM-A|10.204.160.100/SM-A/1
10.204.64.154/SM-A|10.204.64.154/SM-A/2
10.204.134.194/SM-B|10.204.134.194/SM-B/1
10.204.144.193/SM-B|10.204.144.193/SM-B/2
10.204.90.163/SM-B|10.204.90.163/SM-B/2
10.204.64.180/SM-A|10.204.64.180/SM-A/1
10.204.12.151/SM-A|10.204.12.151/SM-A/2
10.204.90.217/1|10.204.90.217/1/1
10.204.144.222/SM-A|10.204.144.222/SM-A/2
10.204.12.150/SM-A|10.204.12.150/SM-A/1
10.204.204.132/SM-B|10.204.204.132/SM-B/1
