@rel(PLink)
@from(CE_PPort)key|@to(CE_PPort)key
192.168.113.111/25|192.168.113.147/2
10.204.83.165/301|10.204.83.97/20/1
10.204.10.205/1|10.204.10.202/25
10.204.83.154/2|10.204.83.156/9
150.234.53.240/25|150.234.53.247/1
10.204.176.84/10|10.204.176.72/3
10.204.1.91/9|192.168.113.149/4
10.204.134.201/1|10.204.134.202/9
10.204.30.71/1|10.204.30.67/10
10.204.160.82/21|10.204.160.80/28
10.204.161.38/9|10.204.161.37/1
10.204.200.170/25|10.204.200.158/1
10.204.9.41/25|10.204.9.92/2
192.168.113.149/3|10.204.1.90/9
192.168.113.147/2|192.168.113.111/25
10.204.9.31/25|10.204.9.92/1
10.204.132.127/9|10.204.132.124/1
10.204.90.114/2|10.204.90.88/1/6
10.204.176.72/3|10.204.176.84/10
10.204.90.156/1|10.204.90.88/1/3
10.204.176.65/3|10.204.166.76/25
10.204.160.134/1|10.204.200.163/25
10.204.10.202/25|10.204.10.205/1
10.204.90.141/1|10.204.90.88/1/7
10.204.90.220/1|10.204.90.223/25
10.204.90.248/1|10.204.90.247/25
10.204.200.157/1|10.204.201.6/25
10.204.66.237/301|192.168.113.200/20/1
10.204.67.53/301|192.168.113.200/20/5
10.204.85.76/2|10.204.85.80/10
10.204.9.95/3|10.204.9.116/9
10.204.84.229/2|10.204.85.12/10
10.204.83.156/9|10.204.83.154/2
10.204.84.244/10|10.204.84.243/18
10.204.11.59/9|10.204.11.58/15
10.204.90.249/26|10.204.90.250/1
10.204.30.65/2|10.204.34.64/25
10.204.161.37/1|10.204.161.38/9
192.168.113.60/9|192.168.113.149/5
10.204.84.229/1|10.204.85.12/9
192.168.113.149/5|192.168.113.60/9
10.204.30.72/25|10.204.30.66/5
10.204.90.250/1|10.204.90.249/26
10.204.84.243/18|10.204.84.244/10
10.204.132.152/9|10.204.132.151/1
10.204.176.95/25|10.204.176.72/2
10.204.11.103/1|10.204.11.104/9
192.168.113.200/20/1|10.204.66.237/301
10.204.90.177/1|10.204.90.178/25
10.204.85.77/10|10.204.85.76/1
10.204.82.141/1|10.204.82.147/25
10.204.90.88/1/6|10.204.90.114/2
192.168.113.180/21/9|192.168.113.182/7
10.204.200.163/25|10.204.160.134/1
192.168.113.182/7|192.168.113.180/21/9
10.204.176.82/25|10.204.176.72/2
10.204.83.97/20/1|10.204.83.165/301
192.168.113.181/303|192.168.113.180/21/3
10.204.200.174/1|10.204.200.152/25
10.204.83.154/1|10.204.83.155/9
10.204.10.149/1/1|10.204.10.150/301
192.168.113.230/21/9|192.168.113.202/301
192.168.113.149/4|10.204.1.91/9
10.204.90.88/1/1|10.204.90.194/1
10.204.9.115/9|10.204.9.95/2
10.204.10.150/301|10.204.10.149/1/1
10.204.83.155/9|10.204.83.154/1
10.204.235.195/9|10.204.235.197/1
10.204.30.64/10|10.204.30.65/1
10.204.90.194/1|10.204.90.88/1/1
10.204.90.183/25|10.204.90.185/2
10.204.84.251/10|10.204.84.250/1
10.204.9.92/2|10.204.9.41/25
10.204.9.96/9|10.204.9.95/1
10.204.90.185/2|10.204.90.183/25
10.204.90.247/25|10.204.90.248/1
10.204.90.88/1/3|10.204.90.156/1
10.204.90.223/25|10.204.90.220/1
10.204.172.70/26|10.204.172.71/1
10.204.9.92/1|10.204.9.31/25
10.204.176.88/26|10.204.176.71/2
10.204.161.37/2|10.204.161.38/10
192.168.113.180/21/2|192.168.113.181/302
10.204.30.66/5|10.204.30.72/25
10.204.144.170/1|10.204.144.172/9
10.204.82.147/25|10.204.82.141/1
10.204.200.152/25|10.204.200.174/1
10.204.9.95/1|10.204.9.96/9
10.204.134.202/9|10.204.134.201/1
10.204.235.197/1|10.204.235.195/9
10.204.11.58/15|10.204.11.59/9
192.168.113.147/1|192.168.113.175/9
10.204.90.245/25|10.204.90.199/1
10.204.161.38/10|10.204.161.37/2
10.204.176.105/10|10.204.176.77/1
10.204.84.250/1|10.204.84.251/10
192.168.113.202/301|192.168.113.230/21/9
150.234.53.247/1|150.234.53.240/25
10.204.144.172/9|10.204.144.170/1
10.204.160.80/28|10.204.160.82/21
10.204.90.178/25|10.204.90.177/1
10.204.30.65/1|10.204.30.64/10
10.204.176.77/1|10.204.176.105/10
192.168.113.200/20/5|10.204.67.53/301
10.204.200.173/26|10.204.160.134/5
192.168.113.175/9|192.168.113.147/1
10.204.90.199/1|10.204.90.245/25
10.204.160.134/5|10.204.200.173/26
10.204.132.124/1|10.204.132.127/9
10.204.9.116/9|10.204.9.95/3
10.204.9.179/1|10.204.9.177/9
10.204.201.6/25|10.204.200.157/1
10.204.200.174/2|12.12.33.45/28
10.204.176.72/2|10.204.176.82/25
10.204.90.88/1/7|10.204.90.141/1
10.204.1.90/9|192.168.113.149/3
10.204.172.71/1|10.204.172.70/26
10.204.34.64/25|10.204.30.65/2
10.204.85.12/10|10.204.84.229/2
10.204.176.100/25|10.204.200.178/1
10.204.9.95/2|10.204.9.115/9
10.204.132.151/1|10.204.132.152/9
10.204.176.71/2|10.204.176.88/26
10.204.166.76/25|10.204.176.65/3
192.168.113.181/302|192.168.113.180/21/2
192.168.113.180/21/3|192.168.113.181/303
10.204.200.158/1|10.204.200.170/25
12.12.33.45/28|10.204.200.174/2
10.204.85.76/1|10.204.85.77/10
10.204.11.104/9|10.204.11.103/1
10.204.9.177/9|10.204.9.179/1
10.204.176.72/2|10.204.176.95/25
10.204.200.178/1|10.204.176.100/25
10.204.30.67/10|10.204.30.71/1
10.204.85.12/9|10.204.84.229/1
10.204.85.80/10|10.204.85.76/2
