@rel(Associated_To)
@from(EVC)key|@to(EVCNode)key
L2CKT:29440|192.168.113.188/L2CKT:29440
VPLS:29235|10.204.132.87/VPLS:29235
VPLS:24227|10.204.66.99/VPLS:24227
VPLS:32266|143.0.68.168/VPLS:32266
VPLS:31124|10.204.134.202/VPLS:31124
VPWS:30070|10.144.0.137/VPWS:30070
VPWS:29305|143.0.68.230/VPWS:29305
VPWS:29703|10.204.132.97/VPWS:29703
VPWS:28385|143.0.68.169/VPWS:28385
VPLS:32481|10.204.144.105/VPLS:32481
VPLS:25828|150.0.0.234/VPLS:25828
VPWS:25761|143.0.68.46/VPWS:25761
VPWS:25763|143.0.68.247/VPWS:25763
VPWS:23761|148.0.131.182/VPWS:23761
VPLS:29007|10.204.10.114/VPLS:29007
VPLS:27447|10.204.67.56/VPLS:27447
VPLS:61018|10.204.166.81/VPLS:61018
VPWS:23737|10.204.66.99/VPWS:23737
VPLS:20548|10.204.64.164/VPLS:20548
VPLS:29265|149.4.64.12/VPLS:29265
VPLS:22198|10.204.80.234/VPLS:22198
VPLS:23838|10.204.66.99/VPLS:23838
VPLS:28705|10.204.85.93/VPLS:28705
VPLS:25581|149.0.3.128/VPLS:25581
VPLS:31948|143.0.24.148/VPLS:31948
VPWS:23426|148.0.131.182/VPWS:23426
VPWS:28996|10.204.83.154/VPWS:28996
VPLS:63082|10.204.90.186/VPLS:63082
VPWS:30785|10.204.1.65/VPWS:30785
VPWS:32105|10.144.0.147/VPWS:32105
VPWS:30194|143.0.68.184/VPWS:30194
VPLS:22507|10.144.0.62/VPLS:22507
VPWS:23735|10.204.66.99/VPWS:23735
VPLS:30079|10.204.11.141/VPLS:30079
VPWS:31728|143.0.68.248/VPWS:31728
VPLS:26057|10.204.9.72/VPLS:26057
VPLS:25920|150.0.0.167/VPLS:25920
VPWS:27768|10.144.0.137/VPWS:27768
VPWS:28700|10.204.83.98/VPWS:28700
VPWS:63829|10.204.90.230/VPWS:63829
VPWS:23752|148.0.131.182/VPWS:23752
VPLS:30543|192.168.113.81/VPLS:30543
VPLS:26413|10.204.83.169/VPLS:26413
VPLS:24307|10.204.66.99/VPLS:24307
VPWS:29493|10.204.132.87/VPWS:29493
VPLS:21963|12.123.80.46/VPLS:21963
VPLS:21885|192.168.113.99/VPLS:21885
VPLS:25646|10.204.9.88/VPLS:25646
VPLS:31428|149.4.64.12/VPLS:31428
VPLS:29679|10.204.11.66/VPLS:29679
VPLS:27758|10.204.67.136/VPLS:27758
VPWS:29232|143.0.68.230/VPWS:29232
VPLS:26057|10.204.9.67/VPLS:26057
VPWS:30194|10.204.11.141/VPWS:30194
VPLS:52119|10.204.200.119/VPLS:52119
VPLS:22022|12.123.80.46/VPLS:22022
VPLS:32722|10.204.85.104/VPLS:32722
VPLS:26713|10.204.83.196/VPLS:26713
VPWS:30434|10.204.11.141/VPWS:30434
VPWS:31004|10.204.134.201/VPWS:31004
VPWS:63695|10.204.90.160/VPWS:63695
VPLS:25851|10.204.83.246/VPLS:25851
VPLS:28750|143.0.68.168/VPLS:28750
VPWS:31809|10.204.134.219/VPWS:31809
VPLS:25854|10.204.9.98/VPLS:25854
VPWS:21632|135.16.241.32/VPWS:21632
VPLS:29849|148.0.131.239/VPLS:29849
VPLS:52421|10.204.172.71/VPLS:52421
VPLS:62307|10.204.90.127/VPLS:62307
VPLS:32483|10.204.144.94/VPLS:32483
VPWS:30184|10.204.134.202/VPWS:30184
VPWS:29575|10.0.40.7/VPWS:29575
VPLS:23944|10.204.8.153/VPLS:23944
VPWS:31742|143.0.68.248/VPWS:31742
VPLS:30374|10.0.38.121/VPLS:30374
VPWS:25642|150.0.0.168/VPWS:25642
VPWS:25871|143.0.68.43/VPWS:25871
L2CKT:62505|8.8.0.154/L2CKT:62505
VPWS:63665|8.8.0.240/VPWS:63665
