@ref(networkElement)|@const(IpagDevice)class
@index(CE_Device)key|TDL_instance_name|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|key|acnaban|customer_number|device_model|device_name|device_role|device_sub_role|device_type|ipaddress|ineffect|loopback_ipaddr|mcn|mobility_ind|multi_nni|multi_uni|mpa_ind|provision_status|ptnii|subscriber_name|multitenantind
10.204.161.22|10.204.161.22|NFO-MOBILITY|NTE|NTE|true|B|10.204.161.22|AWL-901C010249|901C010249|CN3960|JCVLFLWTX6X|||CIENA NTE|10.204.161.22|Y||901C01024|Y|Y|Y|N|IN-SERVICE||Abhay_901C010249_AWL|N
10.204.9.69|10.204.9.69|NFO-MOBILITY|NTE|NTE|true|B|10.204.9.69|ATX-904N130200|904N130200|LE311V|DYBHFLMAWAJ|||CIENA NTE|10.204.9.69|Y||904N13020|N|N|N|N|IN-SERVICE||ECRM TEST - ZELLER INC_904N130200_ATX|N
192.168.113.241|192.168.113.241|NFO-MOBILITY|NTE|NTE|true|B|192.168.113.241|EXF-407N191276|407N191276|NETVANTA 838 OSP|ORLDFLDOHH1|||ADTRAN 800 SERIES|192.168.113.241|Y|||N|N|N|N|IN-SERVICE||CTS-SE-WHL-NMOB-OEMA_407N191276_EXF|
10.204.12.81|10.204.12.81|NFO-EMUX|EMUX|NTE|true|B|10.204.12.81|||CN5150|DYBHFLMB2EX|CO||CIENA EMUX|10.204.12.81||||N|||N|IN-SERVICE|||
10.204.83.165|10.204.83.165|NFO-MOBILITY|NTE|NTE|true|S|10.204.83.165|AWL-901C010249|901C010249|NETVANTA 838|CRCYNVMASC3|||ADTRAN 800 SERIES|10.204.83.165|Y||901C01024|N|N|N|N|IN-SERVICE||E2E SA FEBRUARY2011_901C010249_AWL|
10.204.9.95|10.204.9.95|NFO-EMUX|EMUX|NTE|true|B|10.204.9.95|||CN5140|DYBHFLMAW30|CO||CIENA EMUX|10.204.9.95||||N|||N|IN-SERVICE|||
10.204.83.97|10.204.83.97|NFO-TA5000|TA5000|NTE|true|S|10.204.83.97|||TA5000|CRCYNVMAA50|||ADTRAN 5000 SERIES|10.204.83.97||||N|||N|IN-SERVICE|||
10.204.134.201|10.204.134.201|NFO-EMUX|EMUX|NTE|true|S|10.204.134.201|||CN5140|ANHMCAGTO10|CO||CIENA EMUX|10.204.134.201||||N|||N|IN-SERVICE|||
10.204.1.80|10.204.1.80|NFO-MOBILITY|NTE|NTE|true|S|10.204.1.80|FNA-0727415099|0727415099|LE311V|SNJSCA021KW|||CIENA NTE|10.204.1.80|Y||072741509|N|N|Y|N|IN-SERVICE||CTS W GENERIC BAN_0727415099_FNA|Y
10.204.176.84|10.204.176.84|NFO-MOBILITY|NTE|NTE|true|B|10.204.176.84|ATW-404N100098|456|CN3911-OUTDOOR-AC|DYBHFLHU4CW|||CIENA NTE|10.204.176.84|Y|||N|N|Y|N|IN-SERVICE||Nikhil_404N100098_ATW|N
192.168.113.182|192.168.113.182|NFO-MOBILITY|NTE|NTE|true|B|192.168.113.182|EXF-407N191276|407N191276|NETVANTA 838|ORLEFLUWH01|||ADTRAN 800 SERIES|192.168.113.182|Y|||N|N|N|N|IN-SERVICE||CTS-SE-WHL-NMOB-OEMA_407N191276_EXF|
10.204.10.33|10.204.10.33|NFO-MOBILITY|NTE|NTE|true|B|10.204.10.33|452-904C010249|904C010249|CN3930|DYBHFLMALV1|||CIENA NTE|10.204.10.33|Y||904C01024|Y|Y|Y|N|IN-SERVICE||SHASHWAT_904C010249_452|N
192.168.113.181|192.168.113.181|NFO-MOBILITY|NTE|NTE|true|B|192.168.113.181|ABC-901C010249|901C010249|NETVANTA 838|ORLDFLHSH05|||ADTRAN 800 SERIES|192.168.113.181|Y|||N|N|N|N|IN-SERVICE||Saras Day Care_901C010249_ABC|
10.204.172.70|10.204.172.70|NFO-MOBILITY|NTE|NTE|true|B|10.204.172.70|CUS-904N130039|904N130039|LE311V|STAGFLMANT1|||CIENA NTE|10.204.172.70|Y|||N|N|N|N|IN-SERVICE||UAT SOUTH EAST OEMAC_904N130039_CUS|N
192.168.113.180|192.168.113.180|NFO-TA5000|TA5000|NTE|true|B|192.168.113.180|||TA5000|ORLDFLPC61W|||ADTRAN 5000 SERIES|192.168.113.180||||N|||N|IN-SERVICE|||
10.204.176.72|10.204.176.72|NFO-EMUX|EMUX|NTE|true|B|10.204.176.72|||CN5140|DYBHFLMAH44|LOOP||CIENA EMUX|10.204.176.72||||N|||N|IN-SERVICE|||
10.204.80.210|10.204.80.210|NFO-MOBILITY|NTE|NTE|true|S|10.204.80.210|ABC-901C010249|901C010249|LE311V|SNJSCAHUK03|||CIENA NTE|10.204.80.210|Y|||Y|N|Y|N|IN-SERVICE||Chetan_901C010249_ABC|N
