@rel(Composed_Of)
@from(CE_LPort)key|@to(EVCNode)key
10.204.176.84/10/1|10.204.176.84/VPLS:52152
10.204.134.201/24/15|10.204.134.201/VPWS:31752
10.204.134.201/23/14|10.204.134.201/VPWS:30666
10.204.134.201/22/13|10.204.134.201/VPWS:31253
10.204.134.201/23/14|10.204.134.201/VPWS:29160
10.204.9.95/21/7|10.204.9.95/VPWS:26217
10.204.172.70/25/1|10.204.172.70/VPLS:52383
10.204.134.201/21/8|10.204.134.201/VPWS:30953
10.204.134.201/23/14|10.204.134.201/VPLS:30925
10.204.134.201/24/15|10.204.134.201/VPLS:28847
10.204.9.69/25/1|10.204.9.69/VPWS:25507
10.204.9.69/28/4|10.204.9.69/VPWS:25507
10.204.10.33/5/4|10.204.10.33/L2CKT:28058
10.204.134.201/24/15|10.204.134.201/L2CKT:29983
10.204.134.201/24/15|10.204.134.201/VPLS:29129
10.204.134.201/23/14|10.204.134.201/L2CKT:29589
10.204.9.69/25/1|10.204.9.69/VPLS:25581
10.204.9.69/28/4|10.204.9.69/VPLS:25876
10.204.134.201/22/13|10.204.134.201/VPLS:29600
10.204.134.201/23/14|10.204.134.201/L2CKT:29983
10.204.134.201/24/15|10.204.134.201/VPLS:29600
10.204.9.69/25/1|10.204.9.69/VPWS:26217
10.204.134.201/21/8|10.204.134.201/VPWS:31417
10.204.10.33/5/4|10.204.10.33/VPLS:28052
10.204.172.70/26/4|10.204.172.70/VPLS:52424
10.204.134.201/22/13|10.204.134.201/VPWS:30184
10.204.134.201/21/8|10.204.134.201/VPWS:31752
10.204.9.69/28/4|10.204.9.69/VPWS:25619
10.204.134.201/24/15|10.204.134.201/VPLS:32010
10.204.134.201/21/8|10.204.134.201/VPWS:30924
10.204.134.201/21/8|10.204.134.201/VPWS:30666
10.204.134.201/21/8|10.204.134.201/VPWS:30143
10.204.161.22/1/10|10.204.161.22/VPWS:30552
10.204.134.201/24/15|10.204.134.201/VPLS:28848
10.204.176.72/22/5|10.204.176.72/VPLS:52212
10.204.172.70/26/4|10.204.172.70/VPLS:52421
10.204.134.201/21/8|10.204.134.201/VPWS:29152
10.204.134.201/24/15|10.204.134.201/VPWS:31417
10.204.176.72/22/5|10.204.176.72/VPLS:52293
192.168.113.241/301/2|192.168.113.241/L2CKT:29226
10.204.134.201/21/8|10.204.134.201/VPLS:31124
10.204.80.210/1/5|10.204.80.210/VPLS:22116
10.204.9.69/28/4|10.204.9.69/VPWS:25877
10.204.9.69/28/4|10.204.9.69/VPWS:25870
10.204.80.210/26/4|10.204.80.210/VPLS:22079
10.204.176.72/22/5|10.204.176.72/VPLS:52152
10.204.134.201/22/13|10.204.134.201/VPLS:28849
10.204.176.72/21/5|10.204.176.72/VPLS:52212
10.204.134.201/22/13|10.204.134.201/VPWS:31004
10.204.134.201/22/13|10.204.134.201/VPLS:30952
10.204.134.201/23/14|10.204.134.201/VPWS:30904
