@rel(Composed_Of)
@from(CE_PPort)key|@to(CE_LPort)key
192.168.113.182/7|192.168.113.182/7/3
192.168.113.180/SM-B/1|192.168.113.180/SM-B/1/48
10.204.12.81/0|10.204.12.81/0/9
192.168.113.180/SM-B/1|192.168.113.180/SM-B/1/61
10.204.172.70/26|10.204.172.70/26/9
10.204.9.69/25|10.204.9.69/25/19
10.204.1.80/12|10.204.1.80/12/18
10.204.1.80/10|10.204.1.80/10/16
10.204.134.201/21|10.204.134.201/21/9
10.204.134.201/22|10.204.134.201/22/13
10.204.134.201/24|10.204.134.201/24/15
10.204.9.95/1|10.204.9.95/1/13
10.204.9.69/25|10.204.9.69/25/18
192.168.113.180/SM-B/1|192.168.113.180/SM-B/1/9
192.168.113.182/7|192.168.113.182/7/1
10.204.1.80/3|10.204.1.80/3/8
10.204.10.33/9|10.204.10.33/9/9
10.204.80.210/1|10.204.80.210/1/5
10.204.80.210/26|10.204.80.210/26/10
10.204.134.201/1|10.204.134.201/1/16
10.204.1.80/17|10.204.1.80/17/24
192.168.113.180/SM-B/1|192.168.113.180/SM-B/1/47
10.204.176.84/10|10.204.176.84/10/9
192.168.113.180/SM-B/1|192.168.113.180/SM-B/1/46
10.204.83.97/SM-B/2|10.204.83.97/SM-B/2/9
10.204.176.72/21|10.204.176.72/21/5
10.204.161.22/12|10.204.161.22/12/6
10.204.176.72/21|10.204.176.72/21/11
192.168.113.180/SM-B/1|192.168.113.180/SM-B/1/44
10.204.80.210/26|10.204.80.210/26/11
192.168.113.181/102|192.168.113.181/102/4
10.204.12.81/0|10.204.12.81/0/7
192.168.113.180/21/2|192.168.113.180/21/2/10
10.204.80.210/3|10.204.80.210/3/12
192.168.113.180/21/3|192.168.113.180/21/3/59
10.204.83.97/SM-A/1|10.204.83.97/SM-A/1/14
10.204.172.70/25|10.204.172.70/25/3
192.168.113.180/21/3|192.168.113.180/21/3/60
10.204.172.70/25|10.204.172.70/25/1
10.204.9.95/2|10.204.9.95/2/17
10.204.1.80/20|10.204.1.80/20/27
10.204.1.80/2|10.204.1.80/2/6
10.204.1.80/9|10.204.1.80/9/19
192.168.113.180/SM-B/1|192.168.113.180/SM-B/1/50
192.168.113.180/SM-B/1|192.168.113.180/SM-B/1/19
192.168.113.181/201|192.168.113.181/201/5
10.204.176.72/21|10.204.176.72/21/12
10.204.1.80/19|10.204.1.80/19/26
192.168.113.241/301|192.168.113.241/301/2
10.204.83.97/20/1|10.204.83.97/20/1/12
10.204.161.22/9|10.204.161.22/9/4
10.204.1.80/24|10.204.1.80/24/31
192.168.113.180/SM-B/1|192.168.113.180/SM-B/1/32
10.204.9.69/25|10.204.9.69/25/7
10.204.176.72/21|10.204.176.72/21/4
10.204.1.80/16|10.204.1.80/16/23
10.204.83.97/20/1|10.204.83.97/20/1/11
10.204.83.165/301|10.204.83.165/301/1
10.204.176.72/3|10.204.176.72/3/8
10.204.172.70/26|10.204.172.70/26/5
10.204.1.80/13|10.204.1.80/13/20
10.204.1.80/6|10.204.1.80/6/12
192.168.113.182/7|192.168.113.182/7/2
192.168.113.180/SM-B/1|192.168.113.180/SM-B/1/3
10.204.176.72/3|10.204.176.72/3/9
192.168.113.180/SM-B/1|192.168.113.180/SM-B/1/40
10.204.1.80/25|10.204.1.80/25/5
10.204.161.22/12|10.204.161.22/12/5
10.204.134.201/21|10.204.134.201/21/10
192.168.113.180/SM-B/1|192.168.113.180/SM-B/1/58
10.204.176.84/10|10.204.176.84/10/17
10.204.134.201/1|10.204.134.201/1/17
10.204.9.95/3|10.204.9.95/3/20
192.168.113.180/1/2|192.168.113.180/1/2/1
192.168.113.241/301|192.168.113.241/301/3
10.204.12.81/0|10.204.12.81/0/13
10.204.10.33/9|10.204.10.33/9/1
10.204.172.70/27|10.204.172.70/27/2
10.204.9.95/21|10.204.9.95/21/10
10.204.1.80/8|10.204.1.80/8/14
10.204.9.95/21|10.204.9.95/21/7
10.204.83.97/SM-A/1|10.204.83.97/SM-A/1/6
10.204.9.95/21|10.204.9.95/21/8
10.204.80.210/26|10.204.80.210/26/15
10.204.176.72/22|10.204.176.72/22/5
10.204.83.165/301|10.204.83.165/301/3
10.204.161.22/10|10.204.161.22/10/8
192.168.113.180/1/1|192.168.113.180/1/1/1
192.168.113.181/303|192.168.113.181/303/7
10.204.80.210/2|10.204.80.210/2/7
192.168.113.180/SM-B/1|192.168.113.180/SM-B/1/22
10.204.10.33/5|10.204.10.33/5/4
10.204.9.95/2|10.204.9.95/2/15
10.204.9.69/25|10.204.9.69/25/3
10.204.176.72/2|10.204.176.72/2/7
10.204.80.210/26|10.204.80.210/26/9
10.204.9.69/25|10.204.9.69/25/16
10.204.1.80/25|10.204.1.80/25/2
10.204.10.33/9|10.204.10.33/9/3
10.204.176.72/2|10.204.176.72/2/6
10.204.1.80/5|10.204.1.80/5/11
10.204.12.81/0|10.204.12.81/0/6
10.204.10.33/10|10.204.10.33/10/5
192.168.113.181/303|192.168.113.181/303/6
10.204.9.95/2|10.204.9.95/2/16
10.204.9.69/25|10.204.9.69/25/11
10.204.12.81/0|10.204.12.81/0/11
10.204.161.22/11|10.204.161.22/11/3
192.168.113.241/101|192.168.113.241/101/5
10.204.161.22/1|10.204.161.22/1/10
192.168.113.180/21/9|192.168.113.180/21/9/53
10.204.12.81/0|10.204.12.81/0/12
10.204.9.69/25|10.204.9.69/25/12
192.168.113.180/SM-B/1|192.168.113.180/SM-B/1/18
10.204.176.84/10|10.204.176.84/10/13
10.204.172.70/26|10.204.172.70/26/7
10.204.172.70/25|10.204.172.70/25/12
10.204.161.22/12|10.204.161.22/12/12
192.168.113.180/SM-B/1|192.168.113.180/SM-B/1/57
10.204.12.81/0|10.204.12.81/0/8
10.204.83.97/SM-A/1|10.204.83.97/SM-A/1/7
10.204.9.69/25|10.204.9.69/25/2
10.204.9.69/25|10.204.9.69/25/20
10.204.1.80/25|10.204.1.80/25/1
10.204.9.95/21|10.204.9.95/21/9
10.204.161.22/11|10.204.161.22/11/1
192.168.113.180/SM-B/1|192.168.113.180/SM-B/1/38
192.168.113.180/SM-B/1|192.168.113.180/SM-B/1/2
192.168.113.180/21/9|192.168.113.180/21/9/54
10.204.9.69/25|10.204.9.69/25/6
10.204.80.210/26|10.204.80.210/26/16
10.204.9.69/25|10.204.9.69/25/14
10.204.9.69/25|10.204.9.69/25/15
10.204.9.69/25|10.204.9.69/25/5
10.204.9.69/25|10.204.9.69/25/10
10.204.1.80/18|10.204.1.80/18/25
10.204.10.33/9|10.204.10.33/9/2
10.204.12.81/0|10.204.12.81/0/10
10.204.9.69/25|10.204.9.69/25/17
10.204.9.69/25|10.204.9.69/25/13
10.204.1.80/28|10.204.1.80/28/7
10.204.172.70/25|10.204.172.70/25/11
10.204.83.165/301|10.204.83.165/301/2
10.204.83.97/SM-A/1|10.204.83.97/SM-A/1/8
192.168.113.180/21/2|192.168.113.180/21/2/11
10.204.1.80/14|10.204.1.80/14/21
10.204.176.72/3|10.204.176.72/3/10
10.204.9.69/25|10.204.9.69/25/9
192.168.113.180/SM-B/1|192.168.113.180/SM-B/1/8
10.204.1.80/4|10.204.1.80/4/10
192.168.113.241/301|192.168.113.241/301/1
10.204.172.70/26|10.204.172.70/26/10
10.204.1.80/11|10.204.1.80/11/17
192.168.113.182/1|192.168.113.182/1/5
10.204.1.80/23|10.204.1.80/23/30
192.168.113.180/SM-B/1|192.168.113.180/SM-B/1/62
10.204.9.69/25|10.204.9.69/25/1
10.204.1.80/27|10.204.1.80/27/9
10.204.172.70/26|10.204.172.70/26/8
192.168.113.181/302|192.168.113.181/302/2
10.204.80.210/28|10.204.80.210/28/14
10.204.176.84/10|10.204.176.84/10/18
10.204.176.84/10|10.204.176.84/10/8
10.204.161.22/11|10.204.161.22/11/11
192.168.113.181/302|192.168.113.181/302/1
10.204.176.84/10|10.204.176.84/10/16
10.204.10.33/6|10.204.10.33/6/7
192.168.113.180/SM-B/1|192.168.113.180/SM-B/1/30
192.168.113.180/SM-B/1|192.168.113.180/SM-B/1/51
192.168.113.180/21/9|192.168.113.180/21/9/52
192.168.113.180/SM-A/1|192.168.113.180/SM-A/1/4
10.204.134.201/23|10.204.134.201/23/14
10.204.172.70/26|10.204.172.70/26/6
10.204.1.80/15|10.204.1.80/15/22
10.204.134.201/1|10.204.134.201/1/18
192.168.113.180/SM-B/1|192.168.113.180/SM-B/1/36
10.204.1.80/1|10.204.1.80/1/4
10.204.134.201/21|10.204.134.201/21/8
10.204.161.22/11|10.204.161.22/11/2
10.204.9.95/1|10.204.9.95/1/14
10.204.134.201/21|10.204.134.201/21/12
10.204.1.80/21|10.204.1.80/21/28
10.204.9.69/28|10.204.9.69/28/4
10.204.1.80/25|10.204.1.80/25/3
10.204.9.95/22|10.204.9.95/22/11
10.204.9.69/25|10.204.9.69/25/21
10.204.83.165/101|10.204.83.165/101/5
192.168.113.180/SM-B/1|192.168.113.180/SM-B/1/43
10.204.10.33/10|10.204.10.33/10/6
10.204.9.95/1|10.204.9.95/1/12
10.204.1.80/22|10.204.1.80/22/29
10.204.80.210/26|10.204.80.210/26/4
10.204.1.80/7|10.204.1.80/7/13
10.204.161.22/12|10.204.161.22/12/7
10.204.80.210/26|10.204.80.210/26/6
192.168.113.180/SM-B/1|192.168.113.180/SM-B/1/49
10.204.80.210/26|10.204.80.210/26/8
10.204.172.70/26|10.204.172.70/26/4
10.204.176.84/10|10.204.176.84/10/1
10.204.80.210/26|10.204.80.210/26/13
10.204.83.97/20/1|10.204.83.97/20/1/10
10.204.9.95/3|10.204.9.95/3/18
10.204.134.201/21|10.204.134.201/21/11
10.204.9.95/3|10.204.9.95/3/19
