@rel(Composed_Of)
@from(PE_PPort)key|@to(PE_LPort)key
12.82.0.59/2/1/3|12.82.0.59/2/1/3/6000
12.123.80.212/0/0/7|12.123.80.212/0/0/7/6000
12.82.0.59/3/0/5|12.82.0.59/3/0/5/5000
12.82.118.12/3/0/3|12.82.118.12/3/0/3/21
12.82.118.12/2/0/0|12.82.118.12/2/0/0/5
12.82.118.4/3/2/4|12.82.118.4/3/2/4/8
12.82.16.83/1/3/0|12.82.16.83/1/3/0/6002
12.82.0.59/2/0/5|12.82.0.59/2/0/5/5001
10.0.38.121/1/1/0|10.0.38.121/1/1/0/33
12.82.118.4/3/2/5|12.82.118.4/3/2/5/23
12.82.118.4/10/0/6|12.82.118.4/10/0/6/11
12.82.118.12/11/1/0|12.82.118.12/11/1/0/84
12.82.118.4/10/0/6|12.82.118.4/10/0/6/6
12.82.16.83/1/2/0|12.82.16.83/1/2/0/6004
10.0.38.121/2/0/2|10.0.38.121/2/0/2/19
12.82.118.4/10/1/7|12.82.118.4/10/1/7/19
149.9.0.27/0/0/0|149.9.0.27/0/0/0/6015
12.82.16.82/1/1/0|12.82.16.82/1/1/0/6040
12.82.118.4/3/2/7|12.82.118.4/3/2/7/24
12.82.118.4/3/1/8|12.82.118.4/3/1/8/4
12.82.118.12/11/1/0|12.82.118.12/11/1/0/35
12.82.0.59/3/2/4|12.82.0.59/3/2/4/5001
12.82.0.59/2/1/8|12.82.0.59/2/1/8/6001
12.82.118.4/3/0/7|12.82.118.4/3/0/7/8
12.82.16.83/1/2/0|12.82.16.83/1/2/0/6008
12.82.118.12/10/0/5|12.82.118.12/10/0/5/8
12.82.0.59/3/0/4|12.82.0.59/3/0/4/5000
12.82.118.4/3/2/1|12.82.118.4/3/2/1/23
12.82.16.82/1/1/0|12.82.16.82/1/1/0/6021
12.82.118.4/3/2/4|12.82.118.4/3/2/4/26
12.82.118.4/3/2/2|12.82.118.4/3/2/2/4
12.82.118.4/3/0/7|12.82.118.4/3/0/7/23
12.82.118.4/3/2/9|12.82.118.4/3/2/9/21
150.0.0.212/0/0/0|150.0.0.212/0/0/0/7
150.0.0.212/1/1/0|150.0.0.212/1/1/0/58
12.82.118.12/3/3/2|12.82.118.12/3/3/2/7
12.82.16.82/1/2/0|12.82.16.82/1/2/0/6011
12.82.118.4/3/2/4|12.82.118.4/3/2/4/16
10.144.0.154/3/1/7|10.144.0.154/3/1/7/564
149.9.0.27/1/0/0|149.9.0.27/1/0/0/6008
12.82.0.59/2/0/2|12.82.0.59/2/0/2/5001
12.82.118.4/3/2/2|12.82.118.4/3/2/2/6
12.82.16.82/1/2/0|12.82.16.82/1/2/0/6012
149.9.0.27/0/0/0|149.9.0.27/0/0/0/6012
12.82.118.12/3/1/2|12.82.118.12/3/1/2/1
12.82.0.59/2/3/2|12.82.0.59/2/3/2/6000
12.82.118.12/11/1/0|12.82.118.12/11/1/0/28
10.144.0.154/4/0/0|10.144.0.154/4/0/0/776
12.82.16.82/1/0/0|12.82.16.82/1/0/0/6027
12.82.118.4/3/0/0|12.82.118.4/3/0/0/22
12.82.118.4/10/1/7|12.82.118.4/10/1/7/26
150.0.0.212/0/1/4|150.0.0.212/0/1/4/65
149.9.0.27/2/0/0|149.9.0.27/2/0/0/6010
12.82.118.12/3/0/1|12.82.118.12/3/0/1/6
12.82.118.12/10/0/0|12.82.118.12/10/0/0/4
12.82.16.82/1/0/0|12.82.16.82/1/0/0/6023
12.82.16.83/1/2/0|12.82.16.83/1/2/0/6043
150.0.0.212/1/0/5|150.0.0.212/1/0/5/31
12.82.118.12/10/0/5|12.82.118.12/10/0/5/6
12.82.118.4/3/0/0|12.82.118.4/3/0/0/12
12.82.118.4/3/3/5|12.82.118.4/3/3/5/2
12.82.0.59/3/0/7|12.82.0.59/3/0/7/6000
12.82.0.59/2/1/9|12.82.0.59/2/1/9/6000
12.82.118.12/3/0/5|12.82.118.12/3/0/5/6
12.82.118.12/11/1/0|12.82.118.12/11/1/0/65
12.82.118.4/3/2/1|12.82.118.4/3/2/1/21
12.82.16.82/1/1/0|12.82.16.82/1/1/0/6020
12.82.118.4/10/1/5|12.82.118.4/10/1/5/7
10.144.0.154/1/0/3|10.144.0.154/1/0/3/734
12.82.118.12/11/1/0|12.82.118.12/11/1/0/64
12.82.118.4/3/1/7|12.82.118.4/3/1/7/7
12.80.0.218/0/3/0|12.80.0.218/0/3/0/3
12.82.118.12/3/0/1|12.82.118.12/3/0/1/5
12.82.16.82/1/0/0|12.82.16.82/1/0/0/6021
12.82.118.12/10/0/3|12.82.118.12/10/0/3/1
12.82.16.82/1/1/0|12.82.16.82/1/1/0/6033
12.82.118.4/3/2/1|12.82.118.4/3/2/1/14
12.82.16.83/1/1/0|12.82.16.83/1/1/0/6033
12.82.118.12/11/1/0|12.82.118.12/11/1/0/60
12.82.118.4/3/2/1|12.82.118.4/3/2/1/5
12.82.118.12/3/0/5|12.82.118.12/3/0/5/21
10.144.0.154/2/0/4|10.144.0.154/2/0/4/6000
12.82.118.4/3/0/0|12.82.118.4/3/0/0/7
12.82.118.4/3/2/1|12.82.118.4/3/2/1/11
12.82.118.4/3/1/0|12.82.118.4/3/1/0/17
12.82.118.4/3/1/9|12.82.118.4/3/1/9/31
12.82.118.4/3/0/4|12.82.118.4/3/0/4/1
12.82.0.59/2/3/7|12.82.0.59/2/3/7/6001
12.82.118.4/11/2/0|12.82.118.4/11/2/0/2
10.144.0.154/1/2/4|10.144.0.154/1/2/4/6009
12.82.118.12/10/0/5|12.82.118.12/10/0/5/10
150.0.0.212/1/0/8|150.0.0.212/1/0/8/85
12.82.118.4/3/2/9|12.82.118.4/3/2/9/11
10.144.0.154/1/0/2|10.144.0.154/1/0/2/6000
10.144.0.154/1/0/3|10.144.0.154/1/0/3/721
12.82.16.83/1/2/0|12.82.16.83/1/2/0/6036
12.82.118.4/10/1/1|12.82.118.4/10/1/1/8
12.82.16.83/1/2/0|12.82.16.83/1/2/0/6041
12.82.0.59/2/0/4|12.82.0.59/2/0/4/5001
12.82.118.12/10/0/3|12.82.118.12/10/0/3/13
12.82.118.4/10/0/6|12.82.118.4/10/0/6/12
12.82.16.83/1/1/0|12.82.16.83/1/1/0/6009
12.82.0.59/2/3/5|12.82.0.59/2/3/5/6001
12.82.16.83/1/1/0|12.82.16.83/1/1/0/6037
12.82.118.12/3/1/0|12.82.118.12/3/1/0/10
12.82.118.12/3/0/1|12.82.118.12/3/0/1/7
10.144.0.154/0/2/0|10.144.0.154/0/2/0/784
