@rel(Composed_Of)
@from(PE_Slot)key|@to(PE_Card)key
12.123.80.212/0|12.123.80.212/0/0
12.80.72.76/0|12.80.72.76/0/0
12.82.118.12/0|12.82.118.12/0/2
8.8.0.188/1|8.8.0.188/1/0
12.82.118.12/6|12.82.118.12/6/3
12.82.118.4/5|12.82.118.4/5/0
12.82.16.82/0|12.82.16.82/0/2
12.82.118.12/3|12.82.118.12/3/2
12.82.118.12/10|12.82.118.12/10/2
10.144.0.154/1|10.144.0.154/1/2
12.82.16.82/11|12.82.16.82/11/1
10.144.0.154/3|10.144.0.154/3/1
12.82.16.83/0|12.82.16.83/0/2
12.82.118.12/5|12.82.118.12/5/1
12.82.118.12/9|12.82.118.12/9/1
149.9.0.27/2|149.9.0.27/2/0
12.82.118.4/3|12.82.118.4/3/3
12.82.118.12/0|12.82.118.12/0/1
12.82.118.12/11|12.82.118.12/11/2
10.144.0.154/3|10.144.0.154/3/0
12.80.0.218/0|12.80.0.218/0/3
12.82.16.82/0|12.82.16.82/0/1
10.144.0.116/2|10.144.0.116/2/1
12.82.118.12/1|12.82.118.12/1/2
12.82.118.12/0|12.82.118.12/0/3
12.82.118.12/7|12.82.118.12/7/3
148.0.131.168/1|148.0.131.168/1/0
12.82.16.83/0|12.82.16.83/0/0
12.82.16.83/4|12.82.16.83/4/3
12.82.118.4/0|12.82.118.4/0/3
10.144.0.154/2|10.144.0.154/2/0
12.82.118.12/10|12.82.118.12/10/1
12.82.16.83/4|12.82.16.83/4/2
12.82.0.59/2|12.82.0.59/2/3
12.82.118.12/8|12.82.118.12/8/0
12.82.118.4/7|12.82.118.4/7/0
150.0.0.212/5|150.0.0.212/5/0
10.144.0.154/2|10.144.0.154/2/3
12.82.16.83/1|12.82.16.83/1/1
12.82.118.4/3|12.82.118.4/3/2
12.82.118.4/5|12.82.118.4/5/1
12.82.118.4/3|12.82.118.4/3/0
12.82.0.59/2|12.82.0.59/2/2
12.82.16.82/1|12.82.16.82/1/2
12.82.0.59/1|12.82.0.59/1/1
12.82.16.82/4|12.82.16.82/4/1
12.82.16.110/0|12.82.16.110/0/0
12.82.16.83/1|12.82.16.83/1/2
12.82.0.59/3|12.82.0.59/3/0
150.0.0.185/1|150.0.0.185/1/0
10.144.0.154/1|10.144.0.154/1/0
12.82.118.12/4|12.82.118.12/4/3
12.82.118.4/2|12.82.118.4/2/2
12.82.16.82/4|12.82.16.82/4/3
12.82.118.4/7|12.82.118.4/7/1
10.144.0.154/0|10.144.0.154/0/2
12.82.16.82/4|12.82.16.82/4/0
12.82.118.4/10|12.82.118.4/10/1
12.82.0.59/3|12.82.0.59/3/3
12.82.118.12/1|12.82.118.12/1/1
12.82.118.4/11|12.82.118.4/11/1
12.82.118.4/11|12.82.118.4/11/0
12.82.16.82/0|12.82.16.82/0/0
12.82.118.12/9|12.82.118.12/9/3
12.82.16.83/4|12.82.16.83/4/0
10.0.38.121/1|10.0.38.121/1/1
10.144.0.116/2|10.144.0.116/2/0
12.82.118.12/3|12.82.118.12/3/3
12.80.0.218/0|12.80.0.218/0/2
150.0.0.212/0|150.0.0.212/0/0
12.82.118.12/5|12.82.118.12/5/0
12.82.118.4/10|12.82.118.4/10/3
12.82.0.59/4|12.82.0.59/4/3
12.82.118.4/0|12.82.118.4/0/2
12.82.118.12/2|12.82.118.12/2/1
12.82.118.12/1|12.82.118.12/1/3
150.0.0.212/1|150.0.0.212/1/0
10.0.38.121/2|10.0.38.121/2/0
12.123.80.212/1|12.123.80.212/1/0
12.82.16.83/1|12.82.16.83/1/3
12.82.16.83/0|12.82.16.83/0/1
12.82.118.12/8|12.82.118.12/8/2
12.82.118.12/9|12.82.118.12/9/0
12.123.80.133/3|12.123.80.133/3/0
12.82.118.12/11|12.82.118.12/11/1
12.82.118.4/0|12.82.118.4/0/0
12.82.118.12/7|12.82.118.12/7/2
12.82.118.4/9|12.82.118.4/9/1
12.82.118.12/7|12.82.118.12/7/0
12.80.0.218/0|12.80.0.218/0/1
12.82.118.12/9|12.82.118.12/9/2
12.82.118.4/5|12.82.118.4/5/3
12.82.118.12/11|12.82.118.12/11/0
12.82.16.82/1|12.82.16.82/1/0
12.82.16.82/7|12.82.16.82/7/0
10.144.0.116/2|10.144.0.116/2/2
12.82.118.4/11|12.82.118.4/11/2
12.82.118.12/2|12.82.118.12/2/3
12.82.118.12/4|12.82.118.12/4/0
12.82.16.83/4|12.82.16.83/4/1
12.82.118.4/2|12.82.118.4/2/0
149.9.0.27/0|149.9.0.27/0/0
12.82.0.59/4|12.82.0.59/4/1
12.82.118.12/10|12.82.118.12/10/3
12.82.118.12/7|12.82.118.12/7/1
12.82.0.59/4|12.82.0.59/4/2
12.82.118.12/6|12.82.118.12/6/0
12.82.118.12/4|12.82.118.12/4/2
12.82.0.59/2|12.82.0.59/2/1
12.82.0.59/3|12.82.0.59/3/1
12.82.16.83/11|12.82.16.83/11/0
12.82.118.12/3|12.82.118.12/3/0
12.82.16.110/7|12.82.16.110/7/0
150.0.0.212/1|150.0.0.212/1/1
12.82.0.59/3|12.82.0.59/3/2
12.82.118.4/5|12.82.118.4/5/2
10.144.0.154/2|10.144.0.154/2/1
12.82.118.12/2|12.82.118.12/2/2
10.144.0.154/0|10.144.0.154/0/1
12.123.80.133/2|12.123.80.133/2/0
12.82.118.4/7|12.82.118.4/7/3
12.82.118.12/6|12.82.118.12/6/2
12.82.118.4/2|12.82.118.4/2/3
10.144.0.154/4|10.144.0.154/4/0
12.82.118.4/0|12.82.118.4/0/1
12.82.118.4/3|12.82.118.4/3/1
12.82.16.82/1|12.82.16.82/1/1
12.82.118.12/4|12.82.118.12/4/1
12.82.16.82/1|12.82.16.82/1/3
12.123.80.212/2|12.123.80.212/2/0
12.82.118.4/9|12.82.118.4/9/3
12.82.118.12/6|12.82.118.12/6/1
10.144.0.154/2|10.144.0.154/2/2
12.82.118.12/5|12.82.118.12/5/3
12.82.118.4/9|12.82.118.4/9/0
150.0.0.212/0|150.0.0.212/0/1
10.0.38.121/3|10.0.38.121/3/0
12.82.118.12/0|12.82.118.12/0/0
10.144.0.116/3|10.144.0.116/3/1
12.82.0.59/0|12.82.0.59/0/1
12.82.118.4/9|12.82.118.4/9/2
12.82.16.82/11|12.82.16.82/11/0
12.123.80.212/2|12.123.80.212/2/1
12.82.118.12/5|12.82.118.12/5/2
12.82.118.4/2|12.82.118.4/2/1
10.144.0.154/1|10.144.0.154/1/3
12.82.16.83/11|12.82.16.83/11/1
12.82.118.4/10|12.82.118.4/10/2
149.9.0.27/1|149.9.0.27/1/0
12.82.0.59/2|12.82.0.59/2/0
12.82.16.82/4|12.82.16.82/4/2
12.82.16.83/7|12.82.16.83/7/0
12.82.118.4/7|12.82.118.4/7/2
10.144.0.154/0|10.144.0.154/0/0
12.82.118.12/8|12.82.118.12/8/1
12.82.118.12/10|12.82.118.12/10/0
10.144.0.116/3|10.144.0.116/3/0
12.82.118.12/3|12.82.118.12/3/1
12.82.118.4/11|12.82.118.4/11/3
12.82.118.12/8|12.82.118.12/8/3
150.0.0.185/0|150.0.0.185/0/2
12.82.118.4/10|12.82.118.4/10/0
12.82.118.12/11|12.82.118.12/11/3
12.82.0.59/4|12.82.0.59/4/0
12.82.118.12/1|12.82.118.12/1/0
12.82.118.12/2|12.82.118.12/2/0
