@rel(Composed_Of)
@from(CE_Device)key|@to(CE_Card)key
10.204.172.70|10.204.172.70/25
10.204.134.201|10.204.134.201/24
10.204.9.95|10.204.9.95/2
10.204.161.22|10.204.161.22/10
10.204.172.70|10.204.172.70/26
10.204.80.210|10.204.80.210/28
10.204.161.22|10.204.161.22/1
10.204.10.33|10.204.10.33/5
10.204.1.80|10.204.1.80/25
10.204.10.33|10.204.10.33/6
10.204.10.33|10.204.10.33/10
10.204.80.210|10.204.80.210/26
10.204.134.201|10.204.134.201/23
10.204.176.72|10.204.176.72/2
10.204.161.22|10.204.161.22/12
192.168.113.181|192.168.113.181/0
10.204.9.95|10.204.9.95/22
10.204.176.84|10.204.176.84/10
10.204.9.69|10.204.9.69/25
10.204.176.72|10.204.176.72/21
10.204.1.80|10.204.1.80/28
10.204.176.72|10.204.176.72/3
10.204.172.70|10.204.172.70/27
10.204.9.69|10.204.9.69/28
10.204.9.95|10.204.9.95/1
10.204.161.22|10.204.161.22/11
10.204.9.95|10.204.9.95/3
10.204.12.81|10.204.12.81/1
10.204.10.33|10.204.10.33/9
10.204.134.201|10.204.134.201/22
10.204.134.201|10.204.134.201/1
10.204.9.95|10.204.9.95/21
10.204.161.22|10.204.161.22/9
10.204.134.201|10.204.134.201/21
10.204.1.80|10.204.1.80/27
10.204.176.72|10.204.176.72/22
