@rel(PLink)
@from(PE_PPort)key|@to(CE_PPort)key
10.144.0.154/1/2/4|192.168.113.83/25
10.144.0.154/3/0/1|10.204.1.87/25
12.123.80.212/2/1/4|10.204.81.138/25
8.8.0.188/1/0/0|10.204.90.142/10
10.144.0.154/2/3/3|192.168.113.74/9
12.123.80.133/2/0/1|10.204.64.201/25
12.123.80.212/2/1/2|10.204.81.125/25
10.144.0.154/3/0/4|10.204.1.107/10
12.123.80.212/1/0/6|10.204.81.6/25
150.0.0.212/5/0/0|10.204.83.101/25
150.0.0.212/1/0/0|10.204.83.93/22
149.9.0.27/0/0/1|10.204.9.68/25
10.144.0.154/2/0/1|10.204.161.13/9
10.144.0.154/1/0/1|10.204.1.66/9
149.9.0.27/0/0/2|10.204.9.92/22
12.123.80.133/3/0/0|10.204.65.29/21
10.144.0.154/3/1/6|10.204.1.82/25
12.123.80.212/2/1/6|10.204.81.143/25
10.144.0.154/2/2/6|192.168.113.230/SM-A/1
12.123.80.212/0/0/3|10.204.80.201/25
150.0.0.212/1/0/2|10.204.83.97/SM-A/1
10.144.0.154/3/1/0|10.204.1.118/25
10.0.38.121/2/0/0|10.204.67.184/22
150.0.0.212/0/0/7|10.204.83.99/25
150.0.0.212/1/0/7|10.204.83.250/9
8.8.0.188/1/0/2|10.204.90.145/25
12.123.80.212/1/0/8|10.204.81.16/25
10.144.0.154/2/0/5|192.168.113.62/9
10.144.0.154/1/2/0|192.168.113.149/22
12.123.80.212/2/0/3|10.204.81.21/25
12.123.80.212/0/0/9|10.204.80.222/25
12.123.80.212/2/1/7|10.204.81.150/25
10.144.0.154/2/2/0|192.168.113.149/21
12.123.80.212/0/0/2|10.204.80.194/25
12.123.80.212/2/1/5|10.204.81.142/25
12.123.80.212/2/0/4|10.204.81.32/25
149.9.0.27/2/0/0|10.204.9.92/21
10.144.0.154/2/0/4|192.168.95.37/10
150.0.0.212/0/0/5|10.204.83.93/21
12.123.80.212/0/0/7|10.204.80.210/26
12.123.80.212/2/0/0|10.204.80.232/25
10.144.0.154/2/0/3|192.168.95.37/9
8.8.0.188/1/0/1|10.204.90.144/10
10.144.0.154/3/1/1|10.204.1.119/25
12.123.80.212/1/0/9|10.204.81.13/25
12.123.80.212/1/0/3|10.204.80.249/25
12.123.80.133/2/0/0|10.204.65.29/22
10.144.0.154/3/1/5|10.204.1.78/25
12.123.80.212/2/0/5|10.204.81.37/25
10.144.0.154/3/1/4|10.204.1.84/9
12.123.80.212/2/1/3|10.204.81.136/25
12.80.72.76/0/0/0|10.204.201.3/25
148.0.131.168/1/0/2|10.204.82.107/25
10.144.0.154/3/0/0|10.204.1.68/9
12.123.80.212/0/0/0|10.204.80.198/25
12.123.80.212/2/0/7|10.204.81.41/25
12.123.80.212/0/0/5|10.204.80.205/25
12.123.80.212/2/0/6|10.204.81.40/25
150.0.0.212/0/0/9|10.204.83.129/9
150.0.0.212/0/0/6|10.204.83.93/23
149.9.0.27/1/0/0|10.204.9.98/25
150.0.0.212/0/0/4|10.204.83.92/10
150.0.0.212/0/0/8|10.204.83.97/SM-B/2
12.123.80.212/2/0/1|10.204.81.5/25
149.9.0.27/0/0/5|10.204.9.104/25
149.9.0.27/0/0/6|10.204.9.124/9
12.123.80.212/1/0/2|10.204.80.247/25
12.123.80.212/2/0/8|10.204.81.60/25
12.123.80.133/2/0/2|10.204.66.85/25
10.144.0.154/3/0/2|10.204.1.68/25
12.123.80.212/2/0/2|10.204.81.20/25
150.0.0.212/1/0/1|10.204.83.93/24
150.0.0.212/0/0/3|10.204.83.91/25
10.0.38.121/2/0/6|10.204.67.184/24
10.144.0.154/2/2/1|192.168.113.25/9
12.123.80.212/1/0/1|10.204.80.235/25
149.9.0.27/0/0/0|10.204.9.69/25
150.0.0.212/0/1/6|10.204.83.240/9
12.123.80.212/2/0/9|10.204.81.62/25
10.144.0.154/2/3/4|192.168.113.85/9
10.144.0.154/2/3/1|192.168.113.25/10
12.123.80.212/1/0/0|10.204.80.231/25
10.0.38.121/2/0/1|10.204.66.86/9
10.144.0.154/1/0/2|10.204.1.96/9
10.144.0.154/2/0/0|10.204.1.80/25
149.9.0.27/0/0/4|10.204.9.103/25
10.144.0.154/3/1/2|10.204.1.120/25
10.144.0.154/1/2/6|192.168.113.230/SM-B/1
