@ref(networkElement)|@const(IpagTunnel)class
@index(Tunnel)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|device_name|device_model|device_type|ptnii|tunnel_alias|tunnel_head_ptnii|tunnel_name|tunnel_type|tunnel_tail_dns|tunnel_tail_ptnii
12.82.0.59/AN1CA302IA2_AN1CA301IB1_B_2_1_1_BYPASS|12.82.0.59/AN1CA302IA2_AN1CA301IB1_B_2_1_1_BYPASS|12.82.0.59/AN1CA302IA2_AN1CA301IB1_B_2_1_1_BYPASS|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_AN1CA301IB1_B_2_1_1_BYPASS|B|AN1CA301IB1|an1ca301ib1
12.82.0.59/AN1CA302IA2_HLACA301IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_HLACA301IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_HLACA301IA2_P_2_5_1_PRIORITY|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_HLACA301IA2_P_2_5_1_PRIORITY|P|HLACA301IA2|hlaca301ia2
12.82.0.59/AN1CA302IA2_ALACA301IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_ALACA301IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_ALACA301IA2_P_2_5_1_PRIORITY|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_ALACA301IA2_P_2_5_1_PRIORITY|P|ALACA301IA2|alaca301ia2
12.82.0.59/AN1CA302IA2_GR2CA301VR1_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_GR2CA301VR1_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_GR2CA301VR1_P_2_5_1_PRIORITY|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_GR2CA301VR1_P_2_5_1_PRIORITY|P|GR2CA301VR1|gr2ca301vr1
12.82.0.59/AN1CA302IA2_IRACA302IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_IRACA302IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_IRACA302IA2_P_2_15_2_DEFAULT|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_IRACA302IA2_P_2_15_2_DEFAULT|P|IRACA302IA2|iraca302ia2
12.82.0.59/AN1CA302IA2_NHBCA301IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_NHBCA301IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_NHBCA301IA2_P_2_15_2_DEFAULT|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_NHBCA301IA2_P_2_15_2_DEFAULT|P|NHBCA301IA2|nhbca301ia2
12.82.0.59/AN1CA302IA2_SNZCA302IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_SNZCA302IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_SNZCA302IA2_P_2_5_1_PRIORITY|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_SNZCA302IA2_P_2_5_1_PRIORITY|P|SNZCA302IA2|snzca302ia2
12.82.118.4/tunnel-te50002|12.82.118.4/tunnel-te50002|12.82.118.4/tunnel-te50002|||OEW-VPLS|||OKYOK301VR1|JUNIPER MX960|VR1||||tunnel-te50002|P||kc9mo22crs
12.82.0.59/AN1CA302IA2_GR2CA302VR1_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_GR2CA302VR1_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_GR2CA302VR1_P_2_15_2_DEFAULT|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_GR2CA302VR1_P_2_15_2_DEFAULT|P|GR2CA302VR1|gr2ca302vr1
12.82.0.59/AN1CA302IA2_NHBCA302IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_NHBCA302IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_NHBCA302IA2_P_2_15_2_DEFAULT|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_NHBCA302IA2_P_2_15_2_DEFAULT|P|NHBCA302IA2|nhbca302ia2
12.82.0.59/AN1CA302IA2_LSDCA303IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_LSDCA303IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_LSDCA303IA2_P_2_5_1_PRIORITY|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_LSDCA303IA2_P_2_5_1_PRIORITY|P|LSDCA303IA2|lsdca303ia2
12.82.0.59/AN1CA302IA2_AN1CA301IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_AN1CA301IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_AN1CA301IA2_P_2_15_2_DEFAULT|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_AN1CA301IA2_P_2_15_2_DEFAULT|P|AN1CA301IA2|an1ca301ia2
12.82.0.59/AN1CA302IA2_LSDCA301IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_LSDCA301IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_LSDCA301IA2_P_2_5_1_PRIORITY|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_LSDCA301IA2_P_2_5_1_PRIORITY|P|LSDCA301IA2|lsdca301ia2
12.82.0.59/AN1CA302IA2_LSBCA303IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_LSBCA303IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_LSBCA303IA2_P_2_15_2_DEFAULT|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_LSBCA303IA2_P_2_15_2_DEFAULT|P|LSBCA303IA2|lsbca303ia2
12.82.118.12/tunnel-te50002|12.82.118.12/tunnel-te50002|12.82.118.12/tunnel-te50002|||OEW-VPLS|||TLSOK301VR1|JUNIPER MX960|VR1||||tunnel-te50002|P||tlsok302vr1
12.82.0.59/AN1CA302IA2_GR2CA301VR1_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_GR2CA301VR1_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_GR2CA301VR1_P_2_15_2_DEFAULT|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_GR2CA301VR1_P_2_15_2_DEFAULT|P|GR2CA301VR1|gr2ca301vr1
12.82.0.59/AN1CA302IA2_LSBCA303IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_LSBCA303IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_LSBCA303IA2_P_2_5_1_PRIORITY|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_LSBCA303IA2_P_2_5_1_PRIORITY|P|LSBCA303IA2|lsbca303ia2
12.82.0.59/AN1CA302IA2_SNZCA303IA2_B_2_1_1_BYPASS|12.82.0.59/AN1CA302IA2_SNZCA303IA2_B_2_1_1_BYPASS|12.82.0.59/AN1CA302IA2_SNZCA303IA2_B_2_1_1_BYPASS|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_SNZCA303IA2_B_2_1_1_BYPASS|B|SNZCA303IA2|snzca303ia2
12.82.0.59/AN1CA302IA2_SNZCA303IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_SNZCA303IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_SNZCA303IA2_P_2_5_1_PRIORITY|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_SNZCA303IA2_P_2_5_1_PRIORITY|P|SNZCA303IA2|snzca303ia2
12.82.0.59/AN1CA302IA2_IRACA301IB1_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_IRACA301IB1_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_IRACA301IB1_P_2_15_2_DEFAULT|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_IRACA301IB1_P_2_15_2_DEFAULT|P|IRACA301IB1|iraca301ib1
12.82.0.59/AN1CA302IA2_LSBCA301IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_LSBCA301IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_LSBCA301IA2_P_2_15_2_DEFAULT|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_LSBCA301IA2_P_2_15_2_DEFAULT|P|LSBCA301IA2|lsbca301ia2
12.82.0.59/AN1CA302IA2_HLACA301IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_HLACA301IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_HLACA301IA2_P_2_15_2_DEFAULT|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_HLACA301IA2_P_2_15_2_DEFAULT|P|HLACA301IA2|hlaca301ia2
12.82.0.59/AN1CA302IA2_NHBCA302IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_NHBCA302IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_NHBCA302IA2_P_2_5_1_PRIORITY|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_NHBCA302IA2_P_2_5_1_PRIORITY|P|NHBCA302IA2|nhbca302ia2
12.82.0.59/AN1CA302IA2_ALACA301IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_ALACA301IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_ALACA301IA2_P_2_15_2_DEFAULT|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_ALACA301IA2_P_2_15_2_DEFAULT|P|ALACA301IA2|alaca301ia2
