@ref(networkElement)|@const(IpagPPort)class
@index(CE_PPort)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|aafda_role|acnaban|assoc_nni_pport|clci|clfi|diverse_circuit_id|device_type|ineffect|mpa_connect_type|nmvlan|port_aid|port_ipaddr|port_num|remote_device_name|remote_device_type|remote_device_ipaddr|remote_deviceloopbackip|remote_slot_name|remote_port_aid|slavlan|cdnbind|uni_nni
10.204.10.98/5|10.204.10.98/5|10.204.10.98/5|NFO-MOBILITYUNI|NTE|NTE|true|B|||9|23/UNID/233232/UN|||CIENA NTE|Y|||5||0|||||||||UNI
10.204.84.243/21|10.204.84.243/21|10.204.84.243/21|NFO-EMUX|EMUX|NTE|true|S|||||101/GE1N/CRCYNVMAD05/CRCYNVMAD79||CIENA EMUX||||21||1|CRCYNVMAD05|JUNIPER MX SERIES|10.204.242.137|149.0.3.216||ge-0/0/0|||NNI
10.204.17.33/21|10.204.17.33/21|10.204.17.33/21|NFO-EMUX|EMUX|NTE|true|S|||||JU107/GE1N/ANHMCAMCH01/ANHMCA010AW||CIENA EMUX||||21||0|ANHMCA010AW|JUNIPER MX SERIES|10.204.245.216|12.80.17.93||ge-4/0/0|||NNI
10.204.200.97/26|10.204.200.97/26|10.204.200.97/26|NFO-MOBILITY|NTE|NTE|true|B|||||S103F/GE1N/ORLDFL24AS2/ORLDFL24Q10||CIENA NTE|N|||26||0|ORLDFL24Q10|JUNIPER MX SERIES|10.204.246.205|12.82.0.62||ge-2/0/6|||NNI
10.204.65.153/26|10.204.65.153/26|10.204.65.153/26|NFO-MOBILITY|NTE|NTE|true|B|AAF-SECONDARY||||102/GE1N/ORLDFL32S54/ORLDFL32AS6|105/GE1N/ORLDFL32S54/ORLDFL321IP|CIENA NTE|Y||4092|26||1|ORLDFL32AS6|JUNIPER MX SERIES|12.122.122.63|12.123.80.37||ge-3/0/0|||NNI
10.204.90.246/22|10.204.90.246/22|10.204.90.246/22|NFO-EMUX|EMUX|NTE|true|S|||||P102S/GE1N/CRCYNVAAE18/CRCYNVAA5D5||CIENA EMUX||||22||0|CRCYNVAA5D5|JUNIPER MX SERIES|12.81.161.220|8.8.0.205||ge-2/0/4|||NNI
10.204.160.82/23|10.204.160.82/23|10.204.160.82/23|NFO-EMUX|EMUX|NTE|true|B|||||S101G/GE1N/ORLDFL24D2Q/RLGHNCMOPS4||CIENA EMUX||||23||1|||||||||UNI
10.204.9.67/11|10.204.9.67/11|10.204.9.67/11|NFO-MOBILITY|NTE|NTE|true|B|||||JP101/GE10/DYBHFLMAWA5/DYBHFLMAWB5||CIENA NTE|Y||4092|11||1|DYBHFLMAWA5|JUNIPER MX SERIES|10.204.242.34|149.9.0.6||xe-0/1/0|||NNI
10.204.80.108/25|10.204.80.108/25|10.204.80.108/25|NFO-MOBILITY|NTE|NTE|true|S|DA||||K101M/GE1N/CRCYNVAA3IP/CRCYNVHU7LI|T101G/GE1N/CRCYNVAA2IP/CRCYNVHU4LI|CIENA NTE|N||4092|25||1|CRCYNVAA3IP|JUNIPER MX SERIES|12.122.122.53|12.123.80.27||ge-3/0/2|||NNI
10.204.132.153/SM-B/1|10.204.132.153/SM-B/1|10.204.132.153/SM-B/1|NFO-TA5000|TA5000|NTE|true|B|||||103/GE1N/GSVLFLANAC1/GSVLFLANPWK||ADTRAN 5000 SERIES||||1||1|GSVLFLANAC1|JUNIPER MX SERIES|10.204.243.114|143.0.68.240||ge-1/0/3|||NNI
10.204.136.101/21|10.204.136.101/21|10.204.136.101/21|NFO-EMUX|EMUX|NTE|true|B|||||101/GE1N/JCVLFLSEN07/JCVLFLSEWA1||CIENA EMUX||||21||1|JCVLFLSEN07|JUNIPER MX SERIES|143.1.33.60|143.0.68.72||ge-1/0/0|||NNI
10.204.80.210/3|10.204.80.210/3|10.204.80.210/3|NFO-MOBILITYUNI|NTE|NTE|true|S|||26|57/XERT/165789/FR|||CIENA NTE|Y|||3||3|||||||||UNI
10.204.8.69/SM-A/1|10.204.8.69/SM-A/1|10.204.8.69/SM-A/1|NFO-TA5000|TA5000|NTE|true|B|||||R101K/GE1N/DYBHFLMAXIY/DYBHFLMAX5Y||ADTRAN 5000 SERIES||||1||0|DYBHFLMAX5Y|JUNIPER MX SERIES|12.122.123.62|150.0.0.12||ge-1/0/1|||NNI
10.204.10.200/24|10.204.10.200/24|10.204.10.200/24|NFO-EMUX|EMUX|NTE|true|B|||||104/GE1N/DYBHFLMA5P8/DYBHFLMB2MX||CIENA EMUX||||24||1|DYBHFLMB2MX|JUNIPER MX SERIES|10.204.243.42|143.0.68.170||ge-5/0/5|||NNI
10.204.201.35/3|10.204.201.35/3|10.204.201.35/3|NTE-CFO|IPAG|NTE|true|B|||25|56/HJAUI/561089/GY|||CIENA NTE|Y|||3||3|||||||||UNI
10.204.132.151/1|10.204.132.151/1|10.204.132.151/1|NFO-MOBILITY|NTE|NTE|true|B|DA||||JU104/GE1N/GSVLFLANYN2/GSVLFLANZM1|JU101/GE1N/GSVLFLANDS1/GSVLFLANX1X|CIENA EMUX|Y||4092|1||0|GSVLFLANYN2|CIENA NTE|10.204.132.152|||9|||NNI
10.204.80.210/1|10.204.80.210/1|10.204.80.210/1|NFO-MOBILITYUNI|NTE|NTE|true|S|||26|01/KULD/032011/K1|||CIENA NTE|Y|||1||1|||||||||UNI
10.204.8.73/28|10.204.8.73/28|10.204.8.73/28|NTE-CFO|IPAG|NTE|true|B|||25|15/KRFN/061090/SB|||CIENA NTE|Y|||28||0|||||||||UNI
10.204.201.69/25|10.204.201.69/25|10.204.201.69/25|NFO-MOBILITY|NTE|NTE|true|B|||||101/GE1N/ORLDFL24SL1/ORLDFL24VL4||CIENA NTE|N|||25||0|ORLDFL24VL4|JUNIPER MX SERIES|10.204.247.127|12.80.72.118||ge-0/0/3|||NNI
10.204.11.145/2|10.204.11.145/2|10.204.11.145/2|NTE-CFO|IPAG|NTE|true|B|||9|43/KQGN/817201/SB|||CIENA NTE|Y|||2||0|||||||||UNI
10.204.200.101/25|10.204.200.101/25|10.204.200.101/25|NFO-MOBILITY|NTE|NTE|true|B|||||J101P/GE1N/ORLDFL24BLE/ORLDFL24FIP||CIENA NTE|N||4092|25||0|ORLDFL24FIP|JUNIPER MX SERIES|10.204.246.168|12.82.0.53||ge-5/0/2|||NNI
10.204.83.130/24|10.204.83.130/24|10.204.83.130/24|NFO-EMUX|EMUX|NTE|true|S|||||A104P/GE1N/CRCYNVMAA05/CRCYNVMAA46||CIENA EMUX||||24||1|CRCYNVMAA05|JUNIPER MX SERIES|10.204.242.2|150.0.0.216||ge-1/0/1|||NNI
10.204.81.143/1|10.204.81.143/1|10.204.81.143/1|NTE-CFO|IPAG|NTE|true|S|||25|06/UNIF/240387/JP|||CIENA NTE|Y|||1||1|||||||||UNI
10.204.200.205/25|10.204.200.205/25|10.204.200.205/25|NFO-MOBILITY|NTE|NTE|true|B|||||101/GE1N/RLGHNCMAN78/RLGHNCMAN79||CIENA NTE|N|||25||1|RLGHNCMAN78|JUNIPER MX SERIES|10.204.247.40|12.80.72.42||ge-0/0/0|||NNI
