@rel(Composed_Of)
@from(PE_Device)key|@to(PE_Slot)key
143.0.68.169|143.0.68.169/3
10.0.36.77|10.0.36.77/9
12.123.80.70|12.123.80.70/3
143.0.24.195|143.0.24.195/1
149.8.0.23|149.8.0.23/0
10.0.36.19|10.0.36.19/5
14.195.0.51|14.195.0.51/10
149.4.64.12|149.4.64.12/6
149.0.3.215|149.0.3.215/1
143.0.68.241|143.0.68.241/5
149.8.0.129|149.8.0.129/1
12.80.72.88|12.80.72.88/3
149.4.64.3|149.4.64.3/5
143.0.68.179|143.0.68.179/0
12.80.72.6|12.80.72.6/0
10.0.36.17|10.0.36.17/7
143.0.24.102|143.0.24.102/1
14.195.0.50|14.195.0.50/3
10.0.36.78|10.0.36.78/6
143.0.68.107|143.0.68.107/2
150.0.0.152|150.0.0.152/0
10.0.40.36|10.0.40.36/5
12.123.80.103|12.123.80.103/1
12.80.72.90|12.80.72.90/4
10.0.40.6|10.0.40.6/10
12.80.0.211|12.80.0.211/8
10.0.40.7|10.0.40.7/5
12.123.80.61|12.123.80.61/1
149.4.64.8|149.4.64.8/0
143.0.24.41|143.0.24.41/0
150.0.0.7|150.0.0.7/0
150.0.0.56|150.0.0.56/0
143.0.68.66|143.0.68.66/4
149.9.0.27|149.9.0.27/1
12.80.72.110|12.80.72.110/2
8.8.0.190|8.8.0.190/0
149.8.0.20|149.8.0.20/2
12.123.80.14|12.123.80.14/2
149.0.3.146|149.0.3.146/3
143.0.24.56|143.0.24.56/1
149.8.0.10|149.8.0.10/1
10.0.40.6|10.0.40.6/7
149.0.3.216|149.0.3.216/0
148.0.131.221|148.0.131.221/2
143.0.24.117|143.0.24.117/1
149.8.0.28|149.8.0.28/1
149.4.64.5|149.4.64.5/9
143.0.24.145|143.0.24.145/1
143.0.24.44|143.0.24.44/1
12.80.72.17|12.80.72.17/3
10.144.0.62|10.144.0.62/7
10.0.36.68|10.0.36.68/10
10.0.40.4|10.0.40.4/9
143.0.68.136|143.0.68.136/0
148.0.131.182|148.0.131.182/1
8.8.0.197|8.8.0.197/5
10.0.38.45|10.0.38.45/5
12.123.68.3|12.123.68.3/1
12.123.68.4|12.123.68.4/3
143.0.68.248|143.0.68.248/4
8.8.0.216|8.8.0.216/2
12.123.80.181|12.123.80.181/0
10.0.38.27|10.0.38.27/3
150.0.0.166|150.0.0.166/2
10.0.36.75|10.0.36.75/10
10.144.0.155|10.144.0.155/3
10.0.40.6|10.0.40.6/4
12.123.80.171|12.123.80.171/0
12.123.80.91|12.123.80.91/2
149.8.0.160|149.8.0.160/5
143.0.24.49|143.0.24.49/1
143.0.68.114|143.0.68.114/1
12.80.72.65|12.80.72.65/2
