@rel(Composed_Of)
@from(PE_LPort)key|@to(EVCNode)key
8.8.0.118/1/1/2/22|8.8.0.118/VPLS:62705
10.144.0.155/1/2/6/6003|10.144.0.155/VPWS:30913
143.0.68.242/4/1/3/6000|143.0.68.242/VPLS:32482
10.144.0.136/5/1/0/6003|10.144.0.136/VPLS:26734
149.0.3.222/5/0/2/6001|149.0.3.222/VPWS:27694
72.44.12.28/0/2/3/451|72.44.12.28/VPLS:17598
10.144.0.154/1/2/4/6019|10.144.0.154/L2CKT:32351
12.122.72.112/2/0/1/1|12.122.72.112/VPLS:18960
143.0.68.230/5/1/0/6060|143.0.68.230/VPWS:29872
150.0.0.10/2/0/3/6010|150.0.0.10/VPWS:29272
10.144.0.62/9/2/4/9|10.144.0.62/VPLS:22778
12.82.0.62/1/0/2/3|12.82.0.62/VPLS:52119
149.9.0.27/0/0/0/6008|149.9.0.27/VPWS:25619
150.0.0.168/2/0/6/6001|150.0.0.168/L2CKT:25572
143.0.68.184/0/0/5/6034|143.0.68.184/VPLS:29685
150.0.0.168/5/1/6/6011|150.0.0.168/VPWS:25732
143.0.24.148/4/0/9/6011|143.0.24.148/VPLS:31859
149.0.3.222/2/1/2/6004|149.0.3.222/VPLS:28083
10.144.0.137/1/2/0/6004|10.144.0.137/VPLS:30826
150.0.0.229/0/0/0/6001|150.0.0.229/VPLS:26711
10.144.0.137/3/0/4/6002|10.144.0.137/L2CKT:30404
143.0.68.230/5/1/0/6024|143.0.68.230/VPWS:29119
12.123.80.29/2/0/4/6004|12.123.80.29/VPLS:20548
143.0.68.230/5/1/0/6043|143.0.68.230/VPWS:29271
10.144.0.137/5/2/7/6001|10.144.0.137/VPLS:30355
150.0.0.215/0/0/0/6007|150.0.0.215/VPLS:25537
8.8.0.239/3/0/0/4|8.8.0.239/VPWS:63665
12.123.80.197/0/0/1/6002|12.123.80.197/L2CKT:22016
149.4.64.5/9/2/2/5|149.4.64.5/VPLS:28925
149.0.3.196/0/0/9/6010|149.0.3.196/L2CKT:27548
12.122.72.115/1/0/3/2|12.122.72.115/VPLS:19517
150.0.0.89/1/0/0/6002|150.0.0.89/VPWS:23456
12.122.72.115/1/0/0/2|12.122.72.115/VPLS:19151
10.0.36.72/8/0/0/1|10.0.36.72/VPLS:22824
8.8.0.190/5/0/0/5|8.8.0.190/VPLS:63251
149.0.3.135/0/2/0/6004|149.0.3.135/VPLS:25704
149.0.3.202/0/0/0/6018|149.0.3.202/VPWS:28422
150.0.0.167/2/0/1/6001|150.0.0.167/VPWS:25921
8.8.0.118/1/1/2/9|8.8.0.118/VPLS:61421
149.9.0.27/0/0/0/6014|149.9.0.27/VPWS:25877
12.82.0.62/1/0/7/4|12.82.0.62/VPLS:51800
143.0.68.248/0/2/3/6001|143.0.68.248/L2CKT:31636
143.0.68.168/7/0/1/6000|143.0.68.168/VPWS:28843
143.0.68.184/0/1/6/6034|143.0.68.184/VPWS:30836
143.0.68.18/0/0/0/6013|143.0.68.18/VPLS:26506
143.0.68.230/5/1/0/6056|143.0.68.230/VPLS:29572
143.0.68.230/5/1/0/6014|143.0.68.230/VPWS:29050
8.8.0.172/5/0/0/24|8.8.0.172/VPWS:63252
10.144.0.136/5/2/0/6010|10.144.0.136/VPLS:26766
12.122.72.112/2/1/5/3|12.122.72.112/VPLS:18848
10.144.0.137/1/3/5/6009|10.144.0.137/VPLS:21509
143.0.68.184/0/1/6/6027|143.0.68.184/VPLS:30551
143.0.68.184/0/1/6/6042|143.0.68.184/VPWS:31417
8.8.0.172/5/0/0/5|8.8.0.172/L2CKT:62396
143.0.24.148/4/0/9/6016|143.0.24.148/VPWS:31952
12.123.80.214/2/1/2/6001|12.123.80.214/VPLS:22308
149.0.3.196/0/0/9/6022|149.0.3.196/L2CKT:27593
143.0.68.184/0/0/5/6020|143.0.68.184/VPWS:29198
12.122.72.112/2/0/9/2|12.122.72.112/VPLS:18058
143.0.24.145/10/0/1/6001|143.0.24.145/VPLS:32143
143.0.68.172/3/0/0/6005|143.0.68.172/VPWS:31952
143.0.68.172/3/0/0/6010|143.0.68.172/VPLS:32006
149.0.3.244/2/2/0/6004|149.0.3.244/VPLS:27195
10.0.36.72/3/0/0/3|10.0.36.72/VPLS:22619
143.0.68.244/1/0/0/6021|143.0.68.244/VPWS:29277
10.144.0.137/4/0/1/6001|10.144.0.137/VPLS:29610
150.0.0.232/0/0/1/6024|150.0.0.232/VPLS:26463
143.0.68.242/4/1/3/6001|143.0.68.242/VPLS:32483
143.0.68.172/3/0/0/6002|143.0.68.172/VPWS:31829
148.0.131.182/4/1/6/6047|148.0.131.182/VPLS:23852
150.0.0.234/0/0/0/6004|150.0.0.234/VPLS:25806
10.144.0.62/7/1/0/3|10.144.0.62/VPLS:22583
12.80.84.26/3/0/0/1|12.80.84.26/VPLS:52383
143.0.68.242/3/0/3/6006|143.0.68.242/VPWS:31755
12.123.80.214/4/1/2/6001|12.123.80.214/VPLS:22405
143.0.68.184/0/0/5/6025|143.0.68.184/VPWS:29271
10.0.36.75/2/0/2/1|10.0.36.75/VPWS:29058
10.144.0.136/5/2/0/6017|10.144.0.136/VPLS:32015
12.123.80.212/2/1/3/6006|12.123.80.212/VPLS:22467
8.8.0.154/3/1/0/11|8.8.0.154/L2CKT:62884
10.144.0.62/9/0/3/2|10.144.0.62/VPLS:28077
10.144.0.137/1/3/5/6059|10.144.0.137/L2CKT:27004
143.0.68.244/7/0/2/6003|143.0.68.244/VPLS:31589
143.0.68.242/5/0/0/6014|143.0.68.242/L2CKT:32394
143.0.68.230/5/1/0/6065|143.0.68.230/VPWS:32000
143.0.68.244/1/0/0/6008|143.0.68.244/L2CKT:28891
8.8.0.118/1/1/2/1|8.8.0.118/VPLS:61018
12.123.80.46/1/0/5/6000|12.123.80.46/VPLS:21963
149.0.3.196/5/0/8/6004|149.0.3.196/VPLS:27882
8.8.0.190/5/0/0/2|8.8.0.190/VPLS:62885
143.0.68.214/1/0/7/6000|143.0.68.214/VPWS:30774
148.0.131.239/5/0/0/6159|148.0.131.239/VPLS:30034
10.144.0.155/1/2/4/6000|10.144.0.155/VPWS:32145
150.0.0.168/2/0/6/6000|150.0.0.168/VPLS:25571
149.0.3.222/2/1/2/6003|149.0.3.222/L2CKT:28058
148.0.131.204/5/0/0/6034|148.0.131.204/VPLS:26057
149.0.3.196/5/0/8/6005|149.0.3.196/VPLS:27883
143.0.68.244/1/0/0/6029|143.0.68.244/L2CKT:29459
149.0.3.128/5/0/0/6002|149.0.3.128/VPLS:25461
143.0.68.242/5/0/0/6033|143.0.68.242/VPLS:32749
143.0.68.36/0/0/0/6001|143.0.68.36/VPLS:25649
12.122.72.128/1/0/6/0|12.122.72.128/VPLS:17354
78.23.44.28/1/0/2/3|78.23.44.28/VPLS:17349
10.144.0.137/1/3/5/6045|10.144.0.137/VPWS:24113
149.0.3.194/0/2/0/6007|149.0.3.194/VPWS:27516
8.8.0.172/5/0/0/15|8.8.0.172/ASDF1234
