@rel(Part_Of)
@from(PE_Device)key|@to(Tunnel)key
10.144.0.112|10.144.0.112/PE14_PE10_B_2_1_1_BYPASS
10.144.0.138|10.144.0.138/PE22_PE11_P_2_15_2_DEFAULT
12.123.233.38|12.123.233.38/SCACA304VR1_SNACA301MP2_P_2_15_2_DEFAULT
10.144.0.123|10.144.0.123/PE10_PE15_P_2_15_2_DEFAULT
143.0.25.103|143.0.25.103/SNDCA301MP1_SFFCA304VR1_P_2_5_1_PRIORITY
10.144.0.136|10.144.0.136/PE24_PE6_P_2_5_1_PRIORITY
12.82.32.120|12.82.32.120/tunnel_te50004
10.144.0.138|10.144.0.138/PE22_PE17_P_2_15_2_DEFAULT
143.0.25.103|143.0.25.103/SNDCA301MP1_SNACA301MP2_P_2_5_1_PRIORITY
143.0.24.131|143.0.24.131/SNACA316IA2_SNDCA301MP1_P_2_5_1_PRIORITY
10.144.0.124|10.144.0.124/PE11_PE22_P_2_15_2_DEFAULT
12.82.166.7|12.82.166.7/SFFCA304VR1_SNDCA301MP1_P_2_5_1_PRIORITY
10.144.0.113|10.144.0.113/PE15_PE10_P_2_5_1_PRIORITY
10.144.0.137|10.144.0.137/PE26_PE1_B_2_1_1_BYPASS
10.144.0.112|10.144.0.112/PE14_PE16_P_2_15_2_DEFAULT
143.0.25.103|143.0.25.103/SNDCA301MP1_SFFCA326VR1_B_2_1_1_BYPASS
10.144.0.123|10.144.0.123/PE10_PE14_P_2_5_1_PRIORITY
10.144.0.112|10.144.0.112/PE14_PE15_B_2_1_1_BYPASS
10.144.0.113|10.144.0.113/PE15_PE5_P_2_15_2_DEFAULT
10.144.0.147|10.144.0.147/PE28_PE24_B_2_1_1_BYPASS
10.144.0.124|10.144.0.124/PE11_PE22_P_2_5_1_PRIORITY
10.144.0.114|10.144.0.114/PE16_PE11_B_2_1_1_BYPASS
10.144.0.138|10.144.0.138/PE22_PE5_P_2_15_2_DEFAULT
10.144.0.114|10.144.0.114/PE16_PE17_B_2_1_1_BYPASS
10.144.0.138|10.144.0.138/PE22_PE14_P_2_15_2_DEFAULT
10.144.0.122|10.144.0.122/PE9_PE14_B_2_1_1_BYPASS
10.144.0.115|10.144.0.115/PE17_PE16_B_2_1_1_BYPASS
