@ref(networkElement)|@const(IpagProtectionPathHop)class
@index(Protection_Path_Hop)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|end_end_device_clli|end_end_device_lookbackip|end_lag_id|end_lag_ip|hop_head_lookbackip|hop_head_ptnii|hop_tail_lookbackip|hop_tail_ptnii|lag_ckt|start_end_device_clli|start_end_device_lookbackip|start_lag_id|start_lag_ip
10.144.0.136/PE24_PE26_B_2_1_1_BYPASS/10.1.188.166|10.144.0.136/PE24_PE26_B_2_1_1_BYPASS/10.1.188.166|10.144.0.136/PE24_PE26_B_2_1_1_BYPASS/10.1.188.166|||IPAG|||||ae12|10.1.188.166|197.144.0.136|ORAFL301IB2|10.144.0.65|ORMFL301IA2||||ae12|10.1.188.165
10.144.0.112/PE14_PE9_B_2_1_1_BYPASS/10.1.182.30|10.144.0.112/PE14_PE9_B_2_1_1_BYPASS/10.1.182.30|10.144.0.112/PE14_PE9_B_2_1_1_BYPASS/10.1.182.30|||IPAG|||||ae77|10.1.182.30|10.144.0.112|SNDCA301IA2|10.144.0.113|SNBCA301IA2||||ae77|10.1.182.30
10.144.0.65/ORMFL301IA2_ORMFL306VR1_B_2_1_1_BYPASS/10.1.188.129|10.144.0.65/ORMFL301IA2_ORMFL306VR1_B_2_1_1_BYPASS/10.1.188.129|10.144.0.65/ORMFL301IA2_ORMFL306VR1_B_2_1_1_BYPASS/10.1.188.129|||IPAG|||||ae32|10.1.188.129|135.16.241.28|ORMFL303VR1|192.168.119.40|ORMFL306VR1||||ae32|10.1.188.129
10.144.0.136/PE24_PE1_B_2_1_1_BYPASS/10.1.188.154|10.144.0.136/PE24_PE1_B_2_1_1_BYPASS/10.1.188.154|10.144.0.136/PE24_PE1_B_2_1_1_BYPASS/10.1.188.154|||IPAG|||||ae23|10.1.188.154|197.144.0.136|ORAFL301IB2|135.16.241.28|ORMFL303VR1||||ae23|10.1.188.154
10.144.0.147/PE28_PE24_B_2_1_1_BYPASS/10.1.188.202|10.144.0.147/PE28_PE24_B_2_1_1_BYPASS/10.1.188.202|10.144.0.147/PE28_PE24_B_2_1_1_BYPASS/10.1.188.202|||IPAG|||||ae10|10.1.188.202|10.144.0.147|ORPFL301IA1|10.144.0.65|ORMFL301IA2||||ae10|10.1.188.202
10.144.0.113/PE15_PE14_B_2_1_1_BYPASS/10.1.182.34|10.144.0.113/PE15_PE14_B_2_1_1_BYPASS/10.1.182.34|10.144.0.113/PE15_PE14_B_2_1_1_BYPASS/10.1.182.34|||IPAG||||||10.1.182.34|||||||||
10.144.0.112/PE14_PE15_B_2_1_1_BYPASS/10.1.182.57|10.144.0.112/PE14_PE15_B_2_1_1_BYPASS/10.1.182.57|10.144.0.112/PE14_PE15_B_2_1_1_BYPASS/10.1.182.57|||IPAG||||||10.1.182.57|||||||||
10.144.0.112/PE14_PE9_B_2_1_1_BYPASS/10.1.182.89|10.144.0.112/PE14_PE9_B_2_1_1_BYPASS/10.1.182.89|10.144.0.112/PE14_PE9_B_2_1_1_BYPASS/10.1.182.89|||IPAG||||||10.1.182.89|||||||||
10.144.0.136/PE24_PE1_B_2_1_1_BYPASS/10.1.188.149|10.144.0.136/PE24_PE1_B_2_1_1_BYPASS/10.1.188.149|10.144.0.136/PE24_PE1_B_2_1_1_BYPASS/10.1.188.149|||IPAG|||ORLDFLMA52W||ae24|10.1.188.149|135.16.241.28|ORMFL303VR1|10.144.0.65|ORMFL301IA2|102/V-Links/ORLDFLMA52W/ORLDFLMA61W|ORLDFLMA52W||ae24|10.1.188.150
10.144.0.123/PE10_PE14_B_2_1_1_BYPASS/10.1.182.29|10.144.0.123/PE10_PE14_B_2_1_1_BYPASS/10.1.182.29|10.144.0.123/PE10_PE14_B_2_1_1_BYPASS/10.1.182.29|||IPAG|||||ae77|10.1.182.29|10.144.0.113|SNBCA301IA2|10.144.0.112|SNDCA301IA2||||ae77|10.1.182.29
10.144.0.147/PE28_PE1_B_2_1_1_BYPASS/10.1.188.198|10.144.0.147/PE28_PE1_B_2_1_1_BYPASS/10.1.188.198|10.144.0.147/PE28_PE1_B_2_1_1_BYPASS/10.1.188.198|||IPAG|||||ae11|10.1.188.198|10.144.0.147|ORPFL301IA1|197.144.0.136|ORAFL301IB2||||ae11|10.1.188.197
10.144.0.147/PE28_PE24_B_2_1_1_BYPASS/10.1.188.165|10.144.0.147/PE28_PE24_B_2_1_1_BYPASS/10.1.188.165|10.144.0.147/PE28_PE24_B_2_1_1_BYPASS/10.1.188.165|||IPAG|||||ae12|10.1.188.165|10.144.0.65|ORMFL301IA2|197.144.0.136|ORAFL301IB2||||ae12|10.1.188.166
10.144.0.123/PE10_PE15_B_2_5_1_BYPASS/10.1.182.30|10.144.0.123/PE10_PE15_B_2_5_1_BYPASS/10.1.182.30|10.144.0.123/PE10_PE15_B_2_5_1_BYPASS/10.1.182.30|||IPAG|||||ae77|10.1.182.30|10.144.0.112|SNDCA301IA2|10.144.0.113|SNBCA301IA2||||ae77|10.1.182.30
10.144.0.122/PE9_PE14_B_2_1_1_BYPASS/10.1.182.90|10.144.0.122/PE9_PE14_B_2_1_1_BYPASS/10.1.182.90|10.144.0.122/PE9_PE14_B_2_1_1_BYPASS/10.1.182.90|||IPAG||||||10.1.182.90|||||||||
10.144.0.65/PE1_PE28_B_2_1_1_BYPASS/10.1.188.165|10.144.0.65/PE1_PE28_B_2_1_1_BYPASS/10.1.188.165|10.144.0.65/PE1_PE28_B_2_1_1_BYPASS/10.1.188.165|||IPAG|||||ae12|10.1.188.165|10.144.0.65|ORMFL301IA2|197.144.0.136|ORAFL301IB2||||ae12|10.1.188.166
10.144.0.147/PE28_PE1_B_2_1_1_BYPASS/10.1.188.166|10.144.0.147/PE28_PE1_B_2_1_1_BYPASS/10.1.188.166|10.144.0.147/PE28_PE1_B_2_1_1_BYPASS/10.1.188.166|||IPAG|||||ae12|10.1.188.166|197.144.0.136|ORAFL301IB2|10.144.0.65|ORMFL301IA2||||ae12|10.1.188.165
10.144.0.122/PE9_PE14_B_2_1_1_BYPASS/10.1.182.29|10.144.0.122/PE9_PE14_B_2_1_1_BYPASS/10.1.182.29|10.144.0.122/PE9_PE14_B_2_1_1_BYPASS/10.1.182.29|||IPAG||||||10.1.182.29|||||||||
