@ref(networkElement)|@const(IpagTunnel)class
@index(Tunnel)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|tunnel_type|device_name|device_model|device_type|ptnii|tunnel_alias|tunnel_head_ptnii|tunnel_name|tunnel_tail_dns|tunnel_tail_ptnii
10.144.0.62/tunnel_te50003|10.144.0.62/tunnel_te50003|10.144.0.62/tunnel_te50003|||OEW-VPLS|||P|CHGIL302VR1|JUNIPER MX960|VR1||||tunnel_te50003|te50003|chgil304vr1
10.144.0.65/ORMFL301IA2_ORMFL306VR1_B_2_1_1_BYPASS|10.144.0.65/ORMFL301IA2_ORMFL306VR1_B_2_1_1_BYPASS|10.144.0.65/ORMFL301IA2_ORMFL306VR1_B_2_1_1_BYPASS|||IPAG|||B|ORLDFLMA61W|MX960|JUNIPER MX SERIES|ORMFL301IA2||ormfl301ia2|ORMFL301IA2_ORMFL306VR1_B_2_1_1_BYPASS|ORMFL306VR1|jcffl304ia2
10.144.0.211/chgil301mp1_chgil304vr1_P_2_15_2_DEFAULT|10.144.0.211/chgil301mp1_chgil304vr1_P_2_15_2_DEFAULT|10.144.0.211/chgil301mp1_chgil304vr1_P_2_15_2_DEFAULT|||MPCIO|||P|ORLDFLMA3AW|MX2020|JUNIPER MX SERIES|ORMFL301MP1||ormfl301mp1|chgil301mp1_chgil304vr1_P_2_15_2_DEFAULT|chgil304vr1|chgil304vr1
10.144.0.115/PE17_PE16_P_2_5_1_PRIORITY|10.144.0.115/PE17_PE16_P_2_5_1_PRIORITY|10.144.0.115/PE17_PE16_P_2_5_1_PRIORITY|||IPAG|||P|SNJSCA02L01|MX960|JUNIPER MX SERIES|SNACA301IB1||snaca301ib1|PE17_PE16_P_2_5_1_PRIORITY|PE16|orafl301ia2
10.144.0.122/PE9_PE15_P_2_5_1_PRIORITY|10.144.0.122/PE9_PE15_P_2_5_1_PRIORITY|10.144.0.122/PE9_PE15_P_2_5_1_PRIORITY|||IPAG|||P|SNJSCA021IW|MX480|JUNIPER MX SERIES|SNACA301IA1||snaca301ia1|PE9_PE15_P_2_5_1_PRIORITY|PE15|snbca301ia2
135.16.241.28/tunnel_te50003|135.16.241.28/tunnel_te50003|135.16.241.28/tunnel_te50003|||OEW-VPLS|||P|ORLDFLMADC8|JUNIPER MX960|VR1|ORMFL303VR1||ormfl303vr1|tunnel_te50003|te50003|chgil304vr1
10.144.0.211/chgil301mp1_chgil302mp2_P_2_5_1_PRIORITY|10.144.0.211/chgil301mp1_chgil302mp2_P_2_5_1_PRIORITY|10.144.0.211/chgil301mp1_chgil302mp2_P_2_5_1_PRIORITY|||MPCIO|||P|ORLDFLMA3AW|MX2020|JUNIPER MX SERIES|ORMFL301MP1||ormfl301mp1|chgil301mp1_chgil302mp2_P_2_5_1_PRIORITY|chgil302mp2|orpfl302mp2
10.144.0.212/chgil302mp2_chgil304vr1_P_2_15_2_DEFAULT|10.144.0.212/chgil302mp2_chgil304vr1_P_2_15_2_DEFAULT|10.144.0.212/chgil302mp2_chgil304vr1_P_2_15_2_DEFAULT|||MPCIO|||P|ORLDFLPHWAA|MX2010|JUNIPER MX SERIES|ORPFL302MP2||orpfl302mp2|chgil302mp2_chgil304vr1_P_2_15_2_DEFAULT|chgil304vr1|chgil304vr1
10.144.0.113/PE15_PE14_B_2_1_1_BYPASS|10.144.0.113/PE15_PE14_B_2_1_1_BYPASS|10.144.0.113/PE15_PE14_B_2_1_1_BYPASS|||IPAG|||B|SNJSCA1225W|MX960|JUNIPER MX SERIES|SNBCA301IA2||snbca301ia2|PE15_PE14_B_2_1_1_BYPASS|PE14|sndca301ia2
10.144.0.112/PE14_PE10_P_2_15_2_DEFAULT|10.144.0.112/PE14_PE10_P_2_15_2_DEFAULT|10.144.0.112/PE14_PE10_P_2_15_2_DEFAULT|||IPAG|||P|SNTCCA010DW|MX960|JUNIPER MX SERIES|SNDCA301IA2||sndca301ia2|PE14_PE10_P_2_15_2_DEFAULT|PE10|snaca302ia1
