@ref(networkElement)|@const(IpagCard)class
@index(PE_Card)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|card_type
143.0.68.241/4/0|143.0.68.241/4/0|143.0.68.241/4/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.68.248/0/3|143.0.68.248/0/3|143.0.68.248/0/3|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
149.0.3.195/5/0|149.0.3.195/5/0|149.0.3.195/5/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPCE-X-Q-4XGE
150.0.0.168/5/3|150.0.0.168/5/3|150.0.0.168/5/3|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
149.0.3.222/3/0|149.0.3.222/3/0|149.0.3.222/3/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
12.123.80.143/2/0|12.123.80.143/2/0|12.123.80.143/2/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.68.168/1/0|143.0.68.168/1/0|143.0.68.168/1/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
150.0.0.147/3/0|150.0.0.147/3/0|150.0.0.147/3/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
143.0.68.241/5/0|143.0.68.241/5/0|143.0.68.241/5/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.68.170/1/1|143.0.68.170/1/1|143.0.68.170/1/1|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
8.8.0.190/5/0|8.8.0.190/5/0|8.8.0.190/5/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPCE-X-Q-40GE
12.123.80.122/1/0|12.123.80.122/1/0|12.123.80.122/1/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
149.0.3.216/0/0|149.0.3.216/0/0|149.0.3.216/0/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
143.0.68.242/4/0|143.0.68.242/4/0|143.0.68.242/4/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
12.123.80.133/2/0|12.123.80.133/2/0|12.123.80.133/2/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.68.184/1/0|143.0.68.184/1/0|143.0.68.184/1/0|ETHERNET-NFO|IPAG|IPAG|true|B|MIC3-3D-2X40GE-QSFPP
149.0.3.202/0/0|149.0.3.202/0/0|149.0.3.202/0/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.68.172/0/0|143.0.68.172/0/0|143.0.68.172/0/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
12.80.84.29/3/0|12.80.84.29/3/0|12.80.84.29/3/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
12.123.80.214/0/1|12.123.80.214/0/1|12.123.80.214/0/1|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
12.82.0.62/2/0|12.82.0.62/2/0|12.82.0.62/2/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
10.144.0.147/2/0|10.144.0.147/2/0|10.144.0.147/2/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
