@ref(networkElement)|@const(IpagLPort)class
@index(PE_LPort)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|access_flag|bmp_clci|card_type|clci|clfi|cust_circuit_id|cvlanid|cvlan_id_bot|cvlan_id_top|device_name|ds1_ckt_id|evc_name|grc|icore_evcname|ineffect|interface_ip_addr|interface_number|interface_string|log_port_name|log_port_number|mcn|mlppp_grp_number|nvlan_id_top|peip_addr|pvc_id|remote_cvlanid_bot|remote_cvlanid_top|remote_cvlanid|remote_ipaddr|remote_port_aid|remote_log_port_name|remote_nvlan_id_top|remote_svlanid|remote_vlanid|scp_service|service_name|service_options|soc|sub_interface|subscriber_name|svlanid|vlanid|uni_nni|vrf_name|vpn_name
143.0.68.184/0/1/6/6015|143.0.68.184/0/1/6/6015|143.0.68.184/0/1/6/6015|NFO-MOBILITY|NTE|IPAG|true|B||||||||||DYBHFLMCV22||00/KRFN/120002/SP|||Y||||00/UNIF/121412/SP_299474_Port_A|6015|||||||||||||||||||6015|||||VPLS:30255|
150.0.0.168/5/0/2/36|150.0.0.168/5/0/2/36|150.0.0.168/5/0/2/36|ETHERNET-NFO|IPAG|IPAG|true|S||||||||||CRCYNVMAI41|||||N||||100/E-Links/CRCYNVMAB69/CRCYNVMAI41_Port_Z|36|||||||||||||||||||||||||
143.0.68.242/5/0/0/6017|143.0.68.242/5/0/0/6017|143.0.68.242/5/0/0/6017|ETHERNET-NFO|IPAG|IPAG|true|B||||||||||GSVLFLANH02||11/KRFN/943487/SB|||Y||||08/KRFN/508013/RB_411362_Port_A|6017|||||||||||||||||||6017|||||L2CKT:32445|
12.123.80.212/2/0/8/6002|12.123.80.212/2/0/8/6002|12.123.80.212/2/0/8/6002|NFO-MOBILITY|NTE|IPAG|true|S||||||||||SNJSCAHUDK1||24/EVCP/394893/RS|||Y||||01/KRFN/567567/SB_282562_Port_A|6002|||||||||||||||||||6002|||||VPWS:27831|
12.123.80.212/2/0/8/6006|12.123.80.212/2/0/8/6006|12.123.80.212/2/0/8/6006|NFO-MOBILITY|NTE|IPAG|true|S||||||||||SNJSCAHUDK1||78/EVCP/393043/RS|||Y||||01/KRFN/567567/SB_282789_Port_A|6006|||||||||||||||||||6006|||||VPLS:27874|
143.0.68.170/2/1/3/226|143.0.68.170/2/1/3/226|143.0.68.170/2/1/3/226|ETHERNET-NFO|IPAG|IPAG|true|B||||||||||DYBHFLMB2MX|||||N||||107/E-Links/DYBHFLMA3A8/DYBHFLMB2MX_Port_Z|226|||||||||||||||||||||||||
143.0.68.34/1/0/4/8|143.0.68.34/1/0/4/8|143.0.68.34/1/0/4/8|ETHERNET-NFO|IPAG|IPAG|true|S|||||108/GE1N/CRCYNVMAH02/CRCYNVMAH03|||||CRCYNVMAH03|||||N||||108/GE1N/CRCYNVMAH02/CRCYNVMAH03_Port_Z|8|||||||||||108/GE1N/CRCYNVMAH02/CRCYNVMAH03_Port_A||||||||||||||
10.144.0.137/1/3/5/6043|10.144.0.137/1/3/5/6043|10.144.0.137/1/3/5/6043|ETHERNET-NFO|IPAG|IPAG|true|B||||||||||ORLDFLMA51W||99/RRAM/660099/JF|||Y||||10/KQGN/100621/SB_253084_Port_A|6043|||||||||||||||||||6043|||||VPLS:24099|
143.0.24.144/4/0/0/70|143.0.24.144/4/0/0/70|143.0.24.144/4/0/0/70|ETHERNET-NFO|IPAG|IPAG|true|B||||||||||GSVLFLAN2EW|||||N||||10/Z-Links/GSVLFLAN1EW/GSVLFLAN2EW_NMV127_Aend|70|||||||||||||||||||||||||
10.144.0.137/1/1/9/749|10.144.0.137/1/1/9/749|10.144.0.137/1/1/9/749|ETHERNET-NFO|IPAG|IPAG|true|B||||||||||ORLDFLMA51W|||||N||||JU103/GE1N/GSVLFLMAA10/ORLDFLMA51W_NMV4092_Port_A|749|||||||||||||||||||||||||
148.0.131.182/4/1/6/6039|148.0.131.182/4/1/6/6039|148.0.131.182/4/1/6/6039|NFO-MOBILITY|NTE|IPAG|true|S||||||||||RENONVYAY3Q||12/ANNA/445569/GH|||Y||||25/YHYJ/225511/UK_249364_Port_A|6039|||||||||||||||||||6039|||||VPLS:23815|
149.0.3.222/2/2/0/6002|149.0.3.222/2/2/0/6002|149.0.3.222/2/2/0/6002|NFO-MOBILITY|NTE|IPAG|true|B||||||||||DYBHFLMAL08||01/EVCP/060712/DP|||Y||||74/UNIF/767612/SB_283974_Port_A|6002|||||||||||||||||||6002|||||L2CKT:28111|
