@ref(networkElement)|@const(IpagPPort)class
@index(PE_PPort)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|access_flag|acnaban|bmp_clci|clci|clfi|device_type|evc_name|ineffect|mcn|port_aid|port_ipaddr|port_lag_id|port_lag_ip|port_num|remote_device_name|remote_device_model|remote_device_type|remote_device_ipaddr|remote_deviceloopback10ip|remote_deviceloopbackip|remote_slot_number|remote_slot_name|remote_port_aid|remote_ptnii|subscriber_name|soc|vrf_name|vpn_name|uni_nni
143.0.68.248/1/2/9|143.0.68.248/1/2/9|143.0.68.248/1/2/9|NFO-MOBILITY|NTE|IPAG|true|B|||||D101E/GE1N/DYBHFLMA273/DYBHFLMA308|JUNIPER MX SERIES||N||ge-1/2/9||||0|DYBHFLMA273||CIENA NTE|10.204.11.235|||||9||||||
148.0.131.182/3/0/1|148.0.131.182/3/0/1|148.0.131.182/3/0/1|ETHERNET-NFO|IPAG|IPAG|true|S|||||102/GE1N/RENONVYAAQ1/RENONVYAY3Q|JUNIPER MX SERIES||||ge-3/0/1||||0|RENONVYAAQ1||ADTRAN 5000 SERIES|10.204.82.188|||||2||||||
149.0.3.202/0/0/0|149.0.3.202/0/0/0|149.0.3.202/0/0/0|NFO-MOBILITY|NTE|IPAG|true|B|||||JU101/GE1N/DYBHFLMAL03/DYBHFLMAL14|JUNIPER MX SERIES||Y||ge-0/0/0||||0|DYBHFLMAL14||CIENA NTE|10.204.9.156|||||26||||||
149.0.3.206/0/0/4|149.0.3.206/0/0/4|149.0.3.206/0/0/4|ETHERNET-NFO|IPAG|IPAG|true|S|||||103/GE1N/CRCYNVMAD09/CRCYNVMAD53|JUNIPER MX SERIES||||ge-0/0/4||ae0|143.1.196.73|0|CRCYNVMAD53||VR1||||||||||||
8.8.0.205/1/0/0|8.8.0.205/1/0/0|8.8.0.205/1/0/0|ETHERNET-NFO|IPAG|IPAG|true|S|||||T101V/GE1N/CRCYNVAAD3A/CRCYNVAA5D5|JUNIPER MX SERIES||||ge-1/0/0||ae3||1|CRCYNVAAD3A||CIENA EMUX|10.204.90.214|||||24||||||
12.82.0.62/1/1/4|12.82.0.62/1/1/4|12.82.0.62/1/1/4|ETHERNET-NFO|IPAG|IPAG|true|B|||||F104H/GE1N/ORLDFL24D1Q/ORLDFL24Q10|JUNIPER MX SERIES||||ge-1/1/4||||1|ORLDFL24D1Q||JUNIPER MX SERIES|10.204.246.206|12.123.75.41|12.82.0.63|6|0/6|ge-4/0/6||||||
12.123.80.27/3/0/0|12.123.80.27/3/0/0|12.123.80.27/3/0/0|NFO-MOBILITY|NTE|IPAG|true|S|||||G102T/GE1N/CRCYNVAA3IP/CRCYNVHU1LI|JUNIPER MX SERIES||Y||ge-3/0/0||||0|CRCYNVHU1LI||CIENA NTE|10.204.80.102|||||25||||||
149.0.3.196/5/0/9|149.0.3.196/5/0/9|149.0.3.196/5/0/9|NFO-MOBILITY|NTE|IPAG|true|S|||||JU102/GE1N/CRCYNVMAD01/CRCYNVMAZSB|JUNIPER MX SERIES||Y||ge-5/0/9||||0|CRCYNVMAZSB||CIENA NTE|10.204.85.55|||||10||||||
143.0.68.35/1/0/8|143.0.68.35/1/0/8|143.0.68.35/1/0/8|ETHERNET-NFO|IPAG|IPAG|true|S|||||JU105/GE1N/CRCYNVMAH02/CRCYNVMAH22|JUNIPER MX SERIES||||ge-1/0/8||||0|||||||||||||||
10.144.0.65/7/0/0|10.144.0.65/7/0/0|10.144.0.65/7/0/0|ETHERNET-NFO|IPAG|IPAG|true|B|||||U112H/GE10/ORLDFLMA52W/ORLDFLMA61W|JUNIPER MX SERIES||||xe-7/0/0||||1|ORLDFLMA52W||VR1|192.168.43.17||10.144.0.62|||||||||
