@rel(PLink)
@from(CE_PPort)key|@to(CE_PPort)key
10.204.10.149/1/1|10.204.10.150/301
10.204.9.92/1|10.204.9.31/25
10.204.9.95/1|10.204.9.96/9
10.204.9.95/3|10.204.9.116/9
10.204.9.92/2|10.204.9.41/25
10.204.160.82/21|10.204.160.80/28
10.204.84.243/18|10.204.84.244/10
10.204.11.103/1|10.204.11.104/9
10.204.9.179/1|10.204.9.177/9
192.168.113.149/5|192.168.113.60/9
10.204.85.80/10|10.204.85.76/2
192.168.113.149/3|10.204.1.90/9
10.204.132.151/1|10.204.132.152/9
10.204.9.95/2|10.204.9.115/9
192.168.113.149/4|10.204.1.91/9
