@ref(networkElement)|@const(IpagEvcNode)class
@index(EVCNode)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|acnaban|clci|clli|cvlanid|evc_name|ipaddress|ineffect|nte_uni|port_aid|svlanid|unickt|vrf_name
10.204.200.119/VPLS:52118|10.204.200.119/VPLS:52118|10.204.200.119/VPLS:52118|NTE-CFM-CFO|IPAG|NTE|||CUS-904N130039|||35|EVC_MPT_Sanity_11|10.204.200.119|||25|3|TEST/SANA/UNI/004|VPLS:52118
149.0.3.244/VPLS:27194|149.0.3.244/VPLS:27194|149.0.3.244/VPLS:27194|||IPAG|||||||43/EVCS/617829/SD|149.0.3.244|Y||xe-2/0/0|||VPLS:27194
10.204.8.131/L2CKT:24012|10.204.8.131/L2CKT:24012|10.204.8.131/L2CKT:24012|NTE-CFM-CFO|IPAG|NTE|||AWL-901C010249|||641|78/EVCP/202221/RS|10.204.8.131|||25|4|12/KRFN/973284/GF|L2CKT:24012
148.0.131.204/VPLS:25462|148.0.131.204/VPLS:25462|148.0.131.204/VPLS:25462|||IPAG|||||||00/VLPX/120611/SB|148.0.131.204|Y||xe-5/0/0|||VPLS:25462
10.204.83.98/VPLS:28376|10.204.83.98/VPLS:28376|10.204.83.98/VPLS:28376|NTE-CFM-CFO|IPAG|NTE|||AWL-901C010249|||2345|02/IYYN/172809/NV|10.204.83.98|Y||9|||VPLS:28376
10.204.82.198/VPWS:23854|10.204.82.198/VPWS:23854|10.204.82.198/VPWS:23854|NTE-CFM-CFO|IPAG|NTE|||AWL-901C010249|||145|62/KDGF/741022/KA|10.204.82.198|Y||28|||VPWS:23854
10.204.9.69/VPLS:25581|10.204.9.69/VPLS:25581|10.204.9.69/VPLS:25581|NTE-CFM-CFO|IPAG|NTE|||ATX-904N130200|||1015|56/VLXM/700017/SB|10.204.9.69|||25|5|56/KRGN/700015/SB|VPLS:25581
10.204.134.219/VPWS:31860|10.204.134.219/VPWS:31860|10.204.134.219/VPWS:31860|NFO-MOBILITYUNI|NTE|NTE|||AWL-901C010249|||809|08/KRFN/872116/CB|10.204.134.219|||9|2|13/KRFN/800006/KL|VPWS:31860
10.204.11.4/L2CKT:29208|10.204.11.4/L2CKT:29208|10.204.11.4/L2CKT:29208|NFO-MOBILITYUNI|NTE|NTE|||452-904C010249|||136|01/EVCP/260912/PJ|10.204.11.4|||9|2|12/UNIC/569574/SK|L2CKT:29208
148.0.131.239/VPLS:29674|148.0.131.239/VPLS:29674|148.0.131.239/VPLS:29674|||IPAG|||||||49/EVCM/439304/RS|148.0.131.239|Y||xe-5/0/0|||VPLS:29674
150.0.0.168/VPLS:25820|150.0.0.168/VPLS:25820|150.0.0.168/VPLS:25820|||IPAG|||||||78/EVCM/898222/RS|150.0.0.168|Y||ge-5/1/6|||VPLS:25820
10.204.132.87/VPWS:29189|10.204.132.87/VPWS:29189|10.204.132.87/VPWS:29189|NFO-MOBILITYUNI|NTE|NTE|||650-901C010249|||666|00/EVCM/092412/SP|10.204.132.87|||11|2|13/KSGN/343221/SB|VPWS:29189
10.204.83.194/VPLS:26463|10.204.83.194/VPLS:26463|10.204.83.194/VPLS:26463|NTE-CFM-CFO|IPAG|NTE|||AWL-901C010249|||3892|99/ABCD/389004/MN|10.204.83.194|||11|2|99/KSGN/155569/NV|VPLS:26463
8.8.0.154/L2CKT:63389|8.8.0.154/L2CKT:63389|8.8.0.154/L2CKT:63389|||IPAG|||||||77/KQGN/438771/NV|8.8.0.154|Y||xe-3/1/0|||L2CKT:63389
192.168.113.188/VPLS:30074|192.168.113.188/VPLS:30074|192.168.113.188/VPLS:30074|||NTE|||SMW-407N160088|||1019|10/CUXM/130202/SB|192.168.113.188|||22|15|10/KQGN/111050/SB|VPLS:30074
150.0.0.89/VPWS:23417|150.0.0.89/VPWS:23417|150.0.0.89/VPWS:23417|||IPAG|||||||25/KTGH/228542/UK|150.0.0.89|Y||ge-1/0/0|||VPWS:23417
149.0.3.196/VPLS:27549|149.0.3.196/VPLS:27549|149.0.3.196/VPLS:27549|||IPAG|||||||22/PLOK/222333/QW|149.0.3.196|Y||ge-0/0/9|||VPLS:27549
143.0.68.172/VPWS:31983|143.0.68.172/VPWS:31983|143.0.68.172/VPWS:31983|||IPAG|||||||93/KRFN/872116/SB|143.0.68.172|Y||ge-3/0/0|||VPWS:31983
10.144.0.137/VPWS:32400|10.144.0.137/VPWS:32400|10.144.0.137/VPWS:32400|||IPAG|||||||58/VLXP/700523/SB|10.144.0.137|Y||ge-1/3/2|||VPWS:32400
143.0.68.168/VPWS:28991|143.0.68.168/VPWS:28991|143.0.68.168/VPWS:28991|||IPAG|||||||01/EVCP/110912/PJ|143.0.68.168|Y||xe-7/0/1|||VPWS:28991
10.204.81.195/VPLS:29679|10.204.81.195/VPLS:29679|10.204.81.195/VPLS:29679|NTE-CFM-CFO|IPAG|NTE|||PUN-901C010249|||1001|01/VLMX/251012/JP|10.204.81.195|||25|13|00/MPAU/213117/SR|VPLS:29679
10.144.0.137/VPWS:27749|10.144.0.137/VPWS:27749|10.144.0.137/VPWS:27749|||IPAG|||||||85/VXLP/205151/SB|10.144.0.137|Y||ge-5/0/2|||VPWS:27749
10.204.84.4/VPWS:25814|10.204.84.4/VPWS:25814|10.204.84.4/VPWS:25814|NTE-CFM-CFO|IPAG|NTE|||AWL-901C010249|||603|58/KRFN/061090/NV|10.204.84.4|Y||1|||VPWS:25814
12.123.80.29/VPLS:20788|12.123.80.29/VPLS:20788|12.123.80.29/VPLS:20788|||IPAG|||||||Dacsd|12.123.80.29|Y||ge-2/0/4|||VPLS:20788
10.204.8.75/VPLS:29479|10.204.8.75/VPLS:29479|10.204.8.75/VPLS:29479|NTE-CFM-CFO|IPAG|NTE|||AWL-901C010249|||3439|99/ABCD/399007/MN|10.204.8.75|N||1|||VPLS:29479
143.0.68.242/VPLS:28955|143.0.68.242/VPLS:28955|143.0.68.242/VPLS:28955|||IPAG|||||||99/ABCD/371277/MN|143.0.68.242|Y||xe-0/2/0|||VPLS:28955
10.204.144.73/L2CKT:32557|10.204.144.73/L2CKT:32557|10.204.144.73/L2CKT:32557|NFO-MOBILITYUNI|NTE|NTE|||AWL-901C010249|||988|05/KRFN/582013/RB|10.204.144.73|Y||1|||L2CKT:32557
10.204.10.114/VPWS:29189|10.204.10.114/VPWS:29189|10.204.10.114/VPWS:29189|NFO-MOBILITYUNI|NTE|NTE|||650-901C010249|||666|00/EVCM/092412/SP|10.204.10.114|Y||1|||VPWS:29189
10.204.8.75/VPWS:29162|10.204.8.75/VPWS:29162|10.204.8.75/VPWS:29162|NTE-CFM-CFO|IPAG|NTE|||AWL-901C010249|||2543|99/ABCD/543298/MN|10.204.8.75|||12|2|56/KSGN/700002/SB|VPWS:29162
10.204.67.136/VPWS:28099|10.204.67.136/VPWS:28099|10.204.67.136/VPWS:28099|NFO-MOBILITYUNI|NTE|NTE|||452-904C010249|||100|85/XXXX/766512/XX|10.204.67.136|N||7|||VPWS:28099
192.168.113.48/VPLS:21639|192.168.113.48/VPLS:21639|192.168.113.48/VPLS:21639|NTE-CFM-CFO|IPAG|NTE|||BSM-407C070620|||52|10/CUXM/110269/SB|192.168.113.48|||10|7|10/KQGN/110255/SB|VPLS:21639
12.80.0.207/VPLS:52040|12.80.0.207/VPLS:52040|12.80.0.207/VPLS:52040|||IPAG|||||||NiksMPTInterface3|12.80.0.207|Y||ge-2/0/0|||VPLS:52040
