@ref(networkElement)|@const(IpagDevice)class
@index(PE_Device)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|device_model|device_name|device_role|device_type|ipaddress|loopback10_ipaddr|loopback_ipaddr|mcn|provision_status|ptnii|savpn_siteid|snmpcom_string|subscriber_name
148.0.131.229|148.0.131.229|148.0.131.229|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVAA72A|IPAG1|JUNIPER MX SERIES|10.204.241.25|12.122.129.69|148.0.131.229||IN-SERVICE|CRANV373IA1|||
12.123.80.202|12.123.80.202|12.123.80.202|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|ORLDFL32K59|IPAG1|JUNIPER MX SERIES|12.122.122.240|12.122.128.98|12.123.80.202||IN-SERVICE|ORGFL390IA1|||
150.0.0.168|150.0.0.168|150.0.0.168|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVMAI41|IPAG1|JUNIPER MX SERIES|10.204.241.113|12.122.129.148|150.0.0.168||IN-SERVICE|CRCNV318IA1|||
143.0.24.130|143.0.24.130|143.0.24.130|ETHERNET-NFO|IPAG|IPAG|true|B|MX960|ORLDFLPH1SW|IPAG2|JUNIPER MX SERIES|10.204.244.29|12.122.132.9|143.0.24.130||IN-SERVICE|ORPFL302IB1|||
143.0.24.198|143.0.24.198|143.0.24.198|ETHERNET-NFO|IPAG|IPAG|true|S|MX960|SNJSCA0220W|IPAG2|JUNIPER MX SERIES|10.204.242.196|12.122.132.78|143.0.24.198||IN-SERVICE|SNACA322IA2|||
12.123.80.197|12.123.80.197|12.123.80.197|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|ORLDFL32ZSA|IPAG2|JUNIPER MX SERIES|12.122.122.235|149.0.3.12|12.123.80.197||IN-SERVICE|ORGFL388IA1|||
12.123.80.122|12.123.80.122|12.123.80.122|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|ORLDFL32II3|IPAG1|JUNIPER MX SERIES|12.122.122.157|12.122.128.31|12.123.80.122||IN-SERVICE|ORGFL345IA1|||
10.144.0.147|10.144.0.147|10.144.0.147|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|ORLDFLPH51W|IPAG1|JUNIPER MX SERIES|192.168.112.28|10.144.10.147|10.144.0.147||IN-SERVICE|ORPFL301IA1|||
150.0.0.212|150.0.0.212|150.0.0.212|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVMAA01|IPAG1|JUNIPER MX SERIES|10.204.241.254|12.122.130.24|150.0.0.212||IN-SERVICE|CRCNV329IA1|||
12.123.80.15|12.123.80.15|12.123.80.15|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|ORLDFL321IP|IPAG1|JUNIPER MX SERIES|12.122.121.15|12.123.136.24|12.123.80.15||IN-SERVICE|ORGFL307IA1|||
