@rel(PLink)
@from(PE_PPort)key|@to(CE_PPort)key
143.0.68.99/4/0/5|10.204.9.179/21
148.0.131.182/4/0/7|10.204.82.128/25
143.0.24.132/2/0/4|10.204.135.203/9
10.144.0.154/2/2/0|192.168.113.149/21
143.0.68.248/1/0/7|10.204.11.170/9
10.144.0.154/1/2/2|135.16.243.4/25
12.82.0.53/3/0/5|10.204.201.26/22
150.0.0.217/0/0/4|10.204.84.88/26
12.123.80.214/4/1/1|10.204.81.117/25
8.8.0.148/2/0/1|10.204.90.126/25
8.8.0.172/5/0/1|10.204.90.161/25
143.0.68.242/3/0/6|10.204.132.181/9
143.0.68.212/5/0/1|10.204.132.144/10
149.8.0.17/1/0/5|10.204.66.72/26
149.0.3.196/5/0/9|10.204.85.55/10
8.8.0.190/3/0/0|10.204.90.163/SM-B/1
143.0.68.170/1/0/8|10.204.10.200/22
12.80.17.93/4/0/0|10.204.17.33/21
143.0.68.242/4/0/4|10.204.132.231/0
143.0.68.43/0/0/1|10.204.84.23/25
12.123.80.133/3/0/0|10.204.65.29/21
12.80.4.13/0/0/0|10.204.160.95/SM-A/2
12.82.100.7/4/0/1|10.204.160.81/SM-A/1
8.8.1.5/0/0/1|10.204.90.244/26
8.8.0.154/0/0/2|10.204.90.122/25
143.0.68.168/1/0/0|10.204.10.149/SM-A/1
143.0.24.144/0/0/0|10.204.144.111/9
12.123.80.143/2/0/3|10.204.65.149/25
143.0.68.247/0/0/3|10.204.132.100/9
12.123.80.197/0/0/0|10.204.65.133/25
150.0.0.10/2/0/3|10.204.81.195/25
10.144.0.137/2/0/0|10.204.66.224/9
149.9.0.29/0/0/5|10.204.9.124/10
12.123.80.27/3/0/1|10.204.80.106/9
149.0.3.223/5/0/3|10.204.67.148/9
143.0.68.247/4/2/0|10.204.129.112/21
149.0.3.222/2/2/0|10.204.9.249/9
12.123.80.133/2/0/1|10.204.64.201/25
149.0.3.222/2/1/4|10.204.10.34/21
143.0.24.144/2/0/0|10.204.132.212/0
150.0.0.168/5/1/6|10.204.83.211/9
149.0.3.222/3/0/4|10.204.10.46/9
143.0.68.242/4/1/4|10.204.12.87/9
143.0.68.184/0/1/9|10.204.11.220/9
150.0.0.168/5/0/3|10.204.83.123/9
12.123.80.212/0/0/9|10.204.80.222/25
143.0.68.242/3/1/1|10.204.12.15/9
143.0.68.240/2/0/3|10.204.132.139/9
143.0.68.248/1/2/8|10.204.11.226/9
143.0.68.110/2/0/5|10.204.200.141/9
150.0.0.89/1/0/1|10.204.82.158/25
149.0.3.222/1/2/0|10.204.9.243/9
12.82.0.53/5/3/0|10.204.201.42/25
143.0.24.132/1/0/6|10.204.135.193/10
143.0.68.184/0/1/2|10.204.11.137/9
143.0.68.248/0/2/7|10.204.11.210/22
143.0.68.169/2/1/0|10.204.10.68/22
8.8.0.154/0/0/1|10.204.90.119/10
148.0.131.182/4/0/8|10.204.82.129/25
12.80.72.14/0/0/1|10.204.200.160/27
143.0.68.242/4/0/2|10.204.132.207/9
10.144.0.137/4/0/4|10.204.67.136/9
8.8.0.154/0/3/7|10.204.90.229/25
12.123.80.212/2/0/2|10.204.81.20/25
143.0.68.248/1/1/0|10.204.11.178/9
143.0.24.237/0/0/5|10.204.85.104/9
12.123.80.27/1/1/1|10.204.80.84/25
12.123.80.27/4/0/1|10.204.80.183/10
149.0.3.222/5/1/1|10.204.9.200/9
10.144.0.137/3/2/3|10.204.67.92/9
143.0.68.242/5/1/0|10.204.144.71/0
143.0.68.248/1/3/5|10.204.11.210/21
12.123.80.214/1/0/1|10.204.80.234/25
10.144.0.147/3/1/1|10.204.67.104/9
149.9.0.29/0/0/4|10.204.9.100/25
149.0.3.196/0/2/3|10.204.85.13/9
150.0.0.216/1/0/1|10.204.83.130/24
12.123.80.214/0/0/5|10.204.80.207/25
10.144.0.154/3/0/2|10.204.1.68/25
10.144.0.155/5/2/9|192.168.113.66/25
8.8.0.154/0/1/2|10.204.90.200/25
143.0.68.184/0/2/6|10.204.11.139/21
150.0.0.168/5/0/0|10.204.82.209/21
12.80.4.13/0/0/1|10.204.160.100/SM-A/2
12.123.80.214/4/0/6|10.204.81.101/25
10.144.0.154/3/0/1|10.204.1.87/25
143.0.68.175/0/0/2|10.204.11.106/11
12.80.84.29/3/0/4|10.204.6.71/25
143.0.68.168/1/0/6|10.204.10.223/9
8.8.0.154/0/1/3|10.204.90.205/25
12.123.80.27/3/0/9|10.204.80.115/25
143.0.68.110/2/0/4|10.204.200.140/9
143.0.68.248/0/0/3|10.204.10.171/9
149.0.3.196/0/1/3|10.204.84.253/21
10.144.0.154/1/0/1|10.204.1.66/9
143.0.68.248/1/2/7|10.204.11.219/9
149.0.3.222/5/0/0|10.204.9.187/9
143.0.68.242/3/2/7|10.204.144.85/0
8.8.0.190/3/0/3|10.204.90.181/1
10.144.0.154/1/2/0|192.168.113.149/22
12.123.80.212/2/0/3|10.204.81.21/25
12.123.80.27/3/0/7|10.204.80.110/25
143.0.68.172/3/0/0|10.204.12.35/9
143.0.24.144/0/0/2|10.204.132.220/9
149.0.3.196/0/2/8|10.204.85.49/9
143.0.68.170/0/0/8|10.204.11.203/10
143.0.68.172/0/0/2|10.204.10.75/10
10.144.0.147/4/3/9|10.204.66.239/9
150.0.0.23/5/0/1|10.204.81.209/10
143.0.68.242/3/1/5|10.204.132.203/9
12.123.80.212/2/0/0|10.204.80.232/25
149.0.3.194/4/1/0|10.204.85.44/11
149.0.3.198/2/0/1|10.204.84.249/10
12.123.80.27/2/1/3|10.204.80.173/26
10.144.0.137/1/2/8|10.204.67.30/9
10.144.0.154/3/1/6|10.204.1.82/25
150.0.0.168/2/0/2|10.204.83.102/26
12.123.80.27/3/0/5|10.204.80.99/26
149.0.3.196/5/1/0|10.204.85.54/10
12.82.0.62/3/0/8|10.204.200.112/21
12.82.0.62/2/0/7|10.204.200.96/1
12.123.80.29/2/0/2|10.204.64.163/25
150.0.0.212/0/0/6|10.204.83.93/23
143.0.68.172/4/0/1|10.204.12.39/9
8.8.0.205/2/0/1|10.204.90.100/23
143.0.68.248/1/1/2|10.204.11.183/9
143.0.68.184/0/1/6|10.204.11.141/10
143.0.68.172/4/0/4|10.204.12.49/10
143.0.68.240/5/0/1|10.204.132.165/10
12.123.80.29/2/0/0|10.204.64.153/25
143.0.68.168/1/1/0|10.204.12.26/21
143.0.68.242/3/0/5|10.204.132.180/9
143.0.68.248/1/0/5|10.204.11.168/9
12.123.80.27/1/1/2|10.204.80.86/25
150.0.0.168/5/1/7|10.204.83.213/9
149.0.3.222/4/0/2|10.204.10.33/10
143.0.68.212/0/0/5|10.204.132.74/9
149.0.3.196/0/0/8|10.204.84.245/9
8.8.0.154/5/0/1|10.204.90.99/25
12.123.80.214/1/0/3|10.204.80.240/25
143.0.68.242/0/2/0|10.204.132.88/11
149.0.3.222/5/0/4|10.204.67.147/9
143.0.68.242/3/0/9|10.204.132.189/9
12.123.80.214/1/0/4|10.204.80.249/26
149.9.0.27/0/0/4|10.204.9.103/25
10.144.0.137/1/0/2|135.16.241.32/25
12.123.80.27/1/1/5|10.204.80.91/25
143.0.68.172/0/0/0|10.204.10.59/9
12.80.17.93/4/0/1|10.204.17.34/21
143.0.68.240/4/2/0|10.204.132.176/24
143.0.68.43/0/0/5|10.204.84.197/9
149.0.3.196/0/0/2|10.204.84.234/9
12.123.80.212/0/0/5|10.204.80.205/25
10.144.0.137/1/2/0|192.168.128.102/9
8.8.1.5/2/0/0|10.204.90.251/21
149.0.3.198/3/0/2|10.204.85.13/10
143.0.68.173/1/0/2|10.204.11.103/21
150.0.0.168/5/0/9|10.204.83.151/9
12.80.72.19/1/0/0|10.204.200.164/26
8.8.0.190/0/1/9|10.204.90.157/25
149.0.3.196/2/3/7|10.204.85.18/9
143.0.68.175/0/2/1|10.204.11.105/11
10.144.0.137/1/1/5|192.168.113.67/25
149.0.3.194/4/2/0|10.204.85.44/12
150.0.0.12/1/0/1|10.204.8.69/SM-A/1
143.0.68.241/4/0/9|10.204.132.130/21
143.0.68.184/0/2/3|10.204.11.238/9
8.8.0.205/2/0/2|10.204.90.243/22
12.80.72.121/4/3/2|10.204.201.59/26
10.144.0.137/1/1/6|10.204.67.188/25
