@ref(networkElement)|@const(IpagDevice)class
@index(CE_Device)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|acnaban|customer_number|device_model|device_name|device_role|device_type|ipaddress|ineffect|loopback_ipaddr|mcn|mobility_ind|multi_nni|multi_uni|mpa_ind|provision_status|ptnii|subscriber_name|multitenantind
10.204.9.68|10.204.9.68|10.204.9.68|NFO-MOBILITY|NTE|NTE|true|B|ATX-904N130200|904N130200|LE311V|DYBHFLMAWAU||CIENA NTE|10.204.9.68|Y||904N13020|N|N|N|N|IN-SERVICE||ECRM TEST - ZELLER INC_904N130200_ATX|N
10.204.90.244|10.204.90.244|10.204.90.244|NFO-MOBILITY|NTE|NTE|true|S|||LE311V|CRCYNVAAN26||CIENA NTE|10.204.90.244|N|||N|N|N|N|IN-SERVICE|||
10.204.202.87|10.204.202.87|10.204.202.87|NFO-EMUX|EMUX|NTE|true|S|||CN5150|SNJSCASOW02|CO|CIENA EMUX|10.204.202.87||||N|||N|IN-SERVICE|||
10.204.200.97|10.204.200.97|10.204.200.97|NFO-MOBILITY|NTE|NTE|true|B|||LE311V|ORLDFL24AS2||CIENA NTE|10.204.200.97|N|||N|N|N|N|IN-SERVICE|||
10.204.90.126|10.204.90.126|10.204.90.126|NFO-MOBILITY|NTE|NTE|true|S|||LE311V|CRCYNVHVAKG||CIENA NTE|10.204.90.126|N|||N|N|N|N|IN-SERVICE|||
10.204.82.191|10.204.82.191|10.204.82.191|NFO-MOBILITY|NTE|NTE|true|S|ZXL-130039|130039|LE311V|RENONVYABV6||CIENA NTE|10.204.82.191|Y|||N|N|Y|N|IN-SERVICE||Saras Daya Care_130039_ZXL|N
10.204.84.128|10.204.84.128|10.204.84.128|NFO-MOBILITY|NTE|NTE|true|S|SDB-407N160055|407N160055|LE311V|CRCYNVMAL14||CIENA NTE|10.204.84.128|Y||407N16005|Y|N|N|N|IN-SERVICE||CTS-SE-WHL-NMOB-OEMAC-D_407N160055_SDB|N
10.204.85.39|10.204.85.39|10.204.85.39|NFO-MOBILITY|NTE|NTE|true|S|AWL-901C010249|901C010249|CN3931|CRCYNVMAOA1||CIENA NTE|10.204.85.39|Y||901C01024|Y|N|N|N|IN-SERVICE||E2E SA FEBRUARY2011_901C010249_AWL|N
10.204.166.96|10.204.166.96|10.204.166.96|NFO-MOBILITY|NTE|NTE|true|B|||CN3911|DYBHFLMNP02||CIENA NTE|10.204.166.96|N|||N|N|N|N|IN-SERVICE|||
10.204.83.129|10.204.83.129|10.204.83.129|NFO-MOBILITY|NTE|NTE|true|S|||CN3930|CRCYNVMAA10||CIENA NTE|10.204.83.129|N|||N|N|N|N|IN-SERVICE|||
10.204.10.207|10.204.10.207|10.204.10.207|NFO-MOBILITY|NTE|NTE|true|B|||CN3930|DYBHFLMBS1U||CIENA NTE|10.204.10.207|N|||N|N|N|N|IN-SERVICE|||
10.204.11.244|10.204.11.244|10.204.11.244|NFO-MOBILITY|NTE|NTE|true|B|GHI-901C010249|901C010249|CN3931|DYBHFLMAN2S||CIENA NTE|10.204.11.244|Y|||Y|N|N|N|IN-SERVICE||Priyanka_901C010249_GHI|N
10.204.8.74|10.204.8.74|10.204.8.74|NFO-MOBILITY|NTE|NTE|true|B|||LE311V|DYBHFLMAWBP||CIENA NTE|10.204.8.74|N|||N|N|N|N|IN-SERVICE|||
10.204.6.72|10.204.6.72|10.204.6.72|NFO-MOBILITY|NTE|NTE|true|S|||LE311V|CRCYNVHA2AW||CIENA NTE|10.204.6.72|N|||N|N|N|N|IN-SERVICE|||
10.204.200.159|10.204.200.159|10.204.200.159|NFO-EMUX|EMUX|NTE|true|B|||CN3940|RLGHNCMAQ03|LOOP|CIENA EMUX|10.204.200.159||||N|||N|IN-SERVICE|||
10.204.200.205|10.204.200.205|10.204.200.205|NFO-MOBILITY|NTE|NTE|true|B|||LE311V|RLGHNCMAN79||CIENA NTE|10.204.200.205|N|||N|N|N|N|IN-SERVICE|||
10.204.201.59|10.204.201.59|10.204.201.59|NFO-MOBILITY|NTE|NTE|true|B|||LE311V|ORLDFL2568T||CIENA NTE|10.204.201.59|N|||N|N|N|N|IN-SERVICE|||
10.204.9.157|10.204.9.157|10.204.9.157|NFO-MOBILITY|NTE|NTE|true|B|AWL-901C010249|901C010249|CN3960|DYBHFLMAL35||CIENA NTE|10.204.9.157|Y||901C01024|Y|N|N|N|IN-SERVICE||E2E SA FEBRUARY2011_901C010249_AWL|N
10.204.80.255|10.204.80.255|10.204.80.255|NFO-MOBILITY|NTE|NTE|true|S|||LE311V|SNJSCAHUCM1||CIENA NTE|10.204.80.255|N|||N|N|N|N|IN-SERVICE|||
10.204.85.18|10.204.85.18|10.204.85.18|NFO-MOBILITY|NTE|NTE|true|S|||CN3930|CRCYNVMAZ3E||CIENA NTE|10.204.85.18|N|||N|N|N|N|IN-SERVICE|||
10.204.10.197|10.204.10.197|10.204.10.197|NFO-MOBILITY|NTE|NTE|true|B|PUN-901C010249|901C010249|LE311V|DYBHFLMA3A2||CIENA NTE|10.204.10.197|Y||901C01024|Y|N|N|N|IN-SERVICE||Jitendra_901C010249_PUN|N
10.204.160.82|10.204.160.82|10.204.160.82|NFO-EMUX|EMUX|NTE|true|B|||CN3940|RLGHNCMOPS4|CO|CIENA EMUX|10.204.160.82||||N|||N|IN-SERVICE|||
10.204.65.149|10.204.65.149|10.204.65.149|NFO-MOBILITY|NTE|NTE|true|B|AWL-901C010249|901C010249|LE311V|ORLDFL32ZZP||CIENA NTE|10.204.65.149|N||901C01024|N|N|N|N|IN-SERVICE||Prateek_901C010249_AWL|N
10.204.201.69|10.204.201.69|10.204.201.69|NFO-MOBILITY|NTE|NTE|true|B|||LE311V|ORLDFL24SL1||CIENA NTE|10.204.201.69|N|||N|N|N|N|IN-SERVICE|||
10.204.84.243|10.204.84.243|10.204.84.243|NFO-EMUX|EMUX|NTE|true|S|||CN5140|CRCYNVMAD79|LOOP|CIENA EMUX|10.204.84.243||||N|||N|IN-SERVICE|||
10.204.132.231|10.204.132.231|10.204.132.231|NFO-EMUX|EMUX|NTE|true|B|||CN5150|GSVLFLANAG2|CO|CIENA EMUX|10.204.132.231||||N|||N|IN-SERVICE|||
10.204.90.246|10.204.90.246|10.204.90.246|NFO-EMUX|EMUX|NTE|true|S|||CN3940|CRCYNVAAE18|CO|CIENA EMUX|10.204.90.246||||N|||N|IN-SERVICE|||
10.204.172.74|10.204.172.74|10.204.172.74|NFO-MOBILITY|NTE|NTE|true|B|||LE311V|JCVLFLSJVV2||CIENA NTE|10.204.172.74|N|||N|N|N|N|IN-SERVICE|||
10.204.65.39|10.204.65.39|10.204.65.39|NFO-MOBILITY|NTE|NTE|true|B|||LE311V|ORLDFL32ZZ5||CIENA NTE|10.204.65.39|N|||N|N|N|N|IN-SERVICE|||
135.16.243.66|135.16.243.66|135.16.243.66|NFO-MOBILITY|NTE|NTE|true|B|EXF-407N191276|407N191276|CN3930|ORLDFLGBN01||CIENA NTE|135.16.243.66|Y||407N19127|N|N|Y|N|IN-SERVICE||CTS-SE-WHL-NMOB-OEMAC_407N191276_EXF|Y
10.204.9.184|10.204.9.184|10.204.9.184|NFO-MOBILITY|NTE|NTE|true|B|AWL-901C010249|901C010249|CN3930|DYBHFLMAL15||CIENA NTE|10.204.9.184|Y||901C01024|Y|N|N|N|IN-SERVICE||E2E SA FEBRUARY2011_901C010249_AWL|N
192.168.113.75|192.168.113.75|192.168.113.75|NFO-MOBILITY|NTE|NTE|true|B|SMW-407N160088|407N160088|CN3960|ORLHFLBXH01||CIENA NTE|192.168.113.75|Y||407N16008|Y|N|N|N|IN-SERVICE||CTS-SE-WHL-NMOB-OEMAC-A_407N160088_SMW|N
10.204.84.234|10.204.84.234|10.204.84.234|NFO-MOBILITY|NTE|NTE|true|S|||CN3930|CRCYNVMA3C2||CIENA NTE|10.204.84.234|N|||N|N|N|N|IN-SERVICE|||
10.204.200.164|10.204.200.164|10.204.200.164|NFO-MOBILITY|NTE|NTE|true|B|ATW-404N100098|456|LE311V|RLGHNCMAH04||CIENA NTE|10.204.200.164|Y|||N|N|N|N|IN-SERVICE||Nikhil_404N100098_ATW|N
10.204.175.67|10.204.175.67|10.204.175.67|NFO-EMUX|EMUX|NTE|true|B|||CN3940|PNCYFLCA51W|CO|CIENA EMUX|10.204.175.67||||N|||N|IN-SERVICE|||
10.204.135.203|10.204.135.203|10.204.135.203|NFO-MOBILITY|NTE|NTE|true|S|FNA-0727415099|0727415099|CN3930|SNJSCACO0AW||CIENA NTE|10.204.135.203|Y||072741509|Y|N|N|N|IN-SERVICE||CTS W GENERIC BAN_0727415099_FNA|N
10.204.84.88|10.204.84.88|10.204.84.88|NFO-MOBILITY|NTE|NTE|true|S|||LE311V|CRCYNVMAA15||CIENA NTE|10.204.84.88|N|||N|N|N|N|IN-SERVICE|||
10.204.200.242|10.204.200.242|10.204.200.242|NFO-MOBILITY|NTE|NTE|true|B|||LE311V|RLGHNCMAPL2||CIENA NTE|10.204.200.242|N|||N|N|N|N|IN-SERVICE|||
