@ref(networkElement)|@const(IpagSlot)class
@index(PE_Slot)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|slot_number|slot_name
143.0.68.72/1|143.0.68.72/1|143.0.68.72/1|ETHERNET-NFO|IPAG|IPAG|true|B|1|DPC1
143.0.68.242/4|143.0.68.242/4|143.0.68.242/4|ETHERNET-NFO|IPAG|IPAG|true|B|4|DPC4
143.0.24.198/3|143.0.24.198/3|143.0.24.198/3|ETHERNET-NFO|IPAG|IPAG|true|S|3|DPC3
143.0.68.169/3|143.0.68.169/3|143.0.68.169/3|ETHERNET-NFO|IPAG|IPAG|true|B|3|DPC3
143.0.68.172/4|143.0.68.172/4|143.0.68.172/4|ETHERNET-NFO|IPAG|IPAG|true|B|4|DPC4
12.80.72.33/0|12.80.72.33/0|12.80.72.33/0|ETHERNET-NFO|IPAG|IPAG|true|B|0|DPC0
12.80.72.42/0|12.80.72.42/0|12.80.72.42/0|ETHERNET-NFO|IPAG|IPAG|true|B|0|DPC0
12.123.80.29/3|12.123.80.29/3|12.123.80.29/3|ETHERNET-NFO|IPAG|IPAG|true|B|3|DPC3
12.80.68.135/4|12.80.68.135/4|12.80.68.135/4|ETHERNET-NFO|IPAG|IPAG|true|B|4|DPC4
12.123.80.15/0|12.123.80.15/0|12.123.80.15/0|ETHERNET-NFO|IPAG|IPAG|true|B|0|DPC0
12.82.100.7/4|12.82.100.7/4|12.82.100.7/4|ETHERNET-NFO|IPAG|IPAG|true|B|4|DPC4
12.82.0.62/1|12.82.0.62/1|12.82.0.62/1|ETHERNET-NFO|IPAG|IPAG|true|B|1|DPC1
143.0.68.170/4|143.0.68.170/4|143.0.68.170/4|ETHERNET-NFO|IPAG|IPAG|true|B|4|DPC4
12.123.80.17/1|12.123.80.17/1|12.123.80.17/1|ETHERNET-NFO|IPAG|IPAG|true|S|1|DPC1
143.0.24.130/1|143.0.24.130/1|143.0.24.130/1|ETHERNET-NFO|IPAG|IPAG|true|B|1|DPC1
12.80.84.29/4|12.80.84.29/4|12.80.84.29/4|ETHERNET-NFO|IPAG|IPAG|true|S|4|DPC4
149.0.3.134/0|149.0.3.134/0|149.0.3.134/0|ETHERNET-NFO|IPAG|IPAG|true|B|0|DPC0
12.80.72.65/0|12.80.72.65/0|12.80.72.65/0|ETHERNET-NFO|IPAG|IPAG|true|B|0|DPC0
12.80.68.135/3|12.80.68.135/3|12.80.68.135/3|ETHERNET-NFO|IPAG|IPAG|true|B|3|DPC3
12.80.4.13/0|12.80.4.13/0|12.80.4.13/0|ETHERNET-NFO|IPAG|IPAG|true|B|0|DPC0
12.123.80.197/2|12.123.80.197/2|12.123.80.197/2|ETHERNET-NFO|IPAG|IPAG|true|B|2|DPC2
10.144.0.155/3|10.144.0.155/3|10.144.0.155/3|ETHERNET-NFO|IPAG|IPAG|true|S|3|DPC3
10.144.0.137/0|10.144.0.137/0|10.144.0.137/0|ETHERNET-NFO|IPAG|IPAG|true|B|0|DPC0
8.8.1.5/1|8.8.1.5/1|8.8.1.5/1|ETHERNET-NFO|IPAG|IPAG|true|S|1|DPC1
8.8.0.176/3|8.8.0.176/3|8.8.0.176/3|ETHERNET-NFO|IPAG|IPAG|true|B|3|DPC3
149.0.3.206/4|149.0.3.206/4|149.0.3.206/4|ETHERNET-NFO|IPAG|IPAG|true|S|4|DPC4
10.144.0.137/4|10.144.0.137/4|10.144.0.137/4|ETHERNET-NFO|IPAG|IPAG|true|B|4|DPC4
150.0.0.89/2|150.0.0.89/2|150.0.0.89/2|ETHERNET-NFO|IPAG|IPAG|true|S|2|DPC2
150.0.0.233/5|150.0.0.233/5|150.0.0.233/5|ETHERNET-NFO|IPAG|IPAG|true|S|5|DPC5
150.0.0.212/0|150.0.0.212/0|150.0.0.212/0|ETHERNET-NFO|IPAG|IPAG|true|S|0|DPC0
149.0.3.128/4|149.0.3.128/4|149.0.3.128/4|ETHERNET-NFO|IPAG|IPAG|true|B|4|DPC4
12.80.17.93/3|12.80.17.93/3|12.80.17.93/3|ETHERNET-NFO|IPAG|IPAG|true|S|3|DPC3
8.8.0.154/5|8.8.0.154/5|8.8.0.154/5|ETHERNET-NFO|IPAG|IPAG|true|S|5|DPC5
8.8.0.176/5|8.8.0.176/5|8.8.0.176/5|ETHERNET-NFO|IPAG|IPAG|true|B|5|DPC5
149.0.3.195/0|149.0.3.195/0|149.0.3.195/0|ETHERNET-NFO|IPAG|IPAG|true|B|0|DPC0
149.0.3.216/1|149.0.3.216/1|149.0.3.216/1|ETHERNET-NFO|IPAG|IPAG|true|S|1|DPC1
143.0.68.242/1|143.0.68.242/1|143.0.68.242/1|ETHERNET-NFO|IPAG|IPAG|true|B|1|DPC1
143.0.68.212/0|143.0.68.212/0|143.0.68.212/0|ETHERNET-NFO|IPAG|IPAG|true|B|0|DPC0
12.123.80.29/2|12.123.80.29/2|12.123.80.29/2|ETHERNET-NFO|IPAG|IPAG|true|B|2|DPC2
12.123.80.212/0|12.123.80.212/0|12.123.80.212/0|ETHERNET-NFO|IPAG|IPAG|true|S|0|DPC0
12.123.80.201/2|12.123.80.201/2|12.123.80.201/2|ETHERNET-NFO|IPAG|IPAG|true|B|2|DPC2
12.123.80.27/0|12.123.80.27/0|12.123.80.27/0|ETHERNET-NFO|IPAG|IPAG|true|S|0|DPC0
10.144.0.65/4|10.144.0.65/4|10.144.0.65/4|ETHERNET-NFO|IPAG|IPAG|true|B|4|DPC4
12.123.80.15/2|12.123.80.15/2|12.123.80.15/2|ETHERNET-NFO|IPAG|IPAG|true|B|2|DPC2
10.144.0.154/2|10.144.0.154/2|10.144.0.154/2|ETHERNET-NFO|IPAG|IPAG|true|S|2|DPC2
10.144.0.65/1|10.144.0.65/1|10.144.0.65/1|ETHERNET-NFO|IPAG|IPAG|true|B|1|DPC1
12.123.80.122/1|12.123.80.122/1|12.123.80.122/1|ETHERNET-NFO|IPAG|IPAG|true|B|1|DPC1
12.123.80.15/5|12.123.80.15/5|12.123.80.15/5|ETHERNET-NFO|IPAG|IPAG|true|B|5|DPC5
149.0.3.216/4|149.0.3.216/4|149.0.3.216/4|ETHERNET-NFO|IPAG|IPAG|true|S|4|DPC4
10.0.38.75/3|10.0.38.75/3|10.0.38.75/3|ETHERNET-NFO|IPAG|IPAG|true|B|3|DPC3
150.0.0.147/3|150.0.0.147/3|150.0.0.147/3|ETHERNET-NFO|IPAG|IPAG|true|S|3|DPC3
149.9.0.27/2|149.9.0.27/2|149.9.0.27/2|ETHERNET-NFO|IPAG|IPAG|true|B|2|DPC2
