@rel(Composed_Of)
@from(PE_Device)key|@to(PE_Card)key
143.0.68.170|143.0.68.170/2
12.123.105.76|12.123.105.76/1
12.123.118.108|12.123.118.108/3
12.123.109.180|12.123.109.180/6
10.204.244.2|10.204.244.2/1
12.123.104.212|12.123.104.212/6
12.123.118.108|12.123.118.108/0
10.204.244.2|10.204.244.2/0
12.123.106.76|12.123.106.76/1
10.204.241.5|10.204.241.5/2
12.123.106.116|12.123.106.116/7
12.123.110.20|12.123.110.20/6
148.0.7.172|148.0.7.172/0
12.123.104.212|12.123.104.212/1
10.204.244.131|10.204.244.131/1
10.204.244.21|10.204.244.21/1
148.0.0.204|148.0.0.204/1
12.123.102.156|12.123.102.156/0
12.123.103.140|12.123.103.140/2
12.123.102.20|12.123.102.20/3
12.123.110.20|12.123.110.20/7
12.123.115.36|12.123.115.36/1
12.123.115.12|12.123.115.12/6
148.0.11.52|148.0.11.52/1
12.123.102.156|12.123.102.156/1
12.123.109.180|12.123.109.180/7
10.204.241.88|10.204.241.88/1
12.123.105.156|12.123.105.156/7
148.0.15.164|148.0.15.164/1
12.123.102.20|12.123.102.20/1
10.204.241.11|10.204.241.11/0
10.204.244.4|10.204.244.4/2
148.0.15.164|148.0.15.164/3
10.204.241.9|10.204.241.9/1
12.123.105.100|12.123.105.100/7
148.0.4.52|148.0.4.52/6
148.0.11.52|148.0.11.52/0
192.168.114.116|192.168.114.116/1
12.123.107.228|12.123.107.228/0
148.0.4.52|148.0.4.52/7
12.123.118.108|12.123.118.108/2
143.0.11.212|143.0.11.212/1
12.123.106.76|12.123.106.76/2
12.123.105.100|12.123.105.100/1
10.204.241.88|10.204.241.88/0
12.123.110.20|12.123.110.20/1
10.204.241.12|10.204.241.12/0
12.123.115.12|12.123.115.12/7
12.123.105.76|12.123.105.76/6
148.0.0.204|148.0.0.204/3
12.123.105.156|12.123.105.156/6
10.204.244.31|10.204.244.31/1
10.204.241.8|10.204.241.8/1
12.123.105.100|12.123.105.100/6
12.123.118.108|12.123.118.108/1
192.168.114.116|192.168.114.116/0
12.123.103.140|12.123.103.140/1
10.204.242.50|10.204.242.50/1
192.168.114.68|192.168.114.68/1
10.204.242.50|10.204.242.50/0
10.204.241.8|10.204.241.8/0
148.0.4.52|148.0.4.52/1
148.0.15.148|148.0.15.148/0
12.123.109.180|12.123.109.180/1
10.204.241.9|10.204.241.9/0
12.123.115.36|12.123.115.36/7
12.123.110.4|12.123.110.4/1
12.123.107.228|12.123.107.228/1
12.123.104.212|12.123.104.212/7
12.123.106.76|12.123.106.76/3
148.0.15.148|148.0.15.148/1
12.123.115.36|12.123.115.36/6
12.123.115.12|12.123.115.12/1
192.168.114.92|192.168.114.92/1
12.123.106.116|12.123.106.116/6
10.204.241.12|10.204.241.12/1
12.123.110.4|12.123.110.4/7
10.204.241.51|10.204.241.51/1
10.204.241.11|10.204.241.11/1
148.0.7.172|148.0.7.172/1
12.123.106.76|12.123.106.76/0
143.0.11.212|143.0.11.212/0
12.123.105.156|12.123.105.156/1
12.123.106.116|12.123.106.116/1
192.168.114.108|192.168.114.108/6
192.168.114.108|192.168.114.108/7
192.168.114.92|192.168.114.92/0
12.123.105.76|12.123.105.76/7
12.123.110.4|12.123.110.4/6
192.168.114.108|192.168.114.108/1
