@rel(Composed_Of)
@from(PE_PPort)key|@to(PE_LPort)key
143.0.68.68/1/0/1|143.0.68.68/1/0/1/7
10.0.8.122/1/2/5|10.0.8.122/1/2/5/1
10.0.40.35/0/3/1|10.0.40.35/0/3/1/0
12.123.80.32/1/0/5|12.123.80.32/1/0/5/6
10.0.40.1/0/0/0|10.0.40.1/0/0/0/1
78.23.44.28/1/0/1|78.23.44.28/1/0/1/4
143.0.24.71/0/0/0|143.0.24.71/0/0/0/4
10.0.36.73/0/3/0|10.0.36.73/0/3/0/7
149.4.64.2/0/1/3|149.4.64.2/0/1/3/0
149.0.3.222/5/1/6|149.0.3.222/5/1/6/57
10.0.40.4/3/3/0|10.0.40.4/3/3/0/10
10.0.40.32/4/0/0|10.0.40.32/4/0/0/4
149.9.0.18/1/0/1|149.9.0.18/1/0/1/19
10.0.40.32/4/2/6|10.0.40.32/4/2/6/2
143.0.68.172/3/0/0|143.0.68.172/3/0/0/6008
12.80.72.121/4/0/9|12.80.72.121/4/0/9/10
150.0.0.232/0/0/6|150.0.0.232/0/0/6/8
143.0.68.83/1/0/1|143.0.68.83/1/0/1/4
78.23.44.28/0/0/7|78.23.44.28/0/0/7/69
78.23.44.28/1/2/9|78.23.44.28/1/2/9/3
12.123.80.85/0/0/3|12.123.80.85/0/0/3/9
143.0.68.184/0/0/5|143.0.68.184/0/0/5/6028
8.8.0.173/2/0/1|8.8.0.173/2/0/1/5
143.0.24.98/5/0/0|143.0.24.98/5/0/0/79
12.123.80.215/4/0/0|12.123.80.215/4/0/0/2
12.82.0.63/3/0/5|12.82.0.63/3/0/5/21
149.0.3.132/0/0/0|149.0.3.132/0/0/0/4
149.0.3.135/0/2/0|149.0.3.135/0/2/0/6022
143.0.68.170/1/0/6|143.0.68.170/1/0/6/42
10.144.0.61/10/0/0|10.144.0.61/10/0/0/12
143.0.24.60/0/0/2|143.0.24.60/0/0/2/10
12.123.80.194/0/0/0|12.123.80.194/0/0/0/4
12.122.72.128/1/0/1|12.122.72.128/1/0/1/471
143.0.68.184/0/0/5|143.0.68.184/0/0/5/6023
12.80.72.103/5/0/1|12.80.72.103/5/0/1/3
10.144.0.136/5/2/0|10.144.0.136/5/2/0/6010
10.0.40.4/3/0/9|10.0.40.4/3/0/9/1
143.0.68.184/0/0/5|143.0.68.184/0/0/5/6004
