@ref(networkElement)|@const(IpagSlot)class
@index(PE_Slot)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|slot_number|slot_name
143.0.68.202/0|143.0.68.202/0|143.0.68.202/0|ETHERNET-NFO|IPAG|IPAG|true|S|0|DPC0
10.0.38.78/5|10.0.38.78/5|10.0.38.78/5|ETHERNET-NFO|IPAG|IPAG|true|B|5|DPC5
10.0.36.14/1|10.0.36.14/1|10.0.36.14/1|||OEW-VPLS|true||1|
12.123.80.60/0|12.123.80.60/0|12.123.80.60/0|ETHERNET-NFO|IPAG|IPAG|true|B|0|DPC0
10.0.36.14/7|10.0.36.14/7|10.0.36.14/7|||OEW-VPLS|true||7|
8.8.0.166/1|8.8.0.166/1|8.8.0.166/1|ETHERNET-NFO|IPAG|IPAG|true|S|1|DPC1
150.0.0.232/0|150.0.0.232/0|150.0.0.232/0|ETHERNET-NFO|IPAG|IPAG|true|S|0|DPC0
10.0.40.7/4|10.0.40.7/4|10.0.40.7/4|||OEW-VPLS|true||4|
143.0.24.144/2|143.0.24.144/2|143.0.24.144/2|ETHERNET-NFO|IPAG|IPAG|true|B|2|DPC2
143.0.24.57/9|143.0.24.57/9|143.0.24.57/9|ETHERNET-NFO|IPAG|IPAG|true|B|9|DPC9
143.0.68.184/2|143.0.68.184/2|143.0.68.184/2|ETHERNET-NFO|IPAG|IPAG|true|B|2|DPC2
143.0.68.242/5|143.0.68.242/5|143.0.68.242/5|ETHERNET-NFO|IPAG|IPAG|true|B|5|DPC5
12.80.4.12/5|12.80.4.12/5|12.80.4.12/5|ETHERNET-NFO|IPAG|IPAG|true|B|5|DPC5
12.123.80.57/2|12.123.80.57/2|12.123.80.57/2|ETHERNET-NFO|IPAG|IPAG|true|S|2|DPC2
10.0.36.73/6|10.0.36.73/6|10.0.36.73/6|||OEW-VPLS|true||6|
143.0.68.249/1|143.0.68.249/1|143.0.68.249/1|ETHERNET-NFO|IPAG|IPAG|true|B|1|DPC1
10.0.36.18/0|10.0.36.18/0|10.0.36.18/0|||OEW-VPLS|true||0|
